# Weather station New Kandla, India, WMO_ID=42639,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42639&lang=en
#
"Local time in New Kandla";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"26.0";"757.7";"759.7";"";"35";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"10.0";"9.3";"";"";"";"";"";"";
"31.12.2017 08:30";"13.0";"760.1";"762.2";"";"77";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"30.12.2017 17:30";"25.2";"758.9";"760.9";"";"46";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"10.0";"12.8";"";"";"";"";"";"";
"30.12.2017 08:30";"16.2";"761.5";"763.6";"";"62";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"14.9";"";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
"29.12.2017 17:30";"27.2";"758.5";"760.5";"";"42";"Wind blowing from the north-northwest";"3";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"29.12.2017 08:30";"14.2";"760.5";"762.6";"";"76";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"28.12.2017 17:30";"27.4";"758.3";"760.3";"";"40";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"30.3";"";"";"";"";"";"10.0";"12.7";"";"";"";"";"";"";
"28.12.2017 08:30";"13.6";"760.3";"762.4";"";"82";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"27.12.2017 17:30";"27.4";"758.6";"760.6";"";"48";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"27.12.2017 08:30";"13.6";"760.7";"762.8";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"26.12.2017 17:30";"27.0";"759.3";"761.3";"";"37";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"26.12.2017 08:30";"16.0";"761.8";"763.9";"";"69";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"10.0";"10.3";"";"";"";"";"";"";
"25.12.2017 17:30";"27.4";"759.6";"761.6";"";"37";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"25.12.2017 08:30";"16.0";"761.5";"763.6";"";"79";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"24.12.2017 17:30";"26.0";"757.8";"759.8";"";"40";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"";"28.9";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"24.12.2017 08:30";"15.0";"760.1";"762.2";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"23.12.2017 17:30";"27.0";"758.2";"760.2";"";"45";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"10.0";"13.9";"";"";"";"";"";"";
"23.12.2017 08:30";"15.0";"760.8";"762.9";"";"79";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
