# Weather station Gandhinagar, India, WMO_ID=42654,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42654&lang=en
#
"Local time in Gandhinagar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"25.6";"752.2";"759.3";"";"51";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"31.12.2017 08:30";"16.0";"755.1";"762.5";"";"66";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"30.12.2017 17:30";"26.0";"753.2";"760.3";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"29.12.2017 17:30";"26.0";"753.5";"760.6";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"29.12.2017 08:30";"17.0";"755.7";"763.0";"";"61";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"11.3";"";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"28.12.2017 17:30";"25.6";"753.6";"760.7";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"28.12.2017 08:30";"13.0";"755.9";"763.3";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"27.12.2017 17:30";"26.0";"753.8";"760.9";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"27.12.2017 08:30";"16.0";"756.1";"763.5";"";"60";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"10.0";"8.1";"";"";"";"";"";"";
"26.12.2017 17:30";"25.0";"754.6";"761.7";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"26.12.2017 08:30";"13.6";"756.4";"763.8";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"8.4";"";"";"";"";"";"";
"25.12.2017 17:30";"27.0";"754.7";"761.8";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
