# Weather station Disa, India, WMO_ID=42539,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42539&lang=en
#
"Local time in Disa";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"25.0";"747.2";"758.9";"-0.6";"40";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"28.3";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"31.12.2017 14:30";"27.4";"747.8";"759.4";"-2.3";"30";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"31.12.2017 11:30";"24.2";"750.1";"761.9";"0.4";"48";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.4";"";"";"";"";"";"";
"31.12.2017 08:30";"13.0";"749.7";"762.0";"";"73";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"11.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.2";"";"";"";"";"";"";
"30.12.2017 17:30";"25.6";"748.4";"760.1";"-0.5";"42";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"30.12.2017 14:30";"27.4";"748.9";"760.6";"-2.3";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.6";"";"";"";"";"";"";
"30.12.2017 11:30";"24.4";"751.2";"763.0";"0.6";"45";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"30.12.2017 08:30";"14.6";"750.6";"762.8";"";"66";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"13.1";"";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"29.12.2017 17:30";"26.4";"748.5";"760.2";"-0.2";"44";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"29.12.2017 14:30";"29.0";"748.7";"760.3";"-2.3";"33";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"29.12.2017 11:30";"25.4";"751.0";"762.8";"0.7";"35";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"29.12.2017 08:30";"14.0";"750.3";"762.5";"";"74";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"28.12.2017 17:30";"27.4";"748.0";"759.7";"-0.6";"32";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"28.12.2017 14:30";"30.0";"748.6";"760.2";"-2.3";"18";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.1";"";"";"";"";"";"";
"28.12.2017 11:30";"24.4";"750.9";"762.7";"0.5";"48";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"28.12.2017 08:30";"13.2";"750.4";"762.7";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"27.12.2017 17:30";"27.2";"748.5";"760.2";"-0.2";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"27.12.2017 14:30";"29.0";"748.7";"760.3";"-2.5";"28";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
"27.12.2017 11:30";"24.8";"751.2";"763.0";"0.4";"41";"Wind blowing from the east-northeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"27.12.2017 08:30";"12.8";"750.8";"763.1";"";"75";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"26.12.2017 17:30";"26.2";"749.5";"761.2";"-0.2";"32";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"26.12.2017 14:30";"28.0";"749.7";"761.4";"-2.4";"25";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.9";"";"";"";"";"";"";
"26.12.2017 11:30";"25.2";"752.1";"763.9";"0.5";"30";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.4";"";"";"";"";"";"";
"26.12.2017 08:30";"14.0";"751.6";"763.9";"";"59";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"11.3";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"25.12.2017 17:30";"26.4";"749.7";"761.4";"";"31";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"29.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.8";"";"";"";"";"";"";
"25.12.2017 11:30";"24.8";"752.3";"764.1";"0.8";"38";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"25.12.2017 08:30";"13.8";"751.5";"763.8";"";"69";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"24.12.2017 17:30";"26.8";"747.6";"759.3";"0.0";"36";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"24.12.2017 14:30";"28.4";"747.6";"759.2";"-2.8";"28";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"24.12.2017 11:30";"25.4";"750.4";"762.2";"0.6";"38";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"24.12.2017 08:30";"13.2";"749.8";"762.1";"";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"23.12.2017 17:30";"25.2";"748.2";"759.9";"-0.8";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"23.12.2017 14:30";"27.6";"749.0";"760.7";"-1.9";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.7";"";"";"";"";"";"";
"23.12.2017 11:30";"25.4";"750.9";"762.7";"0.2";"43";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"23.12.2017 08:30";"14.4";"750.7";"762.9";"";"72";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"12.7";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"22.12.2017 17:30";"27.0";"751.0";"762.7";"-0.1";"36";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"30.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"10.8";"";"";"";"";"";"";
"22.12.2017 14:30";"29.6";"751.1";"762.7";"-2.0";"26";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.1";"";"";"";"";"";"";
