# Weather station Jammu, India, WMO_ID=42056,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42056&lang=en
#
"Local time in Jammu";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 23:30";"10.0";"727.3";"";"-0.5";"92";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.8";"";"";"";"";"";"";
"31.12.2017 20:30";"11.2";"727.8";"";"0.2";"90";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.6";"";"";"";"";"";"";
"31.12.2017 17:30";"16.6";"727.6";"";"-0.6";"72";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"19.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.5";"";"";"";"";"";"";
"31.12.2017 14:30";"19.0";"728.2";"";"-1.9";"55";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.6";"";"";"";"";"";"";
"31.12.2017 11:30";"18.2";"730.1";"";"1.0";"47";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"6.6";"";"";"";"";"";"";
"31.12.2017 08:30";"9.4";"729.1";"";"0.8";"74";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"5.0";"";"";"";"";"";"";
"31.12.2017 05:30";"9.2";"728.3";"";"";"87";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"30.12.2017 17:30";"17.0";"728.5";"";"-0.9";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"21.2";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"30.12.2017 14:30";"21.0";"729.4";"";"-2.1";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"30.12.2017 11:30";"18.0";"731.5";"";"1.2";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.8";"";"";"";"";"";"";
