# Weather station Purulia, India, WMO_ID=42705,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42705&lang=en
#
"Local time in Purulia";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 08:30";"14.0";"739.0";"761.8";"";"72";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"10.7";"";"";"";"";"";"";"10.0";"8.9";"";"";"";"";"";"";
"30.12.2017 17:30";"20.0";"739.4";"761.7";"";"51";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.3";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"30.12.2017 08:30";"17.0";"738.7";"761.2";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.7";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"29.12.2017 17:30";"24.0";"737.6";"759.5";"";"46";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.3";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"29.12.2017 08:30";"14.0";"739.6";"762.4";"";"67";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"10.0";"8.0";"";"";"";"";"";"";
"28.12.2017 17:30";"22.0";"737.3";"759.4";"";"43";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"25.3";"";"";"";"";"";"10.0";"8.9";"";"";"";"";"";"";
"28.12.2017 08:30";"14.0";"738.3";"761.0";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"10.0";"10.2";"";"";"";"";"";"";
"27.12.2017 17:30";"25.0";"737.1";"759.0";"";"41";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.7";"";"";"";"";"";"10.0";"10.7";"";"";"";"";"";"";
"27.12.2017 08:30";"14.0";"739.0";"761.8";"";"72";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"11.1";"";"";"";"";"";"";"10.0";"8.9";"";"";"";"";"";"";
"26.12.2017 17:30";"22.4";"737.2";"759.2";"";"41";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"25.3";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
