# Weather station Hassan, India, WMO_ID=43263,selection from 09.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43263&lang=en
#
"Local time in Hassan";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 08:30";"17.8";"682.1";"";"";"76";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"7.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.4";"";"";"";"";"";"";
"30.12.2017 17:30";"26.8";"678.7";"";"";"71";"Wind blowing from the south-west";"8";"";"";"60%.";" ";"";"";"";"28.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.0";"";"";"";"";"";"";
"29.12.2017 08:30";"17.8";"681.3";"";"";"79";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"7.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.0";"";"";"";"";"";"";
"28.12.2017 17:30";"26.6";"678.0";"";"";"76";"Wind blowing from the south-west";"8";"";"";"60%.";" ";"";"";"";"28.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.0";"";"";"";"";"";"";
"28.12.2017 08:30";"18.0";"681.4";"";"";"74";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"8.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.3";"";"";"";"";"";"";
"27.12.2017 17:30";"26.8";"678.0";"";"";"75";"Wind blowing from the south-west";"10";"";"";"60%.";" ";"";"";"";"28.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.9";"";"";"";"";"";"";
"27.12.2017 08:30";"18.4";"681.4";"";"";"72";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"7.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.3";"";"";"";"";"";"";
"26.12.2017 17:30";"26.0";"678.8";"";"";"79";"Wind blowing from the south-west";"8";"";"";"60%.";" ";"";"";"";"28.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.0";"";"";"";"";"";"";
"26.12.2017 08:30";"19.0";"679.9";"";"";"66";"Wind blowing from the north-east";"5";"";"";"20–30%.";" ";"";"";"8.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.5";"";"";"";"";"";"";
"25.12.2017 17:30";"26.2";"678.1";"";"";"82";"Wind blowing from the south-west";"8";"";"";"60%.";" ";"";"";"";"28.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.8";"";"";"";"";"";"";
