# Weather station Karvar, India, WMO_ID=43225,selection from 11.07.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43225&lang=en
#
"Local time in Karvar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"30.6";"756.4";"756.8";"-0.3";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.6";"";"";"";"";"";"10.0";"22.1";"";"";"";"";"";"";
"31.12.2017 14:30";"34.0";"756.7";"757.1";"-2.4";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"31.12.2017 11:30";"30.6";"759.1";"759.4";"-0.3";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.0";"";"";"";"";"";"";
"31.12.2017 08:30";"19.6";"759.4";"759.8";"";"83";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"17.1";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"30.12.2017 17:30";"28.8";"757.3";"757.7";"-0.3";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.8";"";"";"";"";"";"10.0";"19.6";"";"";"";"";"";"";
"30.12.2017 14:30";"32.4";"757.6";"758.0";"-2.3";"42";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.8";"";"";"";"";"";"";
"30.12.2017 11:30";"30.0";"759.9";"760.3";"-0.5";"46";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.0";"";"";"";"";"";"";
"30.12.2017 08:30";"18.8";"760.4";"760.8";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.3";"";"";"";"";"";"";"10.0";"15.8";"";"";"";"";"";"";
"29.12.2017 17:30";"";"757.7";"758.1";"-0.4";"";"Wind blowing from the north-northeast";"7";"";"";"10%  or less, but not 0";" ";"";"";"";"33.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"19.9";"";"";"";"";"";"";
"29.12.2017 14:30";"32.0";"758.1";"758.5";"-2.1";"36";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"15.2";"";"";"";"";"";"";
"29.12.2017 11:30";"29.4";"760.2";"760.6";"0.0";"46";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.7";"";"";"";"";"";"";
"29.12.2017 08:30";"20.6";"760.2";"760.6";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.7";"";"";"";"";"";"";"10.0";"15.9";"";"";"";"";"";"";
"28.12.2017 17:30";"32.4";"757.0";"757.3";"-0.2";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.8";"";"";"";"";"";"10.0";"18.2";"";"";"";"";"";"";
"28.12.2017 14:30";"33.0";"757.2";"757.6";"-2.5";"35";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"28.12.2017 11:30";"29.6";"759.7";"760.1";"0.0";"43";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"28.12.2017 08:30";"21.4";"759.7";"760.1";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.5";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"27.12.2017 17:30";"32.2";"757.3";"757.6";"-0.5";"39";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.4";"";"";"";"";"";"";
"27.12.2017 14:30";"33.0";"757.8";"758.2";"-2.7";"36";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"15.8";"";"";"";"";"";"";
"27.12.2017 11:30";"30.0";"760.5";"760.9";"-0.1";"44";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.6";"";"";"";"";"";"";
"27.12.2017 08:30";"23.4";"760.6";"760.9";"";"51";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"18.1";"";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"26.12.2017 17:30";"33.0";"757.6";"758.0";"-0.2";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.8";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"26.12.2017 14:30";"35.2";"757.8";"758.2";"-2.3";"30";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"26.12.2017 11:30";"31.0";"760.1";"760.5";"-0.4";"46";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.9";"";"";"";"";"";"";
"26.12.2017 08:30";"20.6";"760.5";"760.9";"";"73";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"25.12.2017 17:30";"31.6";"757.6";"757.9";"-0.1";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"10.0";"22.9";"";"";"";"";"";"";
"25.12.2017 14:30";"35.0";"757.7";"758.1";"-2.0";"30";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.2";"";"";"";"";"";"";
"25.12.2017 11:30";"31.0";"759.7";"760.1";"-0.2";"40";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"25.12.2017 08:30";"23.4";"759.9";"760.3";"";"57";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"18.9";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"24.12.2017 17:30";"31.4";"757.0";"757.3";"0.0";"61";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"34.6";"";"";"";"";"";"10.0";"23.0";"";"";"";"";"";"";
"24.12.2017 14:30";"34.2";"757.0";"757.3";"-2.4";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"24.12.2017 11:30";"30.6";"759.4";"759.8";"0.1";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"24.12.2017 08:30";"21.6";"759.3";"759.7";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.5";"";"";"";"";"";"";"10.0";"16.3";"";"";"";"";"";"";
"23.12.2017 17:30";"31.4";"756.8";"757.2";"-0.4";"57";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"35.4";"";"";"";"";"";"10.0";"22.0";"";"";"";"";"";"";
"23.12.2017 14:30";"34.8";"757.2";"757.6";"-2.2";"28";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"23.12.2017 11:30";"31.4";"759.4";"759.7";"0.0";"42";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.9";"";"";"";"";"";"";
