# Weather station Khargone, India, WMO_ID=42849,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42849&lang=en
#
"Local time in Khargone";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"26.2";"736.1";"757.6";"";"52";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"31.12.2017 08:30";"14.6";"739.6";"762.1";"";"74";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"30.12.2017 08:30";"16.2";"741.1";"763.5";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.7";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"30.12.2017 05:30";"16.2";"741.1";"763.5";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.7";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"29.12.2017 17:30";"26.8";"737.2";"758.7";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"29.12.2017 08:30";"15.2";"741.0";"763.5";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"8.1";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"28.12.2017 17:30";"26.2";"737.8";"759.3";"";"46";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"28.12.2017 08:30";"14.4";"741.1";"763.6";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.2";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"27.12.2017 17:30";"25.4";"738.1";"759.7";"";"49";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"26.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.9";"";"";"";"";"";"";
"27.12.2017 08:30";"14.4";"740.8";"763.3";"";"58";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"6.5";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
