# Weather station Jalna, India, WMO_ID=43012,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43012&lang=en
#
"Local time in Jalna";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2017 17:30";"27.0";"715.1";"759.6";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
"30.12.2017 08:30";"13.6";"717.0";"763.8";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"28.12.2017 17:30";"26.4";"714.7";"759.1";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"28.12.2017 08:30";"14.0";"717.2";"764.0";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"27.12.2017 08:30";"13.8";"717.6";"764.4";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"10.5";"";"";"";"";"";"";
"26.12.2017 17:30";"26.0";"716.3";"761.1";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"26.12.2017 08:30";"15.0";"718.6";"765.2";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"23.12.2017 08:30";"14.0";"718.0";"764.8";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"22.12.2017 17:30";"26.8";"716.9";"761.6";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"22.12.2017 08:30";"15.6";"719.6";"766.0";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"21.12.2017 17:30";"29.0";"717.5";"761.9";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"21.12.2017 08:30";"15.8";"720.1";"766.6";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
