# Weather station Kolhapur, India, WMO_ID=43157,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43157&lang=en
#
"Local time in Kolhapur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"26.4";"709.0";"755.9";"-0.6";"40";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"31.12.2017 14:30";"27.8";"709.6";"756.4";"-2.6";"32";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"31.12.2017 11:30";"24.4";"712.2";"759.6";"-0.4";"46";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"31.12.2017 08:30";"16.8";"712.6";"761.4";"";"64";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.0";"";"";"";"";"";"";"2.0";"9.9";"";"";"";"";"";"";
"30.12.2017 17:30";"26.4";"710.2";"757.1";"-0.3";"36";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"30.12.2017 14:30";"27.8";"710.5";"757.3";"-2.4";"29";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"30.12.2017 11:30";"23.6";"712.9";"760.5";"-0.3";"43";"Wind blowing from the east-southeast";"2";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"30.12.2017 08:30";"16.2";"713.2";"761.9";"";"65";"Wind blowing from the east-northeast";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"14.3";"";"";"";"";"";"";"2.0";"9.6";"";"";"";"";"";"";
"29.12.2017 17:30";"27.2";"710.7";"757.5";"-0.2";"34";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"29.12.2017 14:30";"28.2";"710.9";"757.6";"-2.2";"30";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"29.12.2017 11:30";"24.0";"713.1";"760.6";"0.0";"46";"Wind blowing from the east-southeast";"2";"";"";"no clouds";"Clouds generally dissolving or becoming less developed. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"29.12.2017 08:30";"16.0";"713.1";"762.0";"";"65";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"9.4";"";"";"";"";"";"";
"28.12.2017 17:30";"26.8";"710.3";"757.2";"0.0";"35";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"9.9";"";"";"";"";"";"";
"28.12.2017 14:30";"27.8";"710.3";"757.6";"-2.9";"33";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.0";"";"";"";"";"";"";
"28.12.2017 11:30";"24.2";"713.2";"760.6";"-0.3";"43";"Wind blowing from the east";"1";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"28.12.2017 08:30";"16.4";"713.5";"762.3";"";"62";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.3";"";"";"";"";"";"";"2.0";"9.0";"";"";"";"";"";"";
"27.12.2017 17:30";"27.0";"710.8";"757.8";"0.0";"36";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"28.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"10.7";"";"";"";"";"";"";
"27.12.2017 14:30";"27.8";"710.8";"757.6";"-2.7";"33";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.0";"";"";"";"";"";"";
"27.12.2017 11:30";"24.4";"713.5";"760.9";"-0.1";"42";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"27.12.2017 08:30";"17.8";"713.6";"762.3";"";"63";"Wind blowing from the east-northeast";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.1";"";"";"";"";"";"";"2.0";"10.7";"";"";"";"";"";"";
"26.12.2017 17:30";"27.8";"711.1";"757.9";"-0.1";"38";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"29.3";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"26.12.2017 14:30";"28.6";"711.2";"757.9";"-2.5";"36";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.1";"";"";"";"";"";"";
"26.12.2017 11:30";"25.6";"713.7";"761.0";"-0.1";"45";"Wind blowing from the east";"2";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"26.12.2017 08:30";"17.8";"713.8";"762.4";"";"60";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.1";"";"";"";"";"";"";"2.0";"9.9";"";"";"";"";"";"";
"25.12.2017 17:30";"28.4";"710.6";"757.2";"";"37";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.9";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"25.12.2017 11:30";"25.2";"713.1";"760.3";"-0.1";"49";"Wind blowing from the east";"1";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
