# Weather station Udgir, India, WMO_ID=43076,selection from 03.08.2014 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43076&lang=en
#
"Local time in Udgir";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"24.2";"699.0";"752.2";"";"56";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"31.12.2017 08:30";"20.6";"701.5";"755.6";"";"71";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"30.12.2017 17:30";"24.4";"700.4";"753.7";"";"56";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"29.12.2017 08:30";"22.4";"702.8";"756.7";"";"67";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"28.12.2017 17:30";"24.4";"701.1";"754.5";"";"56";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"28.12.2017 08:30";"20.2";"702.4";"756.7";"";"63";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"10.0";"12.8";"";"";"";"";"";"";
"27.12.2017 17:30";"24.6";"701.3";"754.6";"";"57";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"27.12.2017 08:30";"20.8";"702.5";"756.7";"";"62";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"13.1";"";"";"";"";"";"";
"26.12.2017 17:30";"25.4";"702.0";"755.2";"";"61";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"26.12.2017 08:30";"19.8";"702.4";"756.7";"";"70";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"25.12.2017 08:30";"22.4";"702.2";"756.0";"";"78";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"10.0";"18.4";"";"";"";"";"";"";
"24.12.2017 17:30";"24.2";"700.4";"753.7";"";"66";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"24.12.2017 08:30";"22.4";"702.2";"756.0";"";"61";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"23.12.2017 08:30";"22.6";"702.2";"756.0";"";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"22.12.2017 17:30";"24.2";"702.5";"756.0";"";"66";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"22.12.2017 08:30";"22.4";"704.2";"758.2";"";"58";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"21.12.2017 17:30";"26.2";"703.5";"756.7";"";"51";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"21.12.2017 08:30";"22.6";"705.0";"759.0";"";"53";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"20.12.2017 17:30";"25.8";"702.8";"756.0";"";"55";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
"20.12.2017 08:30";"22.0";"704.9";"759.0";"";"51";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"19.12.2017 17:30";"25.0";"702.6";"756.0";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"10.0";"16.9";"";"";"";"";"";"";
"19.12.2017 08:30";"21.0";"704.7";"759.0";"";"44";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
"18.12.2017 17:30";"25.8";"702.8";"756.0";"";"58";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"16.8";"";"";"";"";"";"";
"18.12.2017 08:30";"21.2";"705.4";"759.7";"";"65";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"17.12.2017 17:30";"26.2";"703.5";"756.7";"";"58";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"17.12.2017 08:30";"25.6";"706.2";"759.7";"";"65";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"10.0";"18.6";"";"";"";"";"";"";
"16.12.2017 08:30";"22.4";"704.2";"758.2";"";"78";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"18.4";"";"";"";"";"";"";
"15.12.2017 17:30";"25.8";"702.8";"756.0";"";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"17.2";"";"";"";"";"";"";
"15.12.2017 08:30";"21.2";"702.6";"756.7";"";"90";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"14.12.2017 17:30";"28.6";"702.5";"755.2";"";"50";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"14.12.2017 08:30";"22.8";"702.9";"756.7";"";"75";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"18.2";"";"";"";"";"";"";
"13.12.2017 17:30";"28.8";"701.5";"754.1";"";"50";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"31.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"17.5";"";"";"";"";"";"";
"13.12.2017 08:30";"23.2";"703.3";"757.1";"";"73";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"18.0";"";"";"";"";"";"";
"12.12.2017 17:30";"25.2";"701.3";"754.5";"";"62";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"17.5";"";"";"";"";"";"";
"12.12.2017 08:30";"21.2";"702.6";"756.7";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"11.12.2017 17:30";"25.0";"701.2";"754.5";"";"62";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"09.12.2017 17:30";"25.8";"700.0";"753.0";"";"62";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.9";"";"";"";"";"";"";
"09.12.2017 08:30";"24.4";"701.8";"755.2";"";"70";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"10.0";"18.6";"";"";"";"";"";"";
"08.12.2017 17:30";"28.6";"700.5";"753.0";"";"64";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"10.0";"21.0";"";"";"";"";"";"";
"08.12.2017 08:30";"23.4";"701.0";"754.5";"";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"07.12.2017 08:30";"24.2";"700.4";"753.7";"";"75";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"06.12.2017 20:30";"27.4";"699.5";"752.2";"";"69";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"30.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"21.3";"";"";"";"";"";"";
"06.12.2017 17:30";"27.4";"699.5";"752.2";"";"69";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"30.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"21.3";"";"";"";"";"";"";
"06.12.2017 08:30";"21.2";"699.8";"753.7";"";"88";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"10.0";"19.1";"";"";"";"";"";"";
