# Weather station Nanded, India, WMO_ID=43021,selection from 28.05.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43021&lang=en
#
"Local time in Nanded";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"30.0";"730.8";"760.9";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"31.12.2017 08:30";"19.0";"729.9";"761.1";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"30.12.2017 17:30";"30.0";"730.5";"760.6";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"30.12.2017 08:30";"15.5";"731.1";"762.7";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"10.7";"";"";"";"";"";"";
"29.12.2017 17:30";"29.5";"730.8";"760.9";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"28.12.2017 17:30";"30.0";"728.8";"758.8";"";"24";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"7.1";"";"";"";"";"";"";
"28.12.2017 08:30";"15.5";"731.7";"763.4";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"10.7";"";"";"";"";"";"";
"27.12.2017 17:30";"30.0";"729.0";"759.0";"";"24";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"7.1";"";"";"";"";"";"";
"27.12.2017 08:30";"15.5";"731.7";"763.4";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"10.7";"";"";"";"";"";"";
"26.12.2017 17:30";"29.0";"729.5";"759.6";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"26.12.2017 08:30";"17.5";"731.3";"762.7";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"25.12.2017 17:30";"28.0";"731.8";"762.1";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"12.7";"";"";"";"";"";"";
"25.12.2017 08:30";"17.0";"730.1";"761.5";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"24.12.2017 08:30";"18.0";"731.2";"762.6";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"23.12.2017 17:30";"29.0";"734.1";"764.4";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"23.12.2017 08:30";"15.0";"730.1";"761.8";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"11.6";"";"";"";"";"";"";
"22.12.2017 17:30";"30.0";"730.6";"760.7";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"22.12.2017 08:30";"15.0";"729.5";"761.1";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"21.12.2017 17:30";"29.5";"731.5";"761.7";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"13.6";"";"";"";"";"";"";
"21.12.2017 08:30";"14.5";"732.5";"764.3";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"10.8";"";"";"";"";"";"";
"20.12.2017 17:30";"30.0";"734.0";"764.2";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"20.12.2017 08:30";"14.5";"731.8";"763.6";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"9.6";"";"";"";"";"";"";
"19.12.2017 08:30";"15.5";"733.6";"765.4";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"11.9";"";"";"";"";"";"";
"18.12.2017 17:30";"30.0";"732.3";"762.4";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"18.12.2017 08:30";"18.0";"731.2";"762.6";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"17.12.2017 17:30";"28.5";"731.5";"761.8";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"14.4";"";"";"";"";"";"";
"17.12.2017 08:30";"19.5";"731.8";"763.0";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"16.12.2017 17:30";"29.0";"729.7";"759.8";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"27.2";"";"";"";"";"";"";
"15.12.2017 17:30";"29.5";"732.1";"762.3";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"15.12.2017 08:30";"23.0";"731.8";"762.6";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"16.5";"";"";"";"";"";"";
"14.12.2017 17:30";"29.0";"729.7";"759.8";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"27.6";"";"";"";"";"";"";
"14.12.2017 08:30";"21.5";"730.3";"761.2";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"13.12.2017 17:30";"30.0";"729.7";"759.7";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"13.12.2017 08:30";"21.0";"729.7";"760.7";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"12.12.2017 17:30";"28.5";"731.1";"761.3";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"27.8";"";"";"";"";"";"";
"12.12.2017 08:30";"20.0";"";"761.3";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"11.12.2017 17:30";"31.0";"";"761.2";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"9.9";"";"";"";"";"";"";
"10.12.2017 08:30";"21.0";"";"761.5";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"09.12.2017 17:30";"30.0";"";"759.6";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"09.12.2017 08:30";"20.0";"";"760.7";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"08.12.2017 17:30";"31.0";"";"759.4";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"14.7";"";"";"";"";"";"";
"08.12.2017 08:30";"22.0";"";"760.0";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"17.1";"";"";"";"";"";"";
"07.12.2017 08:30";"23.5";"";"757.8";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"19.2";"";"";"";"";"";"";
"06.12.2017 08:30";"22.0";"";"757.8";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"17.1";"";"";"";"";"";"";
"05.12.2017 17:30";"29.0";"";"757.4";"";"19";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"3.2";"";"";"";"";"";"";
"05.12.2017 08:30";"20.0";"";"761.0";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"04.12.2017 17:30";"29.5";"";"756.1";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"13.6";"";"";"";"";"";"";
"04.12.2017 08:30";"20.0";"";"761.0";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"03.12.2017 08:30";"19.0";"";"761.1";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"02.12.2017 08:30";"21.0";"";"760.6";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"12.1";"";"";"";"";"";"";
"01.12.2017 17:30";"27.0";"";"756.8";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"01.12.2017 08:30";"22.0";"";"761.0";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"30.11.2017 08:30";"22.0";"";"761.1";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"29.11.2017 08:30";"20.0";"";"761.1";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"28.11.2017 08:30";"20.0";"";"761.5";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"27.11.2017 08:30";"19.0";"";"762.3";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"26.11.2017 08:30";"23.0";"";"762.1";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"16.5";"";"";"";"";"";"";
"25.11.2017 08:30";"22.5";"";"760.6";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"17.8";"";"";"";"";"";"";
"24.11.2017 08:30";"24.0";"";"760.8";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"19.3";"";"";"";"";"";"";
"23.11.2017 08:30";"25.0";"";"758.5";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"10.0";"20.4";"";"";"";"";"";"";
"22.11.2017 08:30";"25.0";"";"758.5";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"10.0";"20.4";"";"";"";"";"";"";
"21.11.2017 08:30";"26.0";"";"761.5";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"10.0";"19.2";"";"";"";"";"";"";
"20.11.2017 08:30";"26.0";"";"760.7";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"18.1";"";"";"";"";"";"";
"19.11.2017 08:30";"25.5";"";"760.4";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"22.6";"";"";"";"";"";"";
"18.11.2017 08:30";"24.5";"";"760.0";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
"17.11.2017 08:30";"22.5";"";"758.9";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.5";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"16.11.2017 08:30";"22.5";"";"758.8";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"10.0";"19.5";"";"";"";"";"";"";
"15.11.2017 08:30";"21.5";"";"758.3";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"14.11.2017 08:30";"19.5";"";"758.2";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"13.11.2017 08:30";"19.0";"";"760.0";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"12.11.2017 08:30";"19.0";"";"760.9";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"11.11.2017 08:30";"20.5";"";"761.3";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"18.0";"";"";"";"";"";"";
"10.11.2017 11:30";"21.5";"";"760.6";"";"92";"";"";"";"";"";" ";"";"";"17.0";"";"";"";"";"";"";"";"20.1";"";"";"";"";"";"";
"10.11.2017 08:30";"21.5";"";"760.6";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"20.1";"";"";"";"";"";"";
"09.11.2017 08:30";"23.0";"";"761.3";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"10.0";"18.2";"";"";"";"";"";"";
"08.11.2017 08:30";"23.0";"";"761.4";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"19.9";"";"";"";"";"";"";
"07.11.2017 08:30";"21.0";"731.9";"763.0";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"17.8";"";"";"";"";"";"";
"06.11.2017 08:30";"23.5";"731.2";"762.0";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"18.9";"";"";"";"";"";"";
"05.11.2017 08:30";"23.0";"730.8";"761.6";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"19.9";"";"";"";"";"";"";
"03.11.2017 08:30";"21.0";"729.8";"760.8";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"02.11.2017 17:30";"31.0";"727.5";"757.3";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"26.8";"";"";"";"";"";"";
