# Weather station Harnai, India, WMO_ID=43109,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43109&lang=en
#
"Local time in Harnai";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"27.0";"756.2";"757.9";"-0.4";"63";"Wind blowing from the north-west";"3";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"30.0";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"31.12.2017 14:30";"28.4";"756.6";"758.3";"-2.9";"55";"Wind blowing from the north-northwest";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"31.12.2017 11:30";"26.8";"759.5";"761.2";"0.9";"52";"Wind blowing from the south-west";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"31.12.2017 08:30";"23.2";"758.6";"760.4";"";"52";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"21.1";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"30.12.2017 17:30";"27.2";"757.3";"759.0";"-0.6";"52";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"30.8";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"30.12.2017 14:30";"29.0";"757.9";"759.6";"-2.2";"49";"Wind blowing from the east-southeast";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"30.12.2017 11:30";"26.6";"760.1";"761.8";"0.5";"45";"Wind blowing from the west-northwest";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"30.12.2017 08:30";"21.0";"759.6";"761.4";"";"65";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"19.4";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"29.12.2017 17:30";"27.6";"757.7";"759.4";"-0.2";"55";"Wind blowing from the north-northwest";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"30.7";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"29.12.2017 14:30";"29.8";"757.9";"759.6";"-2.2";"48";"Wind blowing from the north-northwest";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
