# Weather station Yavatmal, India, WMO_ID=42943,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42943&lang=en
#
"Local time in Yavatmal";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"26.0";"720.4";"758.5";"";"36";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"31.12.2017 08:30";"18.0";"722.8";"762.1";"";"45";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"5.8";"";"";"";"";"";"";
"30.12.2017 17:30";"26.0";"721.6";"759.7";"";"32";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"30.12.2017 08:30";"19.4";"723.6";"762.7";"";"44";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"29.12.2017 17:30";"25.4";"721.7";"759.9";"";"29";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"29.12.2017 08:30";"21.2";"723.5";"762.4";"";"36";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"5.6";"";"";"";"";"";"";
"28.12.2017 17:30";"28.0";"721.4";"759.3";"";"47";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"28.12.2017 08:30";"21.0";"724.4";"763.4";"";"35";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"4.7";"";"";"";"";"";"";
"27.12.2017 17:30";"26.4";"721.7";"759.8";"";"28";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"27.12.2017 08:30";"18.0";"724.4";"763.8";"";"31";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"0.5";"";"";"";"";"";"";
"26.12.2017 17:30";"26.4";"721.6";"759.7";"";"31";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"26.12.2017 08:30";"19.0";"723.8";"763.0";"";"34";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"2.6";"";"";"";"";"";"";
"25.12.2017 17:30";"28.0";"720.9";"758.7";"";"22";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"4.6";"";"";"";"";"";"";
"25.12.2017 08:30";"15.4";"722.5";"762.1";"";"75";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"24.12.2017 17:30";"27.0";"720.3";"758.2";"";"34";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"24.12.2017 08:30";"19.0";"722.4";"761.5";"";"55";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"23.12.2017 17:30";"25.4";"722.3";"760.6";"";"45";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"30.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.7";"";"";"";"";"";"";
"23.12.2017 08:30";"20.0";"724.3";"763.4";"";"48";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"15.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.6";"";"";"";"";"";"";
"22.12.2017 17:30";"25.4";"723.2";"761.5";"";"39";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"22.12.2017 08:30";"21.0";"724.4";"763.3";"";"49";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"14.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.9";"";"";"";"";"";"";
"21.12.2017 17:30";"25.4";"723.8";"762.1";"";"40";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"21.12.2017 08:30";"20.4";"725.8";"764.9";"";"47";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"20.12.2017 17:30";"25.0";"723.4";"761.8";"";"28";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"20.12.2017 08:30";"21.0";"725.2";"764.2";"";"28";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"11.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.5";"";"";"";"";"";"";
"19.12.2017 17:30";"26.0";"723.0";"761.2";"";"30";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"19.12.2017 08:30";"22.0";"726.5";"765.4";"";"24";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"4.0";"0.3";"";"";"";"";"";"";
"18.12.2017 17:30";"24.0";"723.9";"762.4";"";"42";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.3";"";"";"";"";"";"";
"18.12.2017 08:30";"22.0";"726.3";"765.2";"";"43";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"16.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.9";"";"";"";"";"";"";
"17.12.2017 17:30";"26.0";"723.3";"761.5";"";"41";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"30.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.7";"";"";"";"";"";"";
"17.12.2017 08:30";"22.0";"725.5";"764.4";"";"46";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"16.12.2017 17:30";"27.4";"722.6";"760.6";"";"48";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"16.12.2017 08:30";"24.0";"724.8";"763.4";"";"53";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"15.12.2017 17:30";"27.4";"722.8";"760.8";"";"42";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"31.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.2";"";"";"";"";"";"";
"15.12.2017 08:30";"23.0";"723.9";"762.6";"";"52";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
