# Weather station Keongjhargarh, India, WMO_ID=42891,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42891&lang=en
#
"Local time in Keongjhargarh";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"21.6";"717.5";"759.1";"-0.3";"59";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"26.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"13.3";"";"";"";"";"";"";
"31.12.2017 14:30";"25.8";"717.8";"758.8";"-2.6";"33";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"31.12.2017 11:30";"23.4";"720.4";"761.9";"-0.7";"45";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"10.6";"";"";"";"";"";"";
"31.12.2017 08:30";"15.0";"721.1";"763.9";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.8";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"30.12.2017 17:30";"20.8";"719.0";"760.8";"-0.2";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.1";"";"";"";"";"";"2.0";"12.7";"";"";"";"";"";"";
"30.12.2017 14:30";"26.0";"719.2";"760.2";"-1.9";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"30.12.2017 11:30";"23.2";"721.1";"762.6";"-0.5";"43";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"30.12.2017 08:30";"15.8";"721.6";"764.3";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.7";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"29.12.2017 17:30";"20.4";"719.7";"761.6";"0.0";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"2.0";"11.0";"";"";"";"";"";"";
"29.12.2017 14:30";"26.2";"719.7";"760.7";"-2.0";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"29.12.2017 11:30";"23.6";"721.7";"763.2";"-0.2";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"29.12.2017 08:30";"15.6";"721.9";"764.6";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.9";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
