# Weather station Baripada, India, WMO_ID=42894,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42894&lang=en
#
"Local time in Baripada";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"23.6";"";"760.7";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"2.0";"17.9";"";"";"";"";"";"";
"31.12.2017 08:30";"17.0";"";"765.4";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"30.12.2017 17:30";"23.0";"";"762.4";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"2.0";"16.5";"";"";"";"";"";"";
"30.12.2017 08:30";"18.0";"";"766.3";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"29.12.2017 17:30";"24.0";"";"763.1";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"2.0";"16.9";"";"";"";"";"";"";
"29.12.2017 08:30";"17.2";"";"766.9";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"28.12.2017 17:30";"23.4";"";"762.7";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"2.0";"15.4";"";"";"";"";"";"";
"28.12.2017 08:30";"16.6";"";"766.3";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"27.12.2017 08:30";"15.6";"";"765.7";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"26.12.2017 17:30";"22.6";"";"758.0";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"2.0";"13.7";"";"";"";"";"";"";
"26.12.2017 08:30";"16.4";"760.9";"765.8";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"2.0";"12.0";"";"";"";"";"";"";
"23.12.2017 17:30";"23.6";"757.1";"761.8";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"2.0";"17.9";"";"";"";"";"";"";
"23.12.2017 08:30";"19.0";"760.3";"765.1";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"22.12.2017 17:30";"24.0";"758.7";"763.4";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"2.0";"19.0";"";"";"";"";"";"";
"22.12.2017 08:30";"19.6";"761.8";"766.6";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"21.12.2017 17:30";"23.0";"759.9";"764.6";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"2.0";"19.2";"";"";"";"";"";"";
