# Weather station Sikar, India, WMO_ID=42249,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42249&lang=en
#
"Local time in Sikar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"19.6";"722.0";"759.1";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"2.4";"";"";"";"";"";"";
"31.12.2017 08:30";"7.4";"725.1";"764.0";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.0";"";"";"";"";"";"";"2.0";"2.6";"";"";"";"";"";"";
"30.12.2017 17:30";"20.4";"723.7";"760.7";"";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"4.0";"1.1";"";"";"";"";"";"";
"30.12.2017 08:30";"7.6";"725.7";"764.6";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"4.0";"3.5";"";"";"";"";"";"";
"29.12.2017 17:30";"22.0";"723.0";"759.8";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"29.12.2017 08:30";"9.6";"725.4";"764.0";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.5";"";"";"";"";"";"";"2.0";"3.7";"";"";"";"";"";"";
"28.12.2017 17:30";"23.6";"723.2";"759.8";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"28.12.2017 08:30";"9.0";"725.2";"763.9";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"3.5";"";"";"";"";"";"";"4.0";"1.2";"";"";"";"";"";"";
"27.12.2017 08:30";"8.4";"725.9";"764.7";"";"65";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"4.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"2.2";"";"";"";"";"";"";
"26.12.2017 17:30";"21.6";"723.9";"760.8";"";"32";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"4.2";"";"";"";"";"";"";
"26.12.2017 08:30";"8.6";"726.0";"764.8";"";"76";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"4.5";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"4.5";"";"";"";"";"";"";
"25.12.2017 17:30";"21.8";"723.7";"760.6";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.8";"";"";"";"";"";"4.0";"2.9";"";"";"";"";"";"";
"25.12.2017 08:30";"9.0";"725.6";"764.3";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.0";"";"";"";"";"";"";"2.0";"4.5";"";"";"";"";"";"";
"24.12.2017 17:30";"23.0";"722.3";"758.9";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"24.12.2017 08:30";"12.6";"724.7";"762.8";"";"47";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"4.5";"";"";"";"";"";"";"4.0";"1.4";"";"";"";"";"";"";
"23.12.2017 17:30";"21.0";"722.9";"759.8";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"23.12.2017 08:30";"9.0";"724.7";"763.3";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.0";"";"";"";"";"";"";"4.0";"1.8";"";"";"";"";"";"";
"22.12.2017 17:30";"21.0";"725.3";"762.3";"";"42";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"24.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"7.5";"";"";"";"";"";"";
"22.12.2017 08:30";"12.6";"727.4";"765.7";"";"75";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"10.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"8.2";"";"";"";"";"";"";
