# Weather station Salem, India, WMO_ID=43325,selection from 11.07.2013 till 14.06.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43325&lang=en
#
"Local time in Salem";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.06.2018 08:30";"26.6";"732.7";"756.0";"1.4";"80";"Wind blowing from the south-west";"3";"";"";"100%.";" ";"";"";"25.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"22.8";"";"";"";"";"";"";
"14.06.2018 05:30";"26.0";"731.3";"754.6";"";"84";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"13.06.2018 17:30";"32.8";"729.4";"752.1";"";"55";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"34.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.6";"";"";"";"";"";"";
"13.06.2018 08:30";"27.6";"732.1";"755.2";"1.2";"83";"Wind blowing from the south-southwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.4";"";"";"";"";"";"";
"13.06.2018 05:30";"25.6";"730.9";"754.3";"";"84";"Wind blowing from the south-southwest";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.6";"";"";"";"";"";"";
"12.06.2018 17:30";"31.8";"729.8";"752.6";"";"59";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"32.5";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.8";"";"";"";"";"";"";
"12.06.2018 08:30";"27.6";"732.0";"755.2";"1.7";"76";"Wind blowing from the south-southwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"25.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.9";"";"";"";"";"";"";
"12.06.2018 05:30";"26.0";"730.3";"753.7";"";"84";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.1";"";"";"";"";"";"";
"11.06.2018 17:30";"31.2";"729.2";"752.0";"";"58";"Wind blowing from the south-southwest";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"34.1";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"22.1";"";"";"";"";"";"";
"11.06.2018 08:30";"28.0";"731.8";"754.9";"1.7";"85";"Wind blowing from the south-southeast";"3";"";"";"60%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.2";"";"";"";"";"";"";
