# Weather station Medak, India, WMO_ID=43083,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43083&lang=en
#
"Local time in Medak";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"28.6";"715.6";"754.3";"";"33";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"31.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"10.6";"";"";"";"";"";"";
"31.12.2017 08:30";"15.2";"718.7";"759.4";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.7";"";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"30.12.2017 17:30";"24.2";"717.1";"756.4";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"20.0";"13.6";"";"";"";"";"";"";
"30.12.2017 08:30";"19.6";"720.4";"760.6";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.3";"";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"29.12.2017 17:30";"27.6";"717.9";"756.9";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.3";"";"";"";"";"";"20.0";"11.6";"";"";"";"";"";"";
"29.12.2017 08:30";"20.6";"720.8";"760.9";"";"50";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"8.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.9";"";"";"";"";"";"";
"28.12.2017 17:30";"25.8";"717.4";"756.5";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.3";"";"";"";"";"";"20.0";"10.0";"";"";"";"";"";"";
"28.12.2017 08:30";"19.6";"720.3";"760.4";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.8";"";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"27.12.2017 17:30";"27.0";"717.4";"756.4";"";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"20.0";"7.1";"";"";"";"";"";"";
"27.12.2017 08:30";"20.2";"720.7";"760.8";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.4";"";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
