# Weather station Comilla, Bangladesh, WMO_ID=41933,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=41933&lang=en
#
"Local time in Comilla";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 21:00";"20.3";"758.2";"758.9";"1.2";"67";"Wind blowing from the north-west";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"6.0";"14.0";"";"";"";"";"";"";
"31.12.2017 18:00";"23.7";"757.0";"757.7";"-0.3";"66";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"29.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"6.0";"17.0";"";"";"";"";"";"";
"31.12.2017 15:00";"28.4";"757.3";"758.0";"-2.5";"41";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"7.0";"14.0";"";"";"";"";"";"";
"31.12.2017 12:00";"26.0";"759.8";"760.5";"-1.0";"51";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"15.0";"";"";"";"";"";"";
"31.12.2017 09:00";"21.0";"760.8";"761.5";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.0";"";"";"";"";"";"";"5.0";"15.0";"";"";"";"";"";"";
"31.12.2017 00:00";"18.8";"760.4";"761.1";"0.4";"89";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"3.0";"17.0";"";"";"";"";"";"";
"30.12.2017 21:00";"20.2";"760.0";"760.6";"1.3";"77";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"30.12.2017 18:00";"24.4";"758.7";"759.4";"0.2";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"5.0";"14.0";"";"";"";"";"";"";
"30.12.2017 15:00";"28.0";"758.5";"759.1";"-2.3";"35";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"11.0";"";"";"";"";"";"";
"30.12.2017 12:00";"26.6";"760.8";"761.5";"-0.8";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"16.0";"";"";"";"";"";"";
"30.12.2017 09:00";"21.2";"761.6";"762.3";"1.5";"68";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.6";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"30.12.2017 06:00";"16.6";"760.1";"760.8";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"30.12.2017 03:00";"17.3";"760.0";"760.6";"-1.0";"92";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"30.12.2017 00:00";"18.4";"761.0";"761.7";"";"86";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"5.0";"16.0";"";"";"";"";"";"";
"29.12.2017 21:00";"20.2";"761.1";"761.8";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"18.0";"";"";"";"";"";"";
"29.12.2017 18:00";"24.0";"760.6";"761.3";"0.9";"57";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"6.0";"15.0";"";"";"";"";"";"";
"29.12.2017 15:00";"27.0";"759.7";"760.4";"-1.5";"48";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"15.0";"";"";"";"";"";"";
"29.12.2017 12:00";"23.3";"761.2";"761.9";"-0.9";"68";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"29.12.2017 09:00";"17.2";"762.1";"762.7";"1.2";"93";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"16.3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"16.0";"";"";"";"";"";"";
"29.12.2017 06:00";"16.9";"760.9";"761.6";"";"94";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.1";"16.0";"";"";"";"";"";"";
"29.12.2017 03:00";"16.3";"760.1";"760.8";"-0.1";"92";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"3.0";"15.0";"";"";"";"";"";"";
"29.12.2017 00:00";"18.4";"760.2";"760.9";"0.0";"92";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"3.0";"17.0";"";"";"";"";"";"";
"28.12.2017 21:00";"19.7";"760.2";"760.9";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"3.0";"19.0";"";"";"";"";"";"";
"28.12.2017 18:00";"23.2";"759.1";"759.8";"0.3";"77";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.0";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"28.12.2017 15:00";"26.4";"758.8";"759.5";"-1.8";"53";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"5.0";"16.0";"";"";"";"";"";"";
"28.12.2017 12:00";"23.0";"760.6";"761.3";"-0.8";"74";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"28.12.2017 09:00";"17.4";"761.4";"762.1";"1.7";"98";"Wind blowing from the north-east";"1";"";"";"40%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.9";"17.0";"";"";"";"";"";"";
