# Weather station Lal Bahadur Shastri / Varanasi (airport), India, WMO_ID=42479,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42479&lang=en
#
"Local time in Lal Bahadur Shastri / Varanasi (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 23:30";"10.8";"753.3";"760.9";"";"97";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"less than 0.05";"10.4";"";"";"";"";"";"";
"31.12.2017 17:30";"15.6";"752.5";"759.9";"";"83";"Wind blowing from the north-east";"3";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"18.6";"";"";"";"";"";"1.0";"12.7";"";"";"";"";"";"";
"31.12.2017 11:30";"15.6";"755.6";"763.1";"-0.4";"77";"Wind blowing from the north-west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"11.5";"";"";"";"";"";"";
"31.12.2017 08:30";"11.8";"756.0";"763.6";"1.1";"92";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.7";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.5";"10.6";"";"";"";"";"";"";
"31.12.2017 05:30";"12.0";"754.9";"762.4";"";"97";"Wind blowing from the north";"2";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"11.6";"";"";"";"";"";"";
"30.12.2017 23:30";"13.0";"755.0";"762.5";"";"96";"Wind blowing from the north-west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"12.3";"";"";"";"";"";"";
"30.12.2017 17:30";"14.4";"753.8";"761.3";"";"96";"Wind blowing from the north-northeast";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"15.6";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.5";"13.7";"";"";"";"";"";"";
"30.12.2017 11:30";"13.8";"756.7";"764.2";"-0.2";"96";"Wind blowing from the north-east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.5";"13.1";"";"";"";"";"";"";
"30.12.2017 08:30";"12.8";"756.9";"764.4";"";"100";"Wind blowing from the south-southwest";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.05";"12.8";"";"";"";"";"";"";
"29.12.2017 17:30";"16.0";"754.3";"761.7";"";"90";"Wind blowing from the north-northeast";"3";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"19.0";"";"";"";"";"";"0.5";"14.3";"";"";"";"";"";"";
"29.12.2017 11:30";"16.6";"757.0";"764.4";"0.7";"92";"Wind blowing from the north-east";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.5";"15.2";"";"";"";"";"";"";
