# Weather station Hardoi, India, WMO_ID=42271,selection from 17.11.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42271&lang=en
#
"Local time in Hardoi";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"13.8";"746.8";"759.5";"";"91";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"15.0";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"12.3";"";"";"";"";"";"";
"31.12.2017 08:30";"9.0";"749.1";"762.1";"";"97";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.5";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"8.6";"";"";"";"";"";"";
"30.12.2017 17:30";"19.0";"747.6";"760.1";"";"81";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.5";"";"";"";"";"";"2.0";"15.6";"";"";"";"";"";"";
"30.12.2017 08:30";"9.4";"750.0";"763.0";"";"95";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"8.6";"";"";"";"";"";"";
"29.12.2017 17:30";"20.4";"748.2";"760.7";"";"73";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.2";"";"";"";"";"";"2.0";"15.4";"";"";"";"";"";"";
"29.12.2017 08:30";"10.4";"749.0";"761.9";"";"95";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.4";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"9.6";"";"";"";"";"";"";
"28.12.2017 17:30";"21.4";"747.6";"760.0";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.0";"";"";"";"";"";"2.0";"16.8";"";"";"";"";"";"";
"28.12.2017 08:30";"10.0";"748.9";"761.8";"";"97";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.5";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"9.6";"";"";"";"";"";"";
"27.12.2017 17:30";"20.4";"748.5";"761.0";"";"71";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.8";"";"";"";"";"";"2.0";"15.0";"";"";"";"";"";"";
"27.12.2017 08:30";"11.0";"748.9";"761.8";"";"92";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.5";"";"";"";"";"";"";"0.5";"9.8";"";"";"";"";"";"";
