# Weather station Bagati, India, WMO_ID=42714,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42714&lang=en
#
"Local time in Bagati";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"24.5";"758.4";"759.4";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"10.0";"16.2";"";"";"";"";"";"";
"31.12.2017 08:30";"18.0";"760.8";"761.9";"";"81";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"30.12.2017 17:30";"22.5";"758.7";"759.8";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"10.0";"16.9";"";"";"";"";"";"";
"30.12.2017 08:30";"16.0";"762.2";"763.3";"";"94";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"2.0";"15.0";"";"";"";"";"";"";
"29.12.2017 17:30";"23.0";"759.7";"760.8";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"10.0";"16.5";"";"";"";"";"";"";
"29.12.2017 08:30";"15.0";"762.5";"763.6";"";"93";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"2.0";"13.9";"";"";"";"";"";"";
"28.12.2017 17:30";"22.0";"758.7";"759.8";"";"74";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"10.0";"17.1";"";"";"";"";"";"";
"28.12.2017 08:30";"17.6";"761.9";"763.0";"";"71";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"27.12.2017 17:30";"23.0";"759.0";"760.1";"";"74";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"10.0";"18.2";"";"";"";"";"";"";
"27.12.2017 08:30";"16.0";"761.8";"762.9";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"26.12.2017 17:30";"21.5";"758.9";"760.0";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"26.12.2017 08:30";"17.0";"761.5";"762.6";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"10.0";"11.5";"";"";"";"";"";"";
"25.12.2017 17:30";"20.5";"759.5";"760.6";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"25.12.2017 08:30";"19.5";"759.0";"760.1";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"24.12.2017 17:30";"23.0";"758.2";"759.3";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"24.12.2017 08:30";"18.0";"759.5";"760.6";"";"90";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"2.0";"16.3";"";"";"";"";"";"";
"23.12.2017 17:30";"24.0";"758.1";"759.1";"";"63";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"10.0";"16.5";"";"";"";"";"";"";
"23.12.2017 08:30";"19.0";"760.9";"762.0";"";"91";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"22.12.2017 17:30";"25.0";"759.6";"760.6";"";"61";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"10.0";"17.0";"";"";"";"";"";"";
"22.12.2017 08:30";"16.0";"764.3";"765.4";"";"90";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"2.0";"14.3";"";"";"";"";"";"";
"21.12.2017 17:30";"20.5";"762.7";"763.8";"";"90";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"22.5";"";"";"";"";"";"10.0";"18.8";"";"";"";"";"";"";
"20.12.2017 17:30";"21.0";"761.6";"762.7";"";"73";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"22.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.0";"";"";"";"";"";"";
"20.12.2017 08:30";"18.0";"763.8";"764.9";"";"90";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"15.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.3";"";"";"";"";"";"";
"19.12.2017 17:30";"19.0";"762.2";"763.3";"";"81";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"19.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"15.6";"";"";"";"";"";"";
