,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
457449,457450,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-11-19,4000.0,0.0
457450,457451,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-11-20,4000.0,0.0
457451,457452,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-11-23,4500.0,0.0
457452,457453,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-11-24,4500.0,0.0
457453,457454,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-11-25,4200.0,0.0
457454,457455,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-11-27,4500.0,0.0
457455,457456,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-11-28,4500.0,0.0
457456,457457,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-11-30,4500.0,0.0
457457,457458,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-05-12,4500.0,0.0
457458,457459,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-07-12,4500.0,0.0
457459,457460,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-09-12,4500.0,0.0
457460,457461,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-10-12,4800.0,0.0
457461,457462,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-12-14,4500.0,0.0
457462,457463,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-12-17,4500.0,0.0
457463,457464,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2015-12-21,4500.0,0.0
624939,624940,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2016-01-23,4500.0,0.0
624940,624941,Groundnut,Andhra Pradesh,West Godavari,Polavaram,2016-06-22,4400.0,0.0
