,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
485432,485433,Mustard,Bihar,Aurangabad,Aurangabad,2015-05-02,33000.0,5.0
485433,485434,Mustard,Bihar,Aurangabad,Aurangabad,2015-06-29,3600.0,1.0
485434,485435,Mustard,Bihar,Aurangabad,Aurangabad,2015-06-30,3700.0,1.0
485435,485436,Mustard,Bihar,Aurangabad,Aurangabad,2015-01-07,3700.0,1.0
485436,485437,Mustard,Bihar,Aurangabad,Aurangabad,2015-02-07,3750.0,1.5
485437,485438,Mustard,Bihar,Aurangabad,Aurangabad,2015-03-07,3700.0,1.0
485438,485439,Mustard,Bihar,Aurangabad,Aurangabad,2015-04-07,3750.0,1.0
485439,485440,Mustard,Bihar,Aurangabad,Aurangabad,2015-06-07,3900.0,1.0
485440,485441,Mustard,Bihar,Aurangabad,Aurangabad,2015-07-07,3850.0,1.0
485441,485442,Mustard,Bihar,Aurangabad,Aurangabad,2015-08-07,3800.0,1.0
485442,485443,Mustard,Bihar,Aurangabad,Aurangabad,2015-09-07,3825.0,1.0
485443,485444,Mustard,Bihar,Aurangabad,Aurangabad,2015-07-14,3900.0,0.1
485444,485445,Mustard,Bihar,Aurangabad,Aurangabad,2015-07-20,3750.0,0.5
485445,485446,Mustard,Bihar,Aurangabad,Aurangabad,2015-07-21,3750.0,0.5
485446,485447,Mustard,Bihar,Aurangabad,Aurangabad,2015-07-22,3750.0,0.0
485447,485448,Mustard,Bihar,Aurangabad,Aurangabad,2015-07-23,3800.0,0.5
485448,485449,Mustard,Bihar,Aurangabad,Aurangabad,2015-07-24,3800.0,1.0
485449,485450,Mustard,Bihar,Aurangabad,Aurangabad,2015-07-25,3900.0,1.5
485450,485451,Mustard,Bihar,Aurangabad,Aurangabad,2015-07-27,3850.0,1.5
485451,485452,Mustard,Bihar,Aurangabad,Aurangabad,2015-07-28,3950.0,2.0
485452,485453,Mustard,Bihar,Aurangabad,Aurangabad,2015-07-29,3950.0,1.0
485453,485454,Mustard,Bihar,Aurangabad,Aurangabad,2015-07-30,4000.0,1.0
485454,485455,Mustard,Bihar,Aurangabad,Aurangabad,2015-08-20,3900.0,1.0
485455,485456,Mustard,Bihar,Aurangabad,Aurangabad,2015-08-21,3900.0,1.0
485456,485457,Mustard,Bihar,Aurangabad,Aurangabad,2015-08-28,3900.0,1.5
485457,485458,Mustard,Bihar,Aurangabad,Aurangabad,2015-08-29,3925.0,1.0
485458,485459,Mustard,Bihar,Aurangabad,Aurangabad,2015-08-31,3900.0,1.5
485459,485460,Mustard,Bihar,Aurangabad,Aurangabad,2015-08-09,4050.0,1.5
485460,485461,Mustard,Bihar,Aurangabad,Aurangabad,2015-09-09,4075.0,1.0
485461,485462,Mustard,Bihar,Aurangabad,Aurangabad,2015-10-09,4075.0,1.5
485462,485463,Mustard,Bihar,Aurangabad,Aurangabad,2015-11-09,4050.0,1.0
485463,485464,Mustard,Bihar,Aurangabad,Aurangabad,2015-12-09,4050.0,1.0
