,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
7316,7317,Groundnut,Gujarat,Amreli,Amreli,2012-02-01,3975.0,30.0
7317,7318,Groundnut,Gujarat,Amreli,Amreli,2012-03-01,3927.5,21.3
7318,7319,Groundnut,Gujarat,Amreli,Amreli,2012-04-01,3990.0,10.5
7319,7320,Groundnut,Gujarat,Amreli,Amreli,2012-05-01,3962.5,13.1
7320,7321,Groundnut,Gujarat,Amreli,Amreli,2012-07-01,3810.0,20.8
7321,7322,Groundnut,Gujarat,Amreli,Amreli,2012-09-01,3910.0,25.4
7322,7323,Groundnut,Gujarat,Amreli,Amreli,2012-10-01,4080.0,7.9
7323,7324,Groundnut,Gujarat,Amreli,Amreli,2012-11-01,3820.0,6.3
7324,7325,Groundnut,Gujarat,Amreli,Amreli,2012-12-01,3947.5,9.2
7325,7326,Groundnut,Gujarat,Amreli,Amreli,2012-01-13,4020.0,10.6
7326,7327,Groundnut,Gujarat,Amreli,Amreli,2012-01-16,4130.0,3.4
7327,7328,Groundnut,Gujarat,Amreli,Amreli,2012-01-17,4045.0,8.7
7328,7329,Groundnut,Gujarat,Amreli,Amreli,2012-01-18,3985.0,7.1
7329,7330,Groundnut,Gujarat,Amreli,Amreli,2012-01-19,3937.5,8.0
7330,7331,Groundnut,Gujarat,Amreli,Amreli,2012-01-20,4025.0,13.5
7331,7332,Groundnut,Gujarat,Amreli,Amreli,2012-01-23,3960.0,23.2
7332,7333,Groundnut,Gujarat,Amreli,Amreli,2012-01-24,3880.0,22.4
7333,7334,Groundnut,Gujarat,Amreli,Amreli,2012-01-25,3945.0,20.6
7334,7335,Groundnut,Gujarat,Amreli,Amreli,2012-01-27,4125.0,10.8
7335,7336,Groundnut,Gujarat,Amreli,Amreli,2012-01-28,3840.0,4.4
7336,7337,Groundnut,Gujarat,Amreli,Amreli,2012-01-30,4027.5,2.3
7337,7338,Groundnut,Gujarat,Amreli,Amreli,2012-01-31,3655.0,6.7
7338,7339,Groundnut,Gujarat,Amreli,Amreli,2012-01-02,4007.5,5.2
7339,7340,Groundnut,Gujarat,Amreli,Amreli,2012-02-02,3717.5,3.5
7340,7341,Groundnut,Gujarat,Amreli,Amreli,2012-03-02,3550.0,6.2
7341,7342,Groundnut,Gujarat,Amreli,Amreli,2012-04-02,4050.0,13.1
7342,7343,Groundnut,Gujarat,Amreli,Amreli,2012-06-02,3730.0,21.2
7343,7344,Groundnut,Gujarat,Amreli,Amreli,2012-07-02,3987.5,7.3
7344,7345,Groundnut,Gujarat,Amreli,Amreli,2012-08-02,3690.0,9.1
7345,7346,Groundnut,Gujarat,Amreli,Amreli,2012-09-02,4040.0,5.2
7346,7347,Groundnut,Gujarat,Amreli,Amreli,2012-10-02,3985.0,7.4
7347,7348,Groundnut,Gujarat,Amreli,Amreli,2012-11-02,4145.0,1.5
7348,7349,Groundnut,Gujarat,Amreli,Amreli,2012-02-13,4250.0,1.2
7349,7350,Groundnut,Gujarat,Amreli,Amreli,2012-02-14,4045.0,9.3
7350,7351,Groundnut,Gujarat,Amreli,Amreli,2012-02-15,4350.0,4.0
7351,7352,Groundnut,Gujarat,Amreli,Amreli,2012-02-16,4455.0,9.9
7352,7353,Groundnut,Gujarat,Amreli,Amreli,2012-02-17,4102.5,20.0
7353,7354,Groundnut,Gujarat,Amreli,Amreli,2012-02-18,4265.0,14.1
7354,7355,Groundnut,Gujarat,Amreli,Amreli,2012-02-21,4145.0,17.5
7355,7356,Groundnut,Gujarat,Amreli,Amreli,2012-02-22,4252.5,14.8
7356,7357,Groundnut,Gujarat,Amreli,Amreli,2012-02-23,4300.0,9.7
7357,7358,Groundnut,Gujarat,Amreli,Amreli,2012-02-24,4127.5,15.1
7358,7359,Groundnut,Gujarat,Amreli,Amreli,2012-02-25,4297.5,3.9
7359,7360,Groundnut,Gujarat,Amreli,Amreli,2012-02-27,4350.0,7.9
7360,7361,Groundnut,Gujarat,Amreli,Amreli,2012-02-28,4190.0,12.0
7361,7362,Groundnut,Gujarat,Amreli,Amreli,2012-02-29,4305.0,5.0
7362,7363,Groundnut,Gujarat,Amreli,Amreli,2012-01-03,4325.0,7.4
7363,7364,Groundnut,Gujarat,Amreli,Amreli,2012-02-03,4350.0,7.3
7364,7365,Groundnut,Gujarat,Amreli,Amreli,2012-03-03,4375.0,5.9
7365,7366,Groundnut,Gujarat,Amreli,Amreli,2012-05-03,4475.0,10.3
7366,7367,Groundnut,Gujarat,Amreli,Amreli,2012-06-03,4477.5,5.5
7367,7368,Groundnut,Gujarat,Amreli,Amreli,2012-07-03,4490.0,3.3
7368,7369,Groundnut,Gujarat,Amreli,Amreli,2012-09-03,3755.0,1.0
7369,7370,Groundnut,Gujarat,Amreli,Amreli,2012-10-03,4442.5,1.7
7370,7371,Groundnut,Gujarat,Amreli,Amreli,2012-12-03,4500.0,4.4
7371,7372,Groundnut,Gujarat,Amreli,Amreli,2012-03-13,4360.0,7.7
7372,7373,Groundnut,Gujarat,Amreli,Amreli,2012-03-14,4425.0,6.0
7373,7374,Groundnut,Gujarat,Amreli,Amreli,2012-03-15,4305.0,0.9
7374,7375,Groundnut,Gujarat,Amreli,Amreli,2012-03-16,4590.0,6.0
7375,7376,Groundnut,Gujarat,Amreli,Amreli,2012-03-17,4250.0,3.2
7376,7377,Groundnut,Gujarat,Amreli,Amreli,2012-03-19,4495.0,3.5
7377,7378,Groundnut,Gujarat,Amreli,Amreli,2012-03-20,4525.0,6.4
7378,7379,Groundnut,Gujarat,Amreli,Amreli,2012-03-21,4605.0,10.3
7379,7380,Groundnut,Gujarat,Amreli,Amreli,2012-03-22,4715.0,4.9
