,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
8944,8945,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-01,3790.0,2.1
8945,8946,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-01,3520.0,3.3
8946,8947,Groundnut,Gujarat,Jamnagar,Dhrol,2012-04-01,3800.0,2.6
8947,8948,Groundnut,Gujarat,Jamnagar,Dhrol,2012-05-01,3835.0,4.5
8948,8949,Groundnut,Gujarat,Jamnagar,Dhrol,2012-06-01,3835.0,1.2
8949,8950,Groundnut,Gujarat,Jamnagar,Dhrol,2012-07-01,3720.0,1.1
8950,8951,Groundnut,Gujarat,Jamnagar,Dhrol,2012-09-01,3750.0,1.2
8951,8952,Groundnut,Gujarat,Jamnagar,Dhrol,2012-10-01,3775.0,2.3
8952,8953,Groundnut,Gujarat,Jamnagar,Dhrol,2012-11-01,3625.0,2.9
8953,8954,Groundnut,Gujarat,Jamnagar,Dhrol,2012-12-01,3650.0,2.1
8954,8955,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-13,3675.0,1.2
8955,8956,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-16,3700.0,1.0
8956,8957,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-17,3735.0,0.45
8957,8958,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-18,3730.0,2.0
8958,8959,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-19,3785.0,1.5
8959,8960,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-20,3700.0,4.6
8960,8961,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-21,3750.0,0.95
8961,8962,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-23,3775.0,1.5
8962,8963,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-24,3800.0,2.0
8963,8964,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-25,3785.0,1.0
8964,8965,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-27,3850.0,1.1
8965,8966,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-28,3700.0,0.85
8966,8967,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-29,3450.0,0.63
8967,8968,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-30,3450.0,6.3
8968,8969,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-31,3490.0,2.8
8969,8970,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-02,3445.0,1.25
8970,8971,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-02,3810.0,1.8
8971,8972,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-02,3815.0,4.25
8972,8973,Groundnut,Gujarat,Jamnagar,Dhrol,2012-04-02,4005.0,0.56
8973,8974,Groundnut,Gujarat,Jamnagar,Dhrol,2012-06-02,3600.0,0.9
8974,8975,Groundnut,Gujarat,Jamnagar,Dhrol,2012-07-02,3550.0,0.25
8975,8976,Groundnut,Gujarat,Jamnagar,Dhrol,2012-08-02,3695.0,0.5
8976,8977,Groundnut,Gujarat,Jamnagar,Dhrol,2012-09-02,3800.0,7.7
8977,8978,Groundnut,Gujarat,Jamnagar,Dhrol,2012-10-02,3755.0,0.15
8978,8979,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-13,3745.0,1.0
8979,8980,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-14,3550.0,1.4
8980,8981,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-15,3870.0,3.4
8981,8982,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-16,3865.0,1.0
8982,8983,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-17,3730.0,0.65
8983,8984,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-18,3795.0,0.9
8984,8985,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-21,4085.0,1.45
8985,8986,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-22,3925.0,2.85
8986,8987,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-23,3980.0,3.45
8987,8988,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-24,3970.0,2.25
8988,8989,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-25,3805.0,1.0
8989,8990,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-27,3915.0,1.0
8990,8991,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-28,4100.0,1.0
8991,8992,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-29,4225.0,1.95
8992,8993,Groundnut,Gujarat,Jamnagar,Dhrol,2012-01-03,4260.0,1.6
8993,8994,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-03,4190.0,1.4
8994,8995,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-03,4370.0,3.5
8995,8996,Groundnut,Gujarat,Jamnagar,Dhrol,2012-05-03,4425.0,0.65
8996,8997,Groundnut,Gujarat,Jamnagar,Dhrol,2012-06-03,4360.0,1.05
8997,8998,Groundnut,Gujarat,Jamnagar,Dhrol,2012-07-03,4330.0,0.84
8998,8999,Groundnut,Gujarat,Jamnagar,Dhrol,2012-09-03,4270.0,0.7
8999,9000,Groundnut,Gujarat,Jamnagar,Dhrol,2012-10-03,4245.0,0.65
9000,9001,Groundnut,Gujarat,Jamnagar,Dhrol,2012-12-03,4305.0,0.15
9001,9002,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-13,4185.0,0.05
9002,9003,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-14,4305.0,0.35
9003,9004,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-15,4365.0,0.6
9004,9005,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-16,4460.0,3.9
9005,9006,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-17,4390.0,3.0
9006,9007,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-19,4000.0,2.1
9007,9008,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-20,4335.0,0.8
9008,9009,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-21,4375.0,0.7
9009,9010,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-22,4345.0,0.4
9010,9011,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-23,4290.0,0.1
9011,9012,Groundnut,Gujarat,Jamnagar,Dhrol,2012-02-04,4487.5,0.3
9012,9013,Groundnut,Gujarat,Jamnagar,Dhrol,2012-03-04,4560.0,1.65
9013,9014,Groundnut,Gujarat,Jamnagar,Dhrol,2012-04-04,4585.0,0.55
9014,9015,Groundnut,Gujarat,Jamnagar,Dhrol,2012-05-04,4585.0,0.35
9015,9016,Groundnut,Gujarat,Jamnagar,Dhrol,2012-06-04,4645.0,0.7
9016,9017,Groundnut,Gujarat,Jamnagar,Dhrol,2012-07-04,4660.0,0.5
9017,9018,Groundnut,Gujarat,Jamnagar,Dhrol,2012-09-04,4690.0,1.4
9018,9019,Groundnut,Gujarat,Jamnagar,Dhrol,2012-10-04,4505.0,0.8
9019,9020,Groundnut,Gujarat,Jamnagar,Dhrol,2012-11-04,4505.0,1.5
9020,9021,Groundnut,Gujarat,Jamnagar,Dhrol,2012-12-04,4445.0,1.4
9021,9022,Groundnut,Gujarat,Jamnagar,Dhrol,2012-04-14,4365.0,0.1
9022,9023,Groundnut,Gujarat,Jamnagar,Dhrol,2012-04-17,4560.0,0.5
9023,9024,Groundnut,Gujarat,Jamnagar,Dhrol,2012-04-18,4375.0,0.3
9024,9025,Groundnut,Gujarat,Jamnagar,Dhrol,2012-04-19,4400.0,0.55
