,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
12011,12012,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-02-01,3900.0,5.0
12012,12013,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-03-01,3800.0,1.0
12013,12014,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-04-01,4000.0,12.0
12014,12015,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-05-01,4050.0,13.0
12015,12016,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-07-01,4100.0,2.0
12016,12017,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-09-01,4025.0,2.0
12017,12018,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-11-01,3900.0,2.0
12018,12019,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-01-13,3800.0,6.0
12019,12020,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-01-16,3800.0,4.0
12020,12021,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-01-17,3900.0,6.0
12021,12022,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-01-19,3900.0,2.0
12022,12023,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-01-20,3925.0,2.0
12023,12024,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-01-23,3900.0,4.0
12024,12025,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-01-27,3900.0,3.0
12025,12026,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-01-28,3750.0,4.0
12026,12027,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-01-30,3750.0,1.0
12027,12028,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-01-31,3750.0,7.0
12028,12029,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-01-02,3800.0,4.0
12029,12030,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-03-02,3850.0,3.0
12030,12031,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-08-02,3850.0,1.0
12031,12032,Groundnut,Gujarat,Sabarkantha,Bhiloda,2012-10-02,3900.0,3.0
