,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
12859,12860,Groundnut,Gujarat,Surat,Bardoli,2012-10-05,4625.0,0.9
12860,12861,Groundnut,Gujarat,Surat,Bardoli,2012-12-05,4500.0,1.7
12861,12862,Groundnut,Gujarat,Surat,Bardoli,2012-05-14,4500.0,1.7
12862,12863,Groundnut,Gujarat,Surat,Bardoli,2012-05-15,4500.0,4.3
12863,12864,Groundnut,Gujarat,Surat,Bardoli,2012-05-24,4250.0,0.06
12864,12865,Groundnut,Gujarat,Surat,Bardoli,2012-05-25,4125.0,1.04
12865,12866,Groundnut,Gujarat,Surat,Bardoli,2012-02-06,4125.0,2.0
12866,12867,Groundnut,Gujarat,Surat,Bardoli,2012-04-06,4125.0,1.16
12867,12868,Groundnut,Gujarat,Surat,Bardoli,2012-05-06,4125.0,0.44
12868,12869,Groundnut,Gujarat,Surat,Bardoli,2012-06-06,4125.0,0.34
12869,12870,Groundnut,Gujarat,Surat,Bardoli,2012-07-06,4125.0,0.8
12870,12871,Groundnut,Gujarat,Surat,Kosamba,2012-08-05,4150.0,1.13
12871,12872,Groundnut,Gujarat,Surat,Kosamba,2012-09-05,3250.0,0.5
12872,12873,Groundnut,Gujarat,Surat,Kosamba,2012-10-05,3200.0,0.5
12873,12874,Groundnut,Gujarat,Surat,Kosamba,2012-11-05,3150.0,0.3
12874,12875,Groundnut,Gujarat,Surat,Kosamba,2012-05-14,3300.0,0.6
12875,12876,Groundnut,Gujarat,Surat,Kosamba,2012-05-15,3700.0,0.5
12876,12877,Groundnut,Gujarat,Surat,Kosamba,2012-05-16,3700.0,0.65
12877,12878,Groundnut,Gujarat,Surat,Kosamba,2012-05-17,4550.0,3.6
12878,12879,Groundnut,Gujarat,Surat,Kosamba,2012-05-18,4600.0,3.2
12879,12880,Groundnut,Gujarat,Surat,Kosamba,2012-05-19,4600.0,3.0
12880,12881,Groundnut,Gujarat,Surat,Kosamba,2012-05-21,4550.0,3.5
12881,12882,Groundnut,Gujarat,Surat,Kosamba,2012-05-22,4550.0,3.2
12882,12883,Groundnut,Gujarat,Surat,Kosamba,2012-05-23,4600.0,4.0
12883,12884,Groundnut,Gujarat,Surat,Kosamba,2012-05-24,4375.0,3.5
12884,12885,Groundnut,Gujarat,Surat,Kosamba,2012-05-25,4380.0,2.0
12885,12886,Groundnut,Gujarat,Surat,Kosamba,2012-05-26,4375.0,5.0
12886,12887,Groundnut,Gujarat,Surat,Kosamba,2012-05-28,4300.0,5.0
12887,12888,Groundnut,Gujarat,Surat,Kosamba,2012-05-29,4200.0,5.2
12888,12889,Groundnut,Gujarat,Surat,Kosamba,2012-05-30,4300.0,6.5
12889,12890,Groundnut,Gujarat,Surat,Kosamba,2012-01-06,3150.0,15.0
12890,12891,Groundnut,Gujarat,Surat,Kosamba,2012-04-06,4510.0,12.0
12891,12892,Groundnut,Gujarat,Surat,Kosamba,2012-11-06,4325.0,30.0
12892,12893,Groundnut,Gujarat,Surat,Kosamba,2012-12-06,4200.0,12.0
12893,12894,Groundnut,Gujarat,Surat,Kosamba,2012-06-13,4200.0,13.0
12894,12895,Groundnut,Gujarat,Surat,Kosamba,2012-06-14,4200.0,23.0
12895,12896,Groundnut,Gujarat,Surat,Kosamba,2012-06-15,4200.0,12.5
12896,12897,Groundnut,Gujarat,Surat,Kosamba,2012-06-16,4175.0,25.0
12897,12898,Groundnut,Gujarat,Surat,Kosamba,2012-06-18,4150.0,6.0
12898,12899,Groundnut,Gujarat,Surat,Kosamba,2012-10-30,4200.0,2.0
12899,12900,Groundnut,Gujarat,Surat,Kosamba,2012-01-11,3625.0,1.5
12900,12901,Groundnut,Gujarat,Surat,Kosamba,2012-02-11,3600.0,1.5
12901,12902,Groundnut,Gujarat,Surat,Kosamba,2012-05-11,3650.0,2.5
12902,12903,Groundnut,Gujarat,Surat,Kosamba,2012-11-26,4500.0,18.7
12903,12904,Groundnut,Gujarat,Surat,Kosamba,2012-11-27,4500.0,23.2
12904,12905,Groundnut,Gujarat,Surat,Kosamba,2012-11-29,4450.0,30.0
12905,12906,Groundnut,Gujarat,Surat,Kosamba,2012-03-12,4600.0,6.5
12906,12907,Groundnut,Gujarat,Surat,Kosamba,2012-04-12,4650.0,11.0
12907,12908,Groundnut,Gujarat,Surat,Kosamba,2012-05-12,4650.0,12.43
12908,12909,Groundnut,Gujarat,Surat,Kosamba,2012-06-12,4650.0,12.6
12909,12910,Groundnut,Gujarat,Surat,Kosamba,2012-07-12,4650.0,12.0
12910,12911,Groundnut,Gujarat,Surat,Kosamba,2012-08-12,4650.0,8.75
12911,12912,Groundnut,Gujarat,Surat,Kosamba,2012-10-12,4650.0,8.29
12912,12913,Groundnut,Gujarat,Surat,Kosamba,2012-11-12,4650.0,9.0
12913,12914,Groundnut,Gujarat,Surat,Kosamba,2012-12-12,4600.0,9.38
12914,12915,Groundnut,Gujarat,Surat,Kosamba,2012-12-14,4650.0,8.3
12915,12916,Groundnut,Gujarat,Surat,Kosamba,2012-12-21,4650.0,5.0
12916,12917,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-01,2900.0,0.1
12917,12918,Groundnut,Gujarat,Surat,S.Mandvi,2012-01-15,3100.0,0.08
12918,12919,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-13,4000.0,0.08
12919,12920,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-15,4200.0,0.22
12920,12921,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-17,4125.0,0.5
12921,12922,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-18,4000.0,0.68
12922,12923,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-20,4200.0,0.87
12923,12924,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-23,4250.0,0.18
12924,12925,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-24,0.0,0.06
12925,12926,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-25,4250.0,0.78
12926,12927,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-26,4025.0,0.69
12927,12928,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-27,4250.0,0.96
12928,12929,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-28,4225.0,1.54
12929,12930,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-29,4175.0,2.52
12930,12931,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-30,4175.0,2.52
12931,12932,Groundnut,Gujarat,Surat,S.Mandvi,2012-01-05,4572.0,2.68
12932,12933,Groundnut,Gujarat,Surat,S.Mandvi,2012-02-05,4620.0,3.04
12933,12934,Groundnut,Gujarat,Surat,S.Mandvi,2012-03-05,4517.0,2.78
12934,12935,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-05,4627.0,3.97
12935,12936,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-05,4720.0,4.25
12936,12937,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-05,4800.0,4.52
12937,12938,Groundnut,Gujarat,Surat,S.Mandvi,2012-07-05,4802.0,4.15
12938,12939,Groundnut,Gujarat,Surat,S.Mandvi,2012-08-05,4885.0,2.96
12939,12940,Groundnut,Gujarat,Surat,S.Mandvi,2012-09-05,4877.0,6.22
12940,12941,Groundnut,Gujarat,Surat,S.Mandvi,2012-10-05,4800.0,5.73
12941,12942,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-05,4845.0,11.78
12942,12943,Groundnut,Gujarat,Surat,S.Mandvi,2012-12-05,4772.0,9.73
12943,12944,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-13,4792.0,8.65
12944,12945,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-14,4740.0,19.24
12945,12946,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-15,4515.0,12.32
12946,12947,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-16,4585.0,20.92
12947,12948,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-17,4627.0,8.48
12948,12949,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-18,4647.0,26.76
12949,12950,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-19,4592.0,23.81
12950,12951,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-20,4695.0,14.55
12951,12952,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-21,4685.0,35.4
12952,12953,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-22,4412.0,32.02
12953,12954,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-23,4037.0,28.8
12954,12955,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-24,3885.0,16.45
12955,12956,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-25,4365.0,40.54
12956,12957,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-26,4360.0,41.58
12957,12958,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-27,4402.0,27.05
12958,12959,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-28,4480.0,44.94
12959,12960,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-29,4442.0,38.13
12960,12961,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-30,4442.0,40.51
12961,12962,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-31,4497.0,16.08
12962,12963,Groundnut,Gujarat,Surat,S.Mandvi,2012-01-06,4495.0,67.67
12963,12964,Groundnut,Gujarat,Surat,S.Mandvi,2012-02-06,4452.0,47.68
12964,12965,Groundnut,Gujarat,Surat,S.Mandvi,2012-03-06,4385.0,28.04
12965,12966,Groundnut,Gujarat,Surat,S.Mandvi,2012-04-06,4395.0,54.8
12966,12967,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-06,4477.0,39.87
12967,12968,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-06,4457.0,49.32
12968,12969,Groundnut,Gujarat,Surat,S.Mandvi,2012-07-06,4265.0,22.86
12969,12970,Groundnut,Gujarat,Surat,S.Mandvi,2012-08-06,4475.0,26.62
12970,12971,Groundnut,Gujarat,Surat,S.Mandvi,2012-09-06,4512.0,24.66
12971,12972,Groundnut,Gujarat,Surat,S.Mandvi,2012-10-06,4465.0,15.43
12972,12973,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-06,4350.0,30.25
12973,12974,Groundnut,Gujarat,Surat,S.Mandvi,2012-12-06,4337.0,33.65
12974,12975,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-13,4450.0,24.68
12975,12976,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-14,4372.0,8.73
12976,12977,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-15,4350.0,15.6
12977,12978,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-16,4550.0,11.9
12978,12979,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-17,4435.0,7.12
12979,12980,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-18,4395.0,7.35
12980,12981,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-20,4487.0,7.68
12981,12982,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-21,4357.0,1.33
12982,12983,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-22,4217.0,4.13
12983,12984,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-23,4162.0,4.97
12984,12985,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-24,4065.0,0.35
12985,12986,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-25,4187.0,2.15
12986,12987,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-26,4387.0,2.59
12987,12988,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-27,4485.0,2.79
12988,12989,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-28,4400.0,0.12
12989,12990,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-29,4350.0,1.17
12990,12991,Groundnut,Gujarat,Surat,S.Mandvi,2012-06-30,4667.0,0.34
12991,12992,Groundnut,Gujarat,Surat,S.Mandvi,2012-01-07,4525.0,0.29
12992,12993,Groundnut,Gujarat,Surat,S.Mandvi,2012-02-07,4250.0,0.85
12993,12994,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-07,4250.0,0.07
12994,12995,Groundnut,Gujarat,Surat,S.Mandvi,2012-07-16,4250.0,0.07
12995,12996,Groundnut,Gujarat,Surat,S.Mandvi,2012-07-25,4500.0,0.09
12996,12997,Groundnut,Gujarat,Surat,S.Mandvi,2012-12-10,3625.0,0.13
12997,12998,Groundnut,Gujarat,Surat,S.Mandvi,2012-10-17,3750.0,0.63
12998,12999,Groundnut,Gujarat,Surat,S.Mandvi,2012-10-18,3750.0,0.08
12999,13000,Groundnut,Gujarat,Surat,S.Mandvi,2012-10-29,3500.0,0.24
13000,13001,Groundnut,Gujarat,Surat,S.Mandvi,2012-10-30,3850.0,0.25
13001,13002,Groundnut,Gujarat,Surat,S.Mandvi,2012-03-11,3850.0,0.08
13002,13003,Groundnut,Gujarat,Surat,S.Mandvi,2012-05-11,3850.0,0.09
13003,13004,Groundnut,Gujarat,Surat,S.Mandvi,2012-07-11,3850.0,0.39
13004,13005,Groundnut,Gujarat,Surat,S.Mandvi,2012-09-11,4250.0,0.4
13005,13006,Groundnut,Gujarat,Surat,S.Mandvi,2012-10-11,4250.0,0.76
13006,13007,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-11,4250.0,0.7
13007,13008,Groundnut,Gujarat,Surat,S.Mandvi,2012-12-11,4250.0,0.56
13008,13009,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-13,4250.0,0.38
13009,13010,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-17,4500.0,0.22
13010,13011,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-18,4500.0,1.63
13011,13012,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-19,4375.0,1.46
13012,13013,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-20,4450.0,0.98
13013,13014,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-21,4562.0,0.74
13014,13015,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-22,4500.0,1.37
13015,13016,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-23,4500.0,0.45
13016,13017,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-24,4575.0,2.74
13017,13018,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-25,4562.0,1.39
13018,13019,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-26,4575.0,1.76
13019,13020,Groundnut,Gujarat,Surat,S.Mandvi,2012-11-27,4562.0,1.63
