,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
34842,34843,Mustard,Haryana,Ambala,Ambala Cantt.,2012-01-04,3546.0,0.2
34843,34844,Mustard,Haryana,Ambala,Ambala Cantt.,2012-03-04,3643.0,2.8
34844,34845,Mustard,Haryana,Ambala,Ambala Cantt.,2012-04-04,3660.0,0.4
34845,34846,Mustard,Haryana,Ambala,Ambala Cantt.,2012-05-04,3450.0,0.9
34846,34847,Mustard,Haryana,Ambala,Ambala Cantt.,2012-06-04,3650.0,1.5
34847,34848,Mustard,Haryana,Ambala,Ambala Cantt.,2012-07-04,3636.0,0.8
34848,34849,Mustard,Haryana,Ambala,Ambala Cantt.,2012-08-04,3575.0,0.3
34849,34850,Mustard,Haryana,Ambala,Ambala Cantt.,2012-11-04,3400.0,0.1
34850,34851,Mustard,Haryana,Ambala,Ambala Cantt.,2012-12-13,3301.0,0.2
34851,34852,Mustard,Haryana,Ambala,Ambala Cantt.,2012-12-21,3370.0,0.2
34852,34853,Mustard,Haryana,Ambala,Ambala Cantt.,2012-12-22,3200.0,0.2
34853,34854,Mustard,Haryana,Ambala,Ambala Cantt.,2012-12-23,3400.0,0.6
34854,34855,Mustard,Haryana,Ambala,Ambala City,2012-01-24,2825.0,1.8
34855,34856,Mustard,Haryana,Ambala,Ambala City,2012-01-29,2800.0,9.2
34856,34857,Mustard,Haryana,Ambala,Ambala City,2012-01-30,2700.0,5.0
34857,34858,Mustard,Haryana,Ambala,Ambala City,2012-01-31,2700.0,3.2
34858,34859,Mustard,Haryana,Ambala,Ambala City,2012-01-02,2700.0,3.9
34859,34860,Mustard,Haryana,Ambala,Ambala City,2012-06-02,2700.0,4.3
34860,34861,Mustard,Haryana,Ambala,Ambala City,2012-07-02,2750.0,1.5
34861,34862,Mustard,Haryana,Ambala,Ambala City,2012-09-02,2892.0,1.6
34862,34863,Mustard,Haryana,Ambala,Ambala City,2012-10-02,2962.0,4.0
34863,34864,Mustard,Haryana,Ambala,Ambala City,2012-02-13,2811.0,2.3
34864,34865,Mustard,Haryana,Ambala,Ambala City,2012-02-14,2890.0,1.4
34865,34866,Mustard,Haryana,Ambala,Ambala City,2012-02-15,3000.0,4.8
34866,34867,Mustard,Haryana,Ambala,Ambala City,2012-02-16,2825.0,0.6
34867,34868,Mustard,Haryana,Ambala,Ambala City,2012-02-18,3190.0,1.8
34868,34869,Mustard,Haryana,Ambala,Ambala City,2012-02-21,2800.0,1.8
34869,34870,Mustard,Haryana,Ambala,Ambala City,2012-02-22,3300.0,1.5
34870,34871,Mustard,Haryana,Ambala,Ambala City,2012-02-23,3200.0,0.9
34871,34872,Mustard,Haryana,Ambala,Ambala City,2012-02-25,3050.0,0.8
34872,34873,Mustard,Haryana,Ambala,Ambala City,2012-02-28,3110.0,3.2
34873,34874,Mustard,Haryana,Ambala,Ambala City,2012-05-28,1100.0,0.4
34874,34875,Mustard,Haryana,Ambala,Ambala City,2012-12-16,3320.0,2.6
34875,34876,Mustard,Haryana,Ambala,Ambala City,2012-12-18,3231.0,2.7
34876,34877,Mustard,Haryana,Ambala,Ambala City,2012-12-19,3200.0,2.3
34877,34878,Mustard,Haryana,Ambala,Ambala City,2012-12-20,3350.0,1.0
34878,34879,Mustard,Haryana,Ambala,Ambala City,2012-12-21,3151.0,0.2
34879,34880,Mustard,Haryana,Ambala,Ambala City,2012-12-22,2900.0,2.6
34880,34881,Mustard,Haryana,Ambala,Ambala City,2012-12-31,3325.0,1.1
34881,34882,Mustard,Haryana,Ambala,Naraingarh,2012-02-14,2275.0,0.3
34882,34883,Mustard,Haryana,Ambala,Naraingarh,2012-02-15,2611.0,0.6
34883,34884,Mustard,Haryana,Ambala,Naraingarh,2012-02-17,2799.0,0.6
34884,34885,Mustard,Haryana,Ambala,Naraingarh,2012-02-18,3100.0,3.3
34885,34886,Mustard,Haryana,Ambala,Naraingarh,2012-02-20,3050.0,1.2
34886,34887,Mustard,Haryana,Ambala,Naraingarh,2012-02-21,3150.0,8.4
34887,34888,Mustard,Haryana,Ambala,Naraingarh,2012-02-22,3200.0,1.5
34888,34889,Mustard,Haryana,Ambala,Naraingarh,2012-02-23,3150.0,3.4
34889,34890,Mustard,Haryana,Ambala,Naraingarh,2012-02-24,3150.0,1.0
34890,34891,Mustard,Haryana,Ambala,Naraingarh,2012-02-25,3250.0,2.8
34891,34892,Mustard,Haryana,Ambala,Naraingarh,2012-02-27,3200.0,2.9
34892,34893,Mustard,Haryana,Ambala,Naraingarh,2012-02-28,3220.0,4.4
34893,34894,Mustard,Haryana,Ambala,Naraingarh,2012-02-29,3220.0,2.0
34894,34895,Mustard,Haryana,Ambala,Naraingarh,2012-01-03,3200.0,3.3
34895,34896,Mustard,Haryana,Ambala,Naraingarh,2012-02-03,3100.0,0.5
34896,34897,Mustard,Haryana,Ambala,Naraingarh,2012-03-03,3120.0,4.9
34897,34898,Mustard,Haryana,Ambala,Naraingarh,2012-05-03,3150.0,3.1
34898,34899,Mustard,Haryana,Ambala,Naraingarh,2012-06-03,3150.0,1.3
34899,34900,Mustard,Haryana,Ambala,Naraingarh,2012-07-03,3150.0,4.1
34900,34901,Mustard,Haryana,Ambala,Naraingarh,2012-09-03,3250.0,4.7
34901,34902,Mustard,Haryana,Ambala,Naraingarh,2012-10-03,3200.0,0.6
34902,34903,Mustard,Haryana,Ambala,Naraingarh,2012-12-03,3100.0,1.8
34903,34904,Mustard,Haryana,Ambala,Naraingarh,2012-03-13,3200.0,0.7
34904,34905,Mustard,Haryana,Ambala,Naraingarh,2012-03-14,3300.0,1.0
34905,34906,Mustard,Haryana,Ambala,Naraingarh,2012-03-15,3300.0,1.1
34906,34907,Mustard,Haryana,Ambala,Naraingarh,2012-03-17,3250.0,2.3
34907,34908,Mustard,Haryana,Ambala,Naraingarh,2012-03-19,3200.0,2.8
34908,34909,Mustard,Haryana,Ambala,Naraingarh,2012-03-20,3400.0,1.2
34909,34910,Mustard,Haryana,Ambala,Naraingarh,2012-03-21,3400.0,1.3
34910,34911,Mustard,Haryana,Ambala,Naraingarh,2012-03-22,3600.0,3.0
34911,34912,Mustard,Haryana,Ambala,Naraingarh,2012-03-24,3600.0,3.3
34912,34913,Mustard,Haryana,Ambala,Naraingarh,2012-03-26,3425.0,0.5
34913,34914,Mustard,Haryana,Ambala,Naraingarh,2012-03-27,3600.0,1.8
34914,34915,Mustard,Haryana,Ambala,Naraingarh,2012-03-28,3600.0,0.5
34915,34916,Mustard,Haryana,Ambala,Naraingarh,2012-03-29,3400.0,0.5
34916,34917,Mustard,Haryana,Ambala,Naraingarh,2012-03-30,3400.0,0.2
34917,34918,Mustard,Haryana,Ambala,Naraingarh,2012-03-31,3400.0,1.1
34918,34919,Mustard,Haryana,Ambala,Naraingarh,2012-02-04,3600.0,5.4
34919,34920,Mustard,Haryana,Ambala,Naraingarh,2012-03-04,3600.0,2.6
34920,34921,Mustard,Haryana,Ambala,Naraingarh,2012-04-04,3700.0,1.2
34921,34922,Mustard,Haryana,Ambala,Naraingarh,2012-05-04,3705.0,0.2
34922,34923,Mustard,Haryana,Ambala,Naraingarh,2012-06-04,3550.0,1.2
34923,34924,Mustard,Haryana,Ambala,Naraingarh,2012-07-04,3520.0,4.4
34924,34925,Mustard,Haryana,Ambala,Naraingarh,2012-09-04,3500.0,5.7
34925,34926,Mustard,Haryana,Ambala,Naraingarh,2012-10-04,3550.0,5.2
34926,34927,Mustard,Haryana,Ambala,Naraingarh,2012-11-04,3500.0,1.2
34927,34928,Mustard,Haryana,Ambala,Naraingarh,2012-12-04,3500.0,1.3
34928,34929,Mustard,Haryana,Ambala,Naraingarh,2012-04-13,3675.0,0.7
34929,34930,Mustard,Haryana,Ambala,Naraingarh,2012-04-14,3552.0,0.3
34930,34931,Mustard,Haryana,Ambala,Naraingarh,2012-04-15,3501.0,0.1
34931,34932,Mustard,Haryana,Ambala,Naraingarh,2012-04-16,3500.0,3.9
34932,34933,Mustard,Haryana,Ambala,Naraingarh,2012-04-17,3450.0,1.3
34933,34934,Mustard,Haryana,Ambala,Naraingarh,2012-04-18,3000.0,4.4
34934,34935,Mustard,Haryana,Ambala,Naraingarh,2012-04-19,3200.0,0.8
34935,34936,Mustard,Haryana,Ambala,Naraingarh,2012-04-20,3550.0,0.4
34936,34937,Mustard,Haryana,Ambala,Naraingarh,2012-04-21,3520.0,2.7
34937,34938,Mustard,Haryana,Ambala,Naraingarh,2012-04-22,2700.0,0.5
34938,34939,Mustard,Haryana,Ambala,Naraingarh,2012-04-23,2700.0,0.3
34939,34940,Mustard,Haryana,Ambala,Naraingarh,2012-04-24,3500.0,0.1
34940,34941,Mustard,Haryana,Ambala,Naraingarh,2012-04-26,2800.0,0.5
34941,34942,Mustard,Haryana,Ambala,Naraingarh,2012-04-27,3460.0,0.1
34942,34943,Mustard,Haryana,Ambala,Naraingarh,2012-04-28,3100.0,0.6
34943,34944,Mustard,Haryana,Ambala,Naraingarh,2012-04-30,3500.0,0.6
34944,34945,Mustard,Haryana,Ambala,Naraingarh,2012-01-05,3250.0,0.8
34945,34946,Mustard,Haryana,Ambala,Naraingarh,2012-02-05,3250.0,0.7
