,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
13590,13591,Groundnut,Haryana,Gurgaon,Farukh Nagar,2012-08-11,0.0,0.2
13591,13592,Groundnut,Haryana,Gurgaon,Farukh Nagar,2012-11-15,0.0,0.4
13592,13593,Groundnut,Haryana,Gurgaon,Farukh Nagar,2012-11-17,0.0,0.2
13593,13594,Groundnut,Haryana,Gurgaon,Farukh Nagar,2012-11-19,0.0,0.7
13594,13595,Groundnut,Haryana,Gurgaon,Farukh Nagar,2012-11-20,0.0,1.0
13595,13596,Groundnut,Haryana,Gurgaon,Farukh Nagar,2012-07-12,0.0,0.6
35414,35415,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-06-15,0.0,6.3
35415,35416,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-06-16,0.0,6.0
35416,35417,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-06-30,0.0,1.3
35417,35418,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-02-07,0.0,6.8
35418,35419,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-04-07,0.0,1.4
35419,35420,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-06-07,0.0,0.3
35420,35421,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-09-07,0.0,0.4
35421,35422,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-10-07,0.0,1.1
35422,35423,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-12-07,0.0,3.0
35423,35424,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-07-18,0.0,2.5
35424,35425,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-07-20,0.0,1.6
35425,35426,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-07-24,0.0,0.7
35426,35427,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-07-30,0.0,2.5
35427,35428,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-03-08,0.0,4.0
35428,35429,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-07-08,0.0,1.8
35429,35430,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-08-08,0.0,2.3
35430,35431,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-09-08,0.0,3.6
35431,35432,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-08-13,0.0,2.5
35432,35433,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-08-14,0.0,2.5
35433,35434,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-08-15,0.0,0.5
35434,35435,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-08-16,0.0,3.4
35435,35436,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-08-17,0.0,1.5
35436,35437,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-08-18,0.0,16.0
35437,35438,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-08-20,0.0,3.5
35438,35439,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-08-21,0.0,6.0
35439,35440,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-08-24,0.0,1.3
35440,35441,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-08-27,0.0,0.9
35441,35442,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-08-28,0.0,3.5
35442,35443,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-07-09,0.0,3.0
35443,35444,Mustard,Haryana,Gurgaon,Farukh Nagar,2012-08-09,0.0,2.4
