,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
13609,13610,Groundnut,Haryana,Sirsa,Ellanabad,2012-11-22,4900.0,0.5
13610,13611,Groundnut,Haryana,Sirsa,Ellanabad,2012-11-23,5000.0,1.2
13611,13612,Groundnut,Haryana,Sirsa,Ellanabad,2012-11-24,5150.0,0.4
13612,13613,Groundnut,Haryana,Sirsa,Ellanabad,2012-11-27,5300.0,0.4
13613,13614,Groundnut,Haryana,Sirsa,Ellanabad,2012-11-28,5025.0,0.2
13614,13615,Groundnut,Haryana,Sirsa,Ellanabad,2012-11-29,4495.0,0.2
13615,13616,Groundnut,Haryana,Sirsa,Ellanabad,2012-03-12,4911.0,0.7
13616,13617,Groundnut,Haryana,Sirsa,Ellanabad,2012-05-12,5295.0,3.1
13617,13618,Groundnut,Haryana,Sirsa,Ellanabad,2012-06-12,4900.0,1.6
13618,13619,Groundnut,Haryana,Sirsa,Ellanabad,2012-12-12,4975.0,0.5
13619,13620,Groundnut,Haryana,Sirsa,Ellanabad,2012-12-19,5000.0,1.3
13620,13621,Groundnut,Haryana,Sirsa,Ellanabad,2012-12-22,5000.0,0.2
36605,36606,Mustard,Haryana,Sirsa,Ding,2012-01-26,2911.0,7.0
36606,36607,Mustard,Haryana,Sirsa,Ding,2012-02-03,3161.0,1.0
36607,36608,Mustard,Haryana,Sirsa,Ding,2012-02-04,3555.0,29.0
36608,36609,Mustard,Haryana,Sirsa,Ding,2012-03-04,3575.0,11.0
36609,36610,Mustard,Haryana,Sirsa,Ding,2012-04-04,3631.0,10.0
36610,36611,Mustard,Haryana,Sirsa,Ding,2012-05-04,3466.0,32.0
36611,36612,Mustard,Haryana,Sirsa,Ding,2012-06-04,3241.0,77.0
36612,36613,Mustard,Haryana,Sirsa,Ding,2012-07-04,3599.0,42.0
36613,36614,Mustard,Haryana,Sirsa,Ding,2012-09-04,3339.0,151.0
36614,36615,Mustard,Haryana,Sirsa,Ding,2012-10-04,3400.0,35.0
36615,36616,Mustard,Haryana,Sirsa,Ding,2012-11-04,3580.0,74.0
36616,36617,Mustard,Haryana,Sirsa,Ding,2012-12-04,3500.0,217.0
36617,36618,Mustard,Haryana,Sirsa,Ding,2012-04-13,3525.0,265.0
36618,36619,Mustard,Haryana,Sirsa,Ding,2012-04-14,3451.0,335.0
36619,36620,Mustard,Haryana,Sirsa,Ding,2012-04-15,3500.0,22.0
36620,36621,Mustard,Haryana,Sirsa,Ding,2012-04-16,3491.0,296.0
36621,36622,Mustard,Haryana,Sirsa,Ding,2012-04-17,3255.0,313.0
36622,36623,Mustard,Haryana,Sirsa,Ding,2012-04-18,3406.0,139.0
36623,36624,Mustard,Haryana,Sirsa,Ding,2012-04-19,3344.0,109.0
36624,36625,Mustard,Haryana,Sirsa,Ding,2012-04-20,3350.0,86.0
36625,36626,Mustard,Haryana,Sirsa,Ding,2012-04-21,3200.0,157.0
36626,36627,Mustard,Haryana,Sirsa,Ding,2012-04-22,3250.0,34.0
36627,36628,Mustard,Haryana,Sirsa,Ding,2012-04-23,3397.0,8.0
36628,36629,Mustard,Haryana,Sirsa,Ding,2012-04-24,3250.0,24.0
36629,36630,Mustard,Haryana,Sirsa,Ding,2012-04-25,3285.0,22.0
36630,36631,Mustard,Haryana,Sirsa,Ding,2012-05-14,3400.0,15.0
36631,36632,Mustard,Haryana,Sirsa,Ding,2012-05-15,3300.0,20.0
36632,36633,Mustard,Haryana,Sirsa,Ding,2012-05-16,1200.0,20.0
36633,36634,Mustard,Haryana,Sirsa,Ding,2012-05-17,3275.0,5.0
36634,36635,Mustard,Haryana,Sirsa,Ding,2012-05-18,3324.0,33.0
36635,36636,Mustard,Haryana,Sirsa,Ding,2012-05-21,3300.0,25.0
36636,36637,Mustard,Haryana,Sirsa,Ding,2012-05-22,3250.0,58.0
36637,36638,Mustard,Haryana,Sirsa,Ding,2012-05-23,3105.0,63.0
36638,36639,Mustard,Haryana,Sirsa,Ding,2012-05-24,3150.0,31.0
36639,36640,Mustard,Haryana,Sirsa,Ding,2012-05-25,3245.0,39.0
36640,36641,Mustard,Haryana,Sirsa,Ding,2012-05-26,3221.0,26.0
36641,36642,Mustard,Haryana,Sirsa,Ding,2012-05-28,3250.0,31.0
36642,36643,Mustard,Haryana,Sirsa,Ding,2012-05-29,3175.0,46.0
36643,36644,Mustard,Haryana,Sirsa,Ding,2012-05-30,3350.0,10.0
36644,36645,Mustard,Haryana,Sirsa,Ding,2012-05-31,3301.0,5.0
36645,36646,Mustard,Haryana,Sirsa,Ding,2012-01-06,3150.0,31.0
36646,36647,Mustard,Haryana,Sirsa,Ding,2012-04-06,3210.0,15.0
36647,36648,Mustard,Haryana,Sirsa,Ding,2012-05-06,3182.0,17.0
36648,36649,Mustard,Haryana,Sirsa,Ding,2012-06-06,3210.0,22.0
36649,36650,Mustard,Haryana,Sirsa,Ding,2012-07-06,3200.0,33.0
36650,36651,Mustard,Haryana,Sirsa,Ding,2012-08-06,3054.0,30.0
36651,36652,Mustard,Haryana,Sirsa,Ding,2012-09-06,3201.0,60.0
36652,36653,Mustard,Haryana,Sirsa,Ding,2012-11-06,2800.0,20.0
36653,36654,Mustard,Haryana,Sirsa,Ding,2012-06-13,3174.0,48.0
36654,36655,Mustard,Haryana,Sirsa,Ding,2012-06-14,3155.0,52.0
36655,36656,Mustard,Haryana,Sirsa,Ding,2012-06-15,3190.0,27.0
36656,36657,Mustard,Haryana,Sirsa,Ding,2012-06-16,3060.0,18.0
36657,36658,Mustard,Haryana,Sirsa,Ding,2012-06-18,3100.0,28.0
36658,36659,Mustard,Haryana,Sirsa,Ding,2012-07-24,3400.0,0.9
36659,36660,Mustard,Haryana,Sirsa,Ding,2012-10-08,3701.0,2.2
36660,36661,Mustard,Haryana,Sirsa,Ding,2012-08-14,3748.0,0.3
36661,36662,Mustard,Haryana,Sirsa,Ding,2012-08-16,3300.0,0.2
36662,36663,Mustard,Haryana,Sirsa,Ding,2012-08-18,3757.0,0.2
36663,36664,Mustard,Haryana,Sirsa,Ding,2012-08-29,3711.0,2.0
36664,36665,Mustard,Haryana,Sirsa,Ding,2012-09-19,3600.0,0.4
36665,36666,Mustard,Haryana,Sirsa,Ding,2012-09-20,3585.0,0.4
36666,36667,Mustard,Haryana,Sirsa,Ding,2012-09-22,3550.0,1.5
36667,36668,Mustard,Haryana,Sirsa,Ding,2012-09-24,3426.0,0.6
36668,36669,Mustard,Haryana,Sirsa,Ding,2012-09-26,3500.0,0.5
36669,36670,Mustard,Haryana,Sirsa,Ding,2012-08-10,3410.0,0.3
36670,36671,Mustard,Haryana,Sirsa,Ding,2012-09-10,3566.0,0.5
36671,36672,Mustard,Haryana,Sirsa,Ding,2012-10-16,2600.0,0.5
36672,36673,Mustard,Haryana,Sirsa,Ding,2012-10-20,3390.0,0.5
36673,36674,Mustard,Haryana,Sirsa,Ding,2012-10-21,3500.0,0.1
36674,36675,Mustard,Haryana,Sirsa,Ding,2012-10-27,3601.0,0.6
36675,36676,Mustard,Haryana,Sirsa,Ding,2012-10-30,3470.0,0.5
36676,36677,Mustard,Haryana,Sirsa,Ding,2012-10-31,3558.0,0.6
36677,36678,Mustard,Haryana,Sirsa,Ding,2012-01-11,3720.0,0.2
36678,36679,Mustard,Haryana,Sirsa,Ding,2012-05-11,3450.0,0.5
36679,36680,Mustard,Haryana,Sirsa,Ding,2012-06-11,3481.0,0.5
36680,36681,Mustard,Haryana,Sirsa,Ding,2012-12-11,3686.0,2.5
36681,36682,Mustard,Haryana,Sirsa,Ding,2012-11-15,3609.0,1.6
36682,36683,Mustard,Haryana,Sirsa,Ding,2012-11-16,3550.0,0.6
36683,36684,Mustard,Haryana,Sirsa,Ding,2012-11-17,3550.0,0.6
36684,36685,Mustard,Haryana,Sirsa,Ding,2012-11-21,3650.0,0.7
36685,36686,Mustard,Haryana,Sirsa,Ding,2012-11-22,3781.0,0.1
36686,36687,Mustard,Haryana,Sirsa,Ding,2012-12-12,3405.0,1.6
36687,36688,Mustard,Haryana,Sirsa,Ding,2012-12-17,3600.0,0.3
36688,36689,Mustard,Haryana,Sirsa,Ding,2012-12-19,3600.0,0.1
36689,36690,Mustard,Haryana,Sirsa,Ding,2012-12-21,3520.0,0.8
36690,36691,Mustard,Haryana,Sirsa,Ding,2012-12-22,3538.0,1.0
36691,36692,Mustard,Haryana,Sirsa,Ellanabad,2012-06-01,3235.0,0.5
36692,36693,Mustard,Haryana,Sirsa,Ellanabad,2012-02-04,3200.0,5.7
36693,36694,Mustard,Haryana,Sirsa,Ellanabad,2012-03-04,3200.0,2.2
36694,36695,Mustard,Haryana,Sirsa,Ellanabad,2012-04-04,3430.0,6.6
36695,36696,Mustard,Haryana,Sirsa,Ellanabad,2012-05-04,3420.0,2.1
36696,36697,Mustard,Haryana,Sirsa,Ellanabad,2012-07-04,3500.0,1.0
36697,36698,Mustard,Haryana,Sirsa,Ellanabad,2012-09-04,3448.0,16.5
36698,36699,Mustard,Haryana,Sirsa,Ellanabad,2012-10-04,3474.0,13.2
36699,36700,Mustard,Haryana,Sirsa,Ellanabad,2012-11-04,3426.0,21.0
36700,36701,Mustard,Haryana,Sirsa,Ellanabad,2012-12-04,3478.0,22.3
36701,36702,Mustard,Haryana,Sirsa,Ellanabad,2012-04-13,3478.0,16.5
36702,36703,Mustard,Haryana,Sirsa,Ellanabad,2012-04-14,3425.0,14.8
36703,36704,Mustard,Haryana,Sirsa,Ellanabad,2012-04-16,3480.0,24.1
36704,36705,Mustard,Haryana,Sirsa,Ellanabad,2012-04-18,3300.0,10.7
36705,36706,Mustard,Haryana,Sirsa,Ellanabad,2012-04-19,3410.0,10.7
36706,36707,Mustard,Haryana,Sirsa,Ellanabad,2012-04-20,3415.0,33.0
36707,36708,Mustard,Haryana,Sirsa,Ellanabad,2012-04-21,3475.0,39.3
36708,36709,Mustard,Haryana,Sirsa,Ellanabad,2012-04-23,3225.0,18.0
36709,36710,Mustard,Haryana,Sirsa,Ellanabad,2012-04-24,3390.0,8.0
36710,36711,Mustard,Haryana,Sirsa,Ellanabad,2012-04-26,3375.0,10.0
36711,36712,Mustard,Haryana,Sirsa,Ellanabad,2012-04-27,3411.0,8.7
36712,36713,Mustard,Haryana,Sirsa,Ellanabad,2012-04-28,3091.0,5.0
36713,36714,Mustard,Haryana,Sirsa,Ellanabad,2012-04-30,3300.0,5.0
36714,36715,Mustard,Haryana,Sirsa,Ellanabad,2012-01-05,3400.0,4.8
36715,36716,Mustard,Haryana,Sirsa,Ellanabad,2012-02-05,3421.0,3.0
36716,36717,Mustard,Haryana,Sirsa,Ellanabad,2012-03-05,3505.0,4.6
36717,36718,Mustard,Haryana,Sirsa,Ellanabad,2012-04-05,3362.0,1.0
36718,36719,Mustard,Haryana,Sirsa,Ellanabad,2012-05-05,3310.0,3.2
36719,36720,Mustard,Haryana,Sirsa,Ellanabad,2012-07-05,3470.0,3.5
36720,36721,Mustard,Haryana,Sirsa,Ellanabad,2012-08-05,3460.0,3.8
36721,36722,Mustard,Haryana,Sirsa,Ellanabad,2012-10-05,3431.0,3.0
36722,36723,Mustard,Haryana,Sirsa,Ellanabad,2012-11-05,3420.0,6.2
36723,36724,Mustard,Haryana,Sirsa,Ellanabad,2012-12-05,3390.0,1.8
36724,36725,Mustard,Haryana,Sirsa,Ellanabad,2012-05-14,3400.0,9.2
36725,36726,Mustard,Haryana,Sirsa,Ellanabad,2012-05-15,3335.0,6.7
36726,36727,Mustard,Haryana,Sirsa,Ellanabad,2012-05-16,3407.0,7.2
36727,36728,Mustard,Haryana,Sirsa,Ellanabad,2012-05-17,3407.0,5.0
36728,36729,Mustard,Haryana,Sirsa,Ellanabad,2012-05-18,3415.0,4.8
36729,36730,Mustard,Haryana,Sirsa,Ellanabad,2012-05-19,3375.0,12.7
36730,36731,Mustard,Haryana,Sirsa,Ellanabad,2012-05-21,3344.0,15.7
36731,36732,Mustard,Haryana,Sirsa,Ellanabad,2012-05-22,3300.0,2.5
36732,36733,Mustard,Haryana,Sirsa,Ellanabad,2012-05-24,3218.0,9.8
36733,36734,Mustard,Haryana,Sirsa,Ellanabad,2012-05-26,3240.0,5.7
36734,36735,Mustard,Haryana,Sirsa,Ellanabad,2012-05-28,3251.0,7.8
36735,36736,Mustard,Haryana,Sirsa,Ellanabad,2012-05-29,3340.0,8.2
36736,36737,Mustard,Haryana,Sirsa,Ellanabad,2012-05-30,3415.0,44.8
36737,36738,Mustard,Haryana,Sirsa,Ellanabad,2012-05-31,3420.0,15.0
36738,36739,Mustard,Haryana,Sirsa,Ellanabad,2012-04-06,3362.0,49.6
36739,36740,Mustard,Haryana,Sirsa,Ellanabad,2012-05-06,3300.0,10.0
36740,36741,Mustard,Haryana,Sirsa,Ellanabad,2012-06-06,3318.0,14.2
36741,36742,Mustard,Haryana,Sirsa,Ellanabad,2012-07-06,3315.0,5.0
36742,36743,Mustard,Haryana,Sirsa,Ellanabad,2012-08-06,3354.0,2.2
36743,36744,Mustard,Haryana,Sirsa,Ellanabad,2012-09-06,3344.0,4.8
36744,36745,Mustard,Haryana,Sirsa,Ellanabad,2012-11-06,3348.0,4.1
36745,36746,Mustard,Haryana,Sirsa,Ellanabad,2012-12-06,3320.0,7.0
36746,36747,Mustard,Haryana,Sirsa,Ellanabad,2012-06-13,3345.0,4.6
36747,36748,Mustard,Haryana,Sirsa,Ellanabad,2012-06-14,3323.0,8.0
36748,36749,Mustard,Haryana,Sirsa,Ellanabad,2012-06-15,3170.0,3.5
36749,36750,Mustard,Haryana,Sirsa,Ellanabad,2012-06-18,3246.0,3.5
36750,36751,Mustard,Haryana,Sirsa,Ellanabad,2012-06-21,3230.0,3.0
36751,36752,Mustard,Haryana,Sirsa,Ellanabad,2012-06-22,3282.0,3.8
36752,36753,Mustard,Haryana,Sirsa,Ellanabad,2012-06-24,3293.0,0.4
36753,36754,Mustard,Haryana,Sirsa,Ellanabad,2012-06-25,3280.0,1.9
36754,36755,Mustard,Haryana,Sirsa,Ellanabad,2012-06-26,3245.0,2.8
36755,36756,Mustard,Haryana,Sirsa,Ellanabad,2012-06-27,3243.0,3.0
36756,36757,Mustard,Haryana,Sirsa,Ellanabad,2012-06-28,4141.0,1.9
36757,36758,Mustard,Haryana,Sirsa,Ellanabad,2012-06-29,3240.0,13.4
36758,36759,Mustard,Haryana,Sirsa,Ellanabad,2012-06-30,3287.0,5.7
36759,36760,Mustard,Haryana,Sirsa,Ellanabad,2012-02-07,3295.0,3.1
36760,36761,Mustard,Haryana,Sirsa,Ellanabad,2012-03-07,3179.0,1.5
36761,36762,Mustard,Haryana,Sirsa,Ellanabad,2012-04-07,3298.0,1.0
36762,36763,Mustard,Haryana,Sirsa,Ellanabad,2012-05-07,3331.0,1.5
36763,36764,Mustard,Haryana,Sirsa,Ellanabad,2012-06-07,3443.0,1.7
36764,36765,Mustard,Haryana,Sirsa,Ellanabad,2012-07-07,3469.0,0.7
36765,36766,Mustard,Haryana,Sirsa,Ellanabad,2012-09-07,3522.0,1.7
36766,36767,Mustard,Haryana,Sirsa,Ellanabad,2012-10-07,3565.0,0.5
36767,36768,Mustard,Haryana,Sirsa,Ellanabad,2012-11-07,3532.0,1.5
36768,36769,Mustard,Haryana,Sirsa,Ellanabad,2012-12-07,3571.0,1.0
