,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
184390,184391,Mustard,Jharkhand,Koderma,Koderma,2013-07-30,5500.0,1.0
184391,184392,Mustard,Jharkhand,Koderma,Koderma,2013-02-08,5600.0,1.0
184392,184393,Mustard,Jharkhand,Koderma,Koderma,2013-06-08,5800.0,1.0
184393,184394,Mustard,Jharkhand,Koderma,Koderma,2013-08-08,5800.0,1.0
184394,184395,Mustard,Jharkhand,Koderma,Koderma,2013-09-08,5800.0,1.0
184395,184396,Mustard,Jharkhand,Koderma,Koderma,2013-08-14,5800.0,1.0
184396,184397,Mustard,Jharkhand,Koderma,Koderma,2013-08-19,5800.0,2.0
184397,184398,Mustard,Jharkhand,Koderma,Koderma,2013-08-20,6300.0,2.0
184398,184399,Mustard,Jharkhand,Koderma,Koderma,2013-08-23,6300.0,3.0
184399,184400,Mustard,Jharkhand,Koderma,Koderma,2013-08-25,6200.0,1.0
184400,184401,Mustard,Jharkhand,Koderma,Koderma,2013-08-26,6300.0,1.0
184401,184402,Mustard,Jharkhand,Koderma,Koderma,2013-08-29,6200.0,2.0
184402,184403,Mustard,Jharkhand,Koderma,Koderma,2013-01-09,6300.0,1.0
184403,184404,Mustard,Jharkhand,Koderma,Koderma,2013-06-09,6300.0,1.0
184404,184405,Mustard,Jharkhand,Koderma,Koderma,2013-09-14,6200.0,1.0
184405,184406,Mustard,Jharkhand,Koderma,Koderma,2013-09-20,6300.0,1.0
184406,184407,Mustard,Jharkhand,Koderma,Koderma,2013-09-22,6400.0,1.0
184407,184408,Mustard,Jharkhand,Koderma,Koderma,2013-09-24,5900.0,1.0
184408,184409,Mustard,Jharkhand,Koderma,Koderma,2013-09-30,5600.0,1.0
184409,184410,Mustard,Jharkhand,Koderma,Koderma,2013-05-10,6200.0,3.0
184410,184411,Mustard,Jharkhand,Koderma,Koderma,2013-09-10,5500.0,1.0
184411,184412,Mustard,Jharkhand,Koderma,Koderma,2013-12-10,5700.0,1.0
