,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
18530,18531,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-06-20,3000.0,1.4
18531,18532,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-09-24,3600.0,0.2
18532,18533,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-09-27,4400.0,0.2
18533,18534,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-09-28,3400.0,0.1
18534,18535,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-01-10,3500.0,1.0
18535,18536,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-04-10,3000.0,2.2
18536,18537,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-05-10,2900.0,4.1
18537,18538,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-06-10,3300.0,7.2
18538,18539,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-08-10,3000.0,5.8
18539,18540,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-09-10,4100.0,10.1
18540,18541,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-10-10,3500.0,12.4
18541,18542,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-11-10,3500.0,7.2
18542,18543,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-12-10,4250.0,6.7
18543,18544,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-10-15,4100.0,14.9
18544,18545,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-10-17,4275.0,8.3
18545,18546,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-10-18,4300.0,10.5
18546,18547,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-10-19,6000.0,9.6
18547,18548,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-10-20,4200.0,12.1
18548,18549,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-10-22,4700.0,3.6
18549,18550,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-10-26,4000.0,0.4
18550,18551,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-10-30,3100.0,0.2
18551,18552,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-10-31,3200.0,0.6
18552,18553,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-01-11,4000.0,0.5
18553,18554,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-05-11,4425.0,0.5
18554,18555,Groundnut,Madhya Pradesh,Chhindwara,Chhindwara,2012-11-15,5101.0,0.2
18555,18556,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-02-01,4157.0,0.2
18556,18557,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-04-01,3800.0,4.4
18557,18558,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-05-01,4060.0,0.7
18558,18559,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-06-01,3502.0,0.5
18559,18560,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-07-01,3900.0,1.1
18560,18561,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-09-01,2790.0,0.6
18561,18562,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-10-01,3940.0,0.5
18562,18563,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-11-01,3770.0,0.2
18563,18564,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-12-01,3512.0,0.8
18564,18565,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-01-13,3695.0,0.3
18565,18566,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-01-16,3950.0,1.5
18566,18567,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-01-18,2900.0,0.06
18567,18568,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-01-19,3147.0,0.3
18568,18569,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-01-24,4015.0,0.4
18569,18570,Groundnut,Madhya Pradesh,Chhindwara,Pandhurna,2012-06-14,3550.0,11.0
