,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
39809,39810,Mustard,Madhya Pradesh,Dindori,Dindori,2012-04-23,3000.0,87.0
39810,39811,Mustard,Madhya Pradesh,Dindori,Dindori,2012-10-09,2900.0,102.65
39811,39812,Mustard,Madhya Pradesh,Dindori,Dindori,2012-09-22,3300.0,34.3
101506,101507,Soyabean,Madhya Pradesh,Dindori,Dindori,2012-08-14,3800.0,12.2
101507,101508,Soyabean,Madhya Pradesh,Dindori,Dindori,2012-10-26,2900.0,26.0
101508,101509,Soyabean,Madhya Pradesh,Dindori,Dindori,2012-03-11,3000.0,52.73
101509,101510,Soyabean,Madhya Pradesh,Dindori,Dindori,2012-07-11,2900.0,9.56
101510,101511,Soyabean,Madhya Pradesh,Dindori,Dindori,2012-08-11,2900.0,21.9
101511,101512,Soyabean,Madhya Pradesh,Dindori,Dindori,2012-10-11,2900.0,18.0
101512,101513,Soyabean,Madhya Pradesh,Dindori,Dindori,2012-11-18,3000.0,24.3
101513,101514,Soyabean,Madhya Pradesh,Dindori,Dindori,2012-01-12,2900.0,18.0
101514,101515,Soyabean,Madhya Pradesh,Dindori,Dindori,2012-03-12,2900.0,31.73
101515,101516,Soyabean,Madhya Pradesh,Dindori,Dindori,2012-05-12,2900.0,56.1
101516,101517,Soyabean,Madhya Pradesh,Dindori,Dindori,2012-12-13,2900.0,11.65
101517,101518,Soyabean,Madhya Pradesh,Dindori,Dindori,2012-12-24,2900.0,27.0
187129,187130,Mustard,Madhya Pradesh,Dindori,Dindori,2013-01-01,3600.0,4.0
187130,187131,Mustard,Madhya Pradesh,Dindori,Dindori,2013-03-01,3600.0,40.0
187131,187132,Mustard,Madhya Pradesh,Dindori,Dindori,2013-04-01,3600.0,20.0
187132,187133,Mustard,Madhya Pradesh,Dindori,Dindori,2013-06-01,3300.0,18.0
187133,187134,Mustard,Madhya Pradesh,Dindori,Dindori,2013-11-01,3500.0,16.05
187134,187135,Mustard,Madhya Pradesh,Dindori,Dindori,2013-01-13,3500.0,24.75
187135,187136,Mustard,Madhya Pradesh,Dindori,Dindori,2013-01-14,3500.0,43.0
187136,187137,Mustard,Madhya Pradesh,Dindori,Dindori,2013-01-15,3500.0,24.0
187137,187138,Mustard,Madhya Pradesh,Dindori,Dindori,2013-01-20,3500.0,24.0
187138,187139,Mustard,Madhya Pradesh,Dindori,Dindori,2013-01-21,3500.0,23.0
187139,187140,Mustard,Madhya Pradesh,Dindori,Dindori,2013-01-22,3500.0,40.0
187140,187141,Mustard,Madhya Pradesh,Dindori,Dindori,2013-01-24,3500.0,20.0
187141,187142,Mustard,Madhya Pradesh,Dindori,Dindori,2013-02-02,3500.0,20.0
187142,187143,Mustard,Madhya Pradesh,Dindori,Dindori,2013-03-02,3500.0,16.0
187143,187144,Mustard,Madhya Pradesh,Dindori,Dindori,2013-01-05,3000.0,1.58
187144,187145,Mustard,Madhya Pradesh,Dindori,Dindori,2013-11-05,3300.0,15.4
187145,187146,Mustard,Madhya Pradesh,Dindori,Dindori,2013-10-09,2800.0,2.1
187146,187147,Mustard,Madhya Pradesh,Dindori,Dindori,2013-10-19,3000.0,4.08
187147,187148,Mustard,Madhya Pradesh,Dindori,Dindori,2013-08-11,3000.0,14.57
187148,187149,Mustard,Madhya Pradesh,Dindori,Dindori,2013-09-11,3100.0,14.57
187149,187150,Mustard,Madhya Pradesh,Dindori,Dindori,2013-12-11,3100.0,5.5
187150,187151,Mustard,Madhya Pradesh,Dindori,Shahpura,2013-08-14,3400.0,2.0
187151,187152,Mustard,Madhya Pradesh,Dindori,Shahpura,2013-08-16,2900.0,1.5
253569,253570,Soyabean,Madhya Pradesh,Dindori,Dindori,2013-04-01,2900.0,12.26
253570,253571,Soyabean,Madhya Pradesh,Dindori,Dindori,2013-04-02,2900.0,23.29
