,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
39812,39813,Mustard,Madhya Pradesh,Guna,Aron,2012-09-02,0.0,1.0
39813,39814,Mustard,Madhya Pradesh,Guna,Aron,2012-03-17,2875.0,2.07
39814,39815,Mustard,Madhya Pradesh,Guna,Aron,2012-03-19,2875.0,3.02
39815,39816,Mustard,Madhya Pradesh,Guna,Aron,2012-03-21,3000.0,2.07
39816,39817,Mustard,Madhya Pradesh,Guna,Aron,2012-03-22,3150.0,3.01
39817,39818,Mustard,Madhya Pradesh,Guna,Aron,2012-03-24,3276.0,1.06
39818,39819,Mustard,Madhya Pradesh,Guna,Aron,2012-03-04,3257.0,13.06
39819,39820,Mustard,Madhya Pradesh,Guna,Aron,2012-05-04,3290.0,6.07
39820,39821,Mustard,Madhya Pradesh,Guna,Aron,2012-07-04,3325.0,4.09
39821,39822,Mustard,Madhya Pradesh,Guna,Aron,2012-04-16,3210.0,9.0
39822,39823,Mustard,Madhya Pradesh,Guna,Aron,2012-04-17,3200.0,1.09
39823,39824,Mustard,Madhya Pradesh,Guna,Aron,2012-04-18,3210.0,2.06
39824,39825,Mustard,Madhya Pradesh,Guna,Aron,2012-04-19,3200.0,6.02
39825,39826,Mustard,Madhya Pradesh,Guna,Aron,2012-04-20,3105.0,3.07
39826,39827,Mustard,Madhya Pradesh,Guna,Aron,2012-04-21,3193.0,2.08
39827,39828,Mustard,Madhya Pradesh,Guna,Aron,2012-04-23,3175.0,1.09
39828,39829,Mustard,Madhya Pradesh,Guna,Aron,2012-04-24,3020.0,1.07
39829,39830,Mustard,Madhya Pradesh,Guna,Aron,2012-04-27,3064.0,1.07
39830,39831,Mustard,Madhya Pradesh,Guna,Aron,2012-01-05,3201.0,1.2
39831,39832,Mustard,Madhya Pradesh,Guna,Aron,2012-02-05,3115.0,1.03
39832,39833,Mustard,Madhya Pradesh,Guna,Aron,2012-03-05,3060.0,2.7
39833,39834,Mustard,Madhya Pradesh,Guna,Aron,2012-05-05,3240.0,4.4
39834,39835,Mustard,Madhya Pradesh,Guna,Aron,2012-07-05,3162.0,1.04
39835,39836,Mustard,Madhya Pradesh,Guna,Aron,2012-10-05,3145.0,1.05
39836,39837,Mustard,Madhya Pradesh,Guna,Aron,2012-11-05,3080.0,1.0
39837,39838,Mustard,Madhya Pradesh,Guna,Aron,2012-12-05,3176.0,2.6
39838,39839,Mustard,Madhya Pradesh,Guna,Aron,2012-05-14,3200.0,2.03
39839,39840,Mustard,Madhya Pradesh,Guna,Aron,2012-05-15,3125.0,1.2
39840,39841,Mustard,Madhya Pradesh,Guna,Aron,2012-05-22,3150.0,1.2
39841,39842,Mustard,Madhya Pradesh,Guna,Aron,2012-01-06,3150.0,1.02
39842,39843,Mustard,Madhya Pradesh,Guna,Aron,2012-06-15,2950.0,3.01
39843,39844,Mustard,Madhya Pradesh,Guna,Aron,2012-10-10,2928.0,1.3
39844,39845,Mustard,Madhya Pradesh,Guna,Binaganj,2012-03-20,3125.0,0.74
39845,39846,Mustard,Madhya Pradesh,Guna,Binaganj,2012-10-26,3100.0,1.3
39846,39847,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-01-02,2500.0,0.03
39847,39848,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-02-17,2770.0,0.06
39848,39849,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-02-18,2800.0,0.01
39849,39850,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-02-19,2997.0,0.4
39850,39851,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-02-22,2947.0,0.07
39851,39852,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-02-23,2967.0,1.07
39852,39853,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-02-24,3152.0,0.02
39853,39854,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-02-25,3293.0,2.07
39854,39855,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-02-26,2900.0,1.05
39855,39856,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-02-27,2787.0,0.09
39856,39857,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-02-29,2600.0,1.02
39857,39858,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-01-03,2840.0,3.07
39858,39859,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-02-03,2615.0,5.07
39859,39860,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-03-03,3010.0,0.05
39860,39861,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-04-03,2932.0,0.05
39861,39862,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-05-03,3030.0,1.03
39862,39863,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-07-03,2900.0,0.08
39863,39864,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-03-14,2980.0,0.06
39864,39865,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-03-15,2850.0,1.02
39865,39866,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-03-16,2850.0,1.0
39866,39867,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-03-17,3000.0,0.01
39867,39868,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-03-19,3085.0,1.0
39868,39869,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-03-21,3300.0,0.02
39869,39870,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-03-23,3275.0,0.06
39870,39871,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-03-26,1200.0,0.05
39871,39872,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-03-28,3150.0,0.06
39872,39873,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-05-04,3250.0,1.06
39873,39874,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-06-04,3100.0,0.02
39874,39875,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-08-04,3205.0,0.07
39875,39876,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-04-15,3205.0,0.07
39876,39877,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-04-16,3300.0,0.07
39877,39878,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-04-19,3340.0,0.04
39878,39879,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-04-20,3380.0,0.07
39879,39880,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-04-22,3285.0,0.02
39880,39881,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-04-23,3390.0,0.04
39881,39882,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-06-05,3500.0,0.07
39882,39883,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-09-05,3440.0,0.04
39883,39884,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-12-05,3410.0,0.05
39884,39885,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-05-13,3435.0,0.05
39885,39886,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-05-14,3440.0,1.02
39886,39887,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-05-16,3450.0,0.03
39887,39888,Mustard,Madhya Pradesh,Guna,Kumbhraj,2012-05-21,3315.0,0.03
39888,39889,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-03-14,3052.0,0.3
39889,39890,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-03-15,2880.0,0.1
39890,39891,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-03-16,3180.0,2.0
39891,39892,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-03-17,3221.0,0.5
39892,39893,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-03-18,3300.0,0.1
39893,39894,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-03-22,3000.0,0.1
39894,39895,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-03-23,3335.0,0.8
39895,39896,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-03-25,3200.0,0.8
39896,39897,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-03-26,3400.0,0.3
39897,39898,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-04-04,3300.0,0.1
39898,39899,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-05-04,3300.0,0.1
39899,39900,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-07-04,3700.0,0.6
39900,39901,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-08-04,3260.0,0.1
39901,39902,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-04-16,3440.0,0.1
39902,39903,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-04-18,3471.0,0.5
39903,39904,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-04-19,3495.0,0.3
39904,39905,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-04-20,3450.0,1.1
39905,39906,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-04-22,3500.0,0.5
39906,39907,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-04-27,3675.0,0.2
39907,39908,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-04-28,3580.0,0.2
39908,39909,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-04-30,3550.0,0.1
39909,39910,Mustard,Madhya Pradesh,Guna,Raghogarh,2012-02-05,3650.0,0.1
