,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
40328,40329,Mustard,Madhya Pradesh,Harda,Harda,2012-02-27,3100.0,0.7
40329,40330,Mustard,Madhya Pradesh,Harda,Harda,2012-02-03,3450.0,0.4
40330,40331,Mustard,Madhya Pradesh,Harda,Harda,2012-03-03,3600.0,2.2
40331,40332,Mustard,Madhya Pradesh,Harda,Harda,2012-05-03,3451.0,0.9
40332,40333,Mustard,Madhya Pradesh,Harda,Harda,2012-09-03,3298.0,1.2
40333,40334,Mustard,Madhya Pradesh,Harda,Harda,2012-10-03,3090.0,0.5
40334,40335,Mustard,Madhya Pradesh,Harda,Harda,2012-03-13,3350.0,2.0
40335,40336,Mustard,Madhya Pradesh,Harda,Harda,2012-03-14,3350.0,1.3
40336,40337,Mustard,Madhya Pradesh,Harda,Harda,2012-03-15,3450.0,2.0
40337,40338,Mustard,Madhya Pradesh,Harda,Harda,2012-03-16,3501.0,3.9
40338,40339,Mustard,Madhya Pradesh,Harda,Harda,2012-03-17,3650.0,1.8
40339,40340,Mustard,Madhya Pradesh,Harda,Harda,2012-03-19,3650.0,7.1
40340,40341,Mustard,Madhya Pradesh,Harda,Harda,2012-03-20,3650.0,7.7
40341,40342,Mustard,Madhya Pradesh,Harda,Harda,2012-03-21,3560.0,2.7
40342,40343,Mustard,Madhya Pradesh,Harda,Harda,2012-03-26,3650.0,11.6
40343,40344,Mustard,Madhya Pradesh,Harda,Harda,2012-03-27,3625.0,11.5
40344,40345,Mustard,Madhya Pradesh,Harda,Harda,2012-03-28,3250.0,0.4
40345,40346,Mustard,Madhya Pradesh,Harda,Harda,2012-03-29,3550.0,4.0
40346,40347,Mustard,Madhya Pradesh,Harda,Harda,2012-03-04,3550.0,4.6
40347,40348,Mustard,Madhya Pradesh,Harda,Harda,2012-05-04,3501.0,7.0
40348,40349,Mustard,Madhya Pradesh,Harda,Harda,2012-07-04,3525.0,5.0
