,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
18671,18672,Groundnut,Madhya Pradesh,Indore,Indore(F&V),2012-02-03,2700.0,0.2
18672,18673,Groundnut,Madhya Pradesh,Indore,Indore(F&V),2012-06-11,3596.0,0.6
18673,18674,Groundnut,Madhya Pradesh,Indore,Indore(F&V),2012-12-18,4300.0,0.5
40897,40898,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-03-01,2800.0,0.1
40898,40899,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-04-01,3000.0,0.7
40899,40900,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-05-01,3000.0,5.4
40900,40901,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-06-01,0.0,0.1
40901,40902,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-07-01,0.0,0.2
40902,40903,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-09-01,2715.0,0.1
40903,40904,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-11-01,0.0,0.1
40904,40905,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-01-18,3405.0,0.2
40905,40906,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-01-21,3550.0,0.3
40906,40907,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-01-24,3575.0,0.2
40907,40908,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-01-02,0.0,0.8
40908,40909,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-03-02,0.0,0.1
40909,40910,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-06-02,0.0,0.5
40910,40911,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-07-02,0.0,0.8
40911,40912,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-11-02,0.0,0.1
40912,40913,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-02-13,3401.0,0.1
40913,40914,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-02-14,0.0,3.0
40914,40915,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-02-15,0.0,2.9
40915,40916,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-02-17,0.0,1.0
40916,40917,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-02-18,0.0,0.8
40917,40918,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-02-22,3200.0,3.2
40918,40919,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-02-23,3691.0,0.1
40919,40920,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-02-24,3500.0,0.4
40920,40921,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-02-27,3900.0,7.4
40921,40922,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-02-28,2600.0,1.8
40922,40923,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-07-03,0.0,5.6
40923,40924,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-09-03,3800.0,0.6
40924,40925,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-10-03,0.0,3.3
40925,40926,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-03-13,0.0,1.3
40926,40927,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-03-15,3400.0,5.6
40927,40928,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-03-16,3800.0,3.5
40928,40929,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-03-17,3900.0,5.5
40929,40930,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-03-19,3955.0,0.8
40930,40931,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-03-20,3880.0,2.6
40931,40932,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-03-29,3801.0,2.1
40932,40933,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-03-30,3725.0,3.8
40933,40934,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-03-31,3685.0,2.8
40934,40935,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-02-04,3500.0,3.2
40935,40936,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-03-04,3700.0,6.9
40936,40937,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-05-04,3551.0,3.3
40937,40938,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-07-04,3300.0,4.6
40938,40939,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-04-16,3651.0,4.4
40939,40940,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-04-17,3500.0,4.6
40940,40941,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-04-18,3600.0,2.9
40941,40942,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-04-20,3515.0,3.8
40942,40943,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-04-23,3600.0,10.7
40943,40944,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-04-24,3405.0,1.9
40944,40945,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-04-25,3552.0,1.1
40945,40946,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-04-26,3350.0,0.7
40946,40947,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-04-27,3700.0,4.0
40947,40948,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-02-05,3500.0,5.9
40948,40949,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-03-05,3500.0,0.7
40949,40950,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-05-05,3500.0,0.8
40950,40951,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-07-05,3592.0,5.0
40951,40952,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-08-05,4005.0,0.6
40952,40953,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-09-05,3600.0,10.4
40953,40954,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-10-05,3681.0,1.3
40954,40955,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-11-05,3950.0,3.7
40955,40956,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-05-14,3850.0,1.7
40956,40957,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-05-15,3750.0,0.8
40957,40958,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-05-16,3950.0,4.7
40958,40959,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-05-17,3777.0,2.8
40959,40960,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-05-18,3840.0,1.3
40960,40961,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-05-19,3801.0,4.1
40961,40962,Mustard,Madhya Pradesh,Indore,Indore(F&V),2012-05-21,3625.0,0.9
