,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
41062,41063,Mustard,Madhya Pradesh,Jabalpur,Jabalpur,2012-03-09,3211.0,0.1
41063,41064,Mustard,Madhya Pradesh,Jabalpur,Shahpura(Jabalpur),2012-08-05,3008.0,30.9
41064,41065,Mustard,Madhya Pradesh,Jabalpur,Shahpura(Jabalpur),2012-05-17,3050.0,2.5
41065,41066,Mustard,Madhya Pradesh,Jabalpur,Shahpura(Jabalpur),2012-05-28,3975.0,2.5
41066,41067,Mustard,Madhya Pradesh,Jabalpur,Shahpura(Jabalpur),2012-06-14,3000.0,1.5
105015,105016,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-02-01,2262.0,11.2
105016,105017,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-03-01,2312.0,17.7
105017,105018,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-04-01,2296.0,5.5
105018,105019,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-05-01,2285.0,19.3
105019,105020,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-06-01,2250.0,23.5
105020,105021,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-07-01,2253.0,9.0
105021,105022,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-09-01,2288.0,10.1
105022,105023,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-10-01,2301.0,17.3
105023,105024,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-11-01,2318.0,13.1
105024,105025,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-12-01,2292.0,25.7
105025,105026,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-14,2240.0,7.2
105026,105027,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-16,2129.0,15.1
105027,105028,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-17,2293.0,9.7
105028,105029,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-18,2226.0,9.1
105029,105030,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-19,2141.0,6.0
105030,105031,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-20,2222.0,5.5
105031,105032,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-21,2199.0,0.9
105032,105033,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-23,2203.0,1.1
105033,105034,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-24,2227.0,1.2
105034,105035,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-25,2270.0,8.1
105035,105036,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-27,2235.0,8.2
105036,105037,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-28,2180.0,0.4
105037,105038,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-31,2225.0,11.8
105038,105039,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-01-02,2256.0,6.2
105039,105040,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-02-02,2223.0,7.6
105040,105041,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-03-02,2165.0,2.6
105041,105042,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-04-02,2171.0,5.7
105042,105043,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-06-02,1950.0,2.3
105043,105044,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-08-02,2200.0,3.0
105044,105045,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-09-02,2285.0,3.7
105045,105046,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-10-02,2229.0,3.6
105046,105047,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-11-02,2199.0,2.3
105047,105048,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-02-13,2212.0,15.9
105048,105049,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-02-15,2251.0,0.6
105049,105050,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-02-16,2261.0,2.8
105050,105051,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-02-17,2260.0,4.0
105051,105052,Soyabean,Madhya Pradesh,Jabalpur,Jabalpur,2012-02-18,2216.0,1.2
