,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
18674,18675,Groundnut,Madhya Pradesh,Jhabua,Jhabua,2012-02-26,2200.0,3.4
18675,18676,Groundnut,Madhya Pradesh,Jhabua,Jhabua,2012-10-20,3000.0,0.6
18676,18677,Groundnut,Madhya Pradesh,Jhabua,Jhabua,2012-10-26,3050.0,46.6
18677,18678,Groundnut,Madhya Pradesh,Jhabua,Jhabua,2012-10-27,4000.0,0.5
18678,18679,Groundnut,Madhya Pradesh,Jhabua,Jhabua,2012-01-11,4125.0,0.9
18679,18680,Groundnut,Madhya Pradesh,Jhabua,Jhabua,2012-04-11,5000.0,1.0
18680,18681,Groundnut,Madhya Pradesh,Jhabua,Jhabua,2012-05-11,5250.0,5.0
18681,18682,Groundnut,Madhya Pradesh,Jhabua,Jhabua,2012-10-11,5000.0,3.0
18682,18683,Groundnut,Madhya Pradesh,Jhabua,Jhabua,2012-11-24,5100.0,5.8
18683,18684,Groundnut,Madhya Pradesh,Jhabua,Jhabua,2012-11-26,5200.0,2.0
105187,105188,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-03-31,2750.0,28.0
105188,105189,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-01-04,2750.0,28.0
105189,105190,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-02-04,2750.0,28.0
105190,105191,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-01-07,3550.0,1.0
105191,105192,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-06-08,3000.0,22.8
105192,105193,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-07-08,3150.0,18.9
105193,105194,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-08,3000.0,20.0
105194,105195,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-02-09,3600.0,19.95
105195,105196,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-11-09,3750.0,27.1
105196,105197,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-09-16,4200.0,5.6
105197,105198,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-14,2901.0,10.0
105198,105199,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-16,2900.0,10.0
105199,105200,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-17,2700.0,29.0
105200,105201,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-18,2850.0,31.5
105201,105202,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-19,2750.0,45.4
105202,105203,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-20,2870.0,90.2
105203,105204,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-21,3025.0,57.9
105204,105205,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-22,2750.0,26.0
105205,105206,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-23,2753.0,48.5
105206,105207,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-24,3027.0,17.0
105207,105208,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-25,3050.0,51.3
105208,105209,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-27,3050.0,20.7
105209,105210,Soyabean,Madhya Pradesh,Jhabua,Jhabua,2012-10-28,3050.0,34.0
