,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
41839,41840,Mustard,Madhya Pradesh,Morena,Ambaha,2012-02-26,2370.0,0.7
41840,41841,Mustard,Madhya Pradesh,Morena,Ambaha,2012-06-03,3000.0,6.2
41841,41842,Mustard,Madhya Pradesh,Morena,Ambaha,2012-10-03,3000.0,12.9
41842,41843,Mustard,Madhya Pradesh,Morena,Ambaha,2012-11-03,3100.0,11.0
41843,41844,Mustard,Madhya Pradesh,Morena,Ambaha,2012-12-03,3100.0,11.0
41844,41845,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-13,3100.0,20.5
41845,41846,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-14,3100.0,72.7
41846,41847,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-15,3150.0,34.1
41847,41848,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-17,3200.0,5.9
41848,41849,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-18,3190.0,26.4
41849,41850,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-19,3220.0,59.9
41850,41851,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-20,3270.0,44.0
41851,41852,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-21,3350.0,40.0
41852,41853,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-22,3360.0,29.0
41853,41854,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-24,3431.0,64.3
41854,41855,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-25,3433.0,24.5
41855,41856,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-26,3399.0,24.5
41856,41857,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-27,3350.0,22.7
41857,41858,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-28,3266.0,11.1
41858,41859,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-29,3260.0,20.7
41859,41860,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-31,3301.0,2.7
41860,41861,Mustard,Madhya Pradesh,Morena,Ambaha,2012-01-04,3350.0,2.9
41861,41862,Mustard,Madhya Pradesh,Morena,Ambaha,2012-02-04,3355.0,4.0
41862,41863,Mustard,Madhya Pradesh,Morena,Ambaha,2012-03-04,3400.0,14.1
41863,41864,Mustard,Madhya Pradesh,Morena,Ambaha,2012-05-04,3440.0,15.1
41864,41865,Mustard,Madhya Pradesh,Morena,Ambaha,2012-07-04,3455.0,12.7
41865,41866,Mustard,Madhya Pradesh,Morena,Ambaha,2012-08-04,3474.0,3.0
41866,41867,Mustard,Madhya Pradesh,Morena,Ambaha,2012-09-04,3440.0,9.0
41867,41868,Mustard,Madhya Pradesh,Morena,Ambaha,2012-10-04,3500.0,9.5
41868,41869,Mustard,Madhya Pradesh,Morena,Ambaha,2012-11-04,3498.0,9.3
41869,41870,Mustard,Madhya Pradesh,Morena,Ambaha,2012-12-04,3500.0,11.9
41870,41871,Mustard,Madhya Pradesh,Morena,Ambaha,2012-04-14,3500.0,18.6
41871,41872,Mustard,Madhya Pradesh,Morena,Ambaha,2012-04-15,3500.0,12.5
41872,41873,Mustard,Madhya Pradesh,Morena,Ambaha,2012-04-16,3492.0,12.1
41873,41874,Mustard,Madhya Pradesh,Morena,Ambaha,2012-04-17,3465.0,2.7
41874,41875,Mustard,Madhya Pradesh,Morena,Ambaha,2012-04-18,3445.0,1.0
41875,41876,Mustard,Madhya Pradesh,Morena,Ambaha,2012-04-19,3464.0,3.0
41876,41877,Mustard,Madhya Pradesh,Morena,Ambaha,2012-04-21,3510.0,5.3
41877,41878,Mustard,Madhya Pradesh,Morena,Ambaha,2012-04-22,3500.0,4.5
41878,41879,Mustard,Madhya Pradesh,Morena,Ambaha,2012-04-23,3500.0,3.5
41879,41880,Mustard,Madhya Pradesh,Morena,Ambaha,2012-04-29,3550.0,7.5
41880,41881,Mustard,Madhya Pradesh,Morena,Ambaha,2012-05-05,3600.0,0.8
41881,41882,Mustard,Madhya Pradesh,Morena,Ambaha,2012-06-05,3600.0,4.0
41882,41883,Mustard,Madhya Pradesh,Morena,Ambaha,2012-07-05,3595.0,7.5
41883,41884,Mustard,Madhya Pradesh,Morena,Ambaha,2012-08-05,3595.0,2.2
41884,41885,Mustard,Madhya Pradesh,Morena,Ambaha,2012-09-05,3600.0,1.2
41885,41886,Mustard,Madhya Pradesh,Morena,Ambaha,2012-10-05,3560.0,3.2
41886,41887,Mustard,Madhya Pradesh,Morena,Ambaha,2012-12-05,3600.0,1.2
41887,41888,Mustard,Madhya Pradesh,Morena,Ambaha,2012-05-13,3500.0,2.5
41888,41889,Mustard,Madhya Pradesh,Morena,Ambaha,2012-05-14,3500.0,1.0
41889,41890,Mustard,Madhya Pradesh,Morena,Ambaha,2012-05-15,3500.0,0.5
