,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
19557,19558,Groundnut,Maharashtra,Akola,Akola,2012-05-25,3795.0,10.3
19558,19559,Groundnut,Maharashtra,Akola,Akola,2012-05-26,3925.0,8.4
19559,19560,Groundnut,Maharashtra,Akola,Akola,2012-05-28,3955.0,13.3
19560,19561,Groundnut,Maharashtra,Akola,Akola,2012-05-29,3825.0,18.6
19561,19562,Groundnut,Maharashtra,Akola,Akola,2012-05-30,3845.0,18.3
19562,19563,Groundnut,Maharashtra,Akola,Akola,2012-01-06,4025.0,22.3
19563,19564,Groundnut,Maharashtra,Akola,Akola,2012-02-06,4020.0,44.0
19564,19565,Groundnut,Maharashtra,Akola,Akola,2012-05-06,4065.0,35.2
19565,19566,Groundnut,Maharashtra,Akola,Akola,2012-06-06,4110.0,40.5
19566,19567,Groundnut,Maharashtra,Akola,Akola,2012-12-07,4345.0,7.4
19567,19568,Groundnut,Maharashtra,Akola,Akola,2012-07-18,4485.0,3.5
92238,92239,Safflower,Maharashtra,Akola,Murtizapur,2012-11-04,3221.0,5.0
120148,120149,Soyabean,Maharashtra,Akola,Akola,2012-07-01,2320.0,192.0
120149,120150,Soyabean,Maharashtra,Akola,Akola,2012-09-01,2320.0,144.8
120150,120151,Soyabean,Maharashtra,Akola,Akola,2012-10-01,2345.0,191.8
120151,120152,Soyabean,Maharashtra,Akola,Akola,2012-10-02,2365.0,182.0
120152,120153,Soyabean,Maharashtra,Akola,Akola,2012-11-02,2355.0,169.1
120153,120154,Soyabean,Maharashtra,Akola,Akola,2012-02-13,2335.0,73.5
120154,120155,Soyabean,Maharashtra,Akola,Akola,2012-02-17,2355.0,121.0
120155,120156,Soyabean,Maharashtra,Akola,Akola,2012-02-18,2355.0,140.6
120156,120157,Soyabean,Maharashtra,Akola,Akola,2012-03-26,2730.0,76.8
120157,120158,Soyabean,Maharashtra,Akola,Akola,2012-04-16,3175.0,105.7
120158,120159,Soyabean,Maharashtra,Akola,Akola,2012-04-17,3180.0,66.7
120159,120160,Soyabean,Maharashtra,Akola,Akola,2012-04-19,3165.0,73.8
120160,120161,Soyabean,Maharashtra,Akola,Akola,2012-04-20,3140.0,51.9
120161,120162,Soyabean,Maharashtra,Akola,Akola,2012-05-25,3300.0,29.3
120162,120163,Soyabean,Maharashtra,Akola,Akola,2012-05-28,3295.0,2.5
120163,120164,Soyabean,Maharashtra,Akola,Akola,2012-05-29,3310.0,18.8
120164,120165,Soyabean,Maharashtra,Akola,Akola,2012-05-30,3320.0,10.2
120165,120166,Soyabean,Maharashtra,Akola,Akola,2012-01-06,3335.0,30.7
120166,120167,Soyabean,Maharashtra,Akola,Akola,2012-05-06,3255.0,14.5
120167,120168,Soyabean,Maharashtra,Akola,Akola,2012-06-06,3250.0,16.0
120168,120169,Soyabean,Maharashtra,Akola,Akola,2012-12-07,4160.0,24.5
120169,120170,Soyabean,Maharashtra,Akola,Akola,2012-07-16,4365.0,17.8
120170,120171,Soyabean,Maharashtra,Akola,Akola,2012-07-18,4485.0,12.7
120171,120172,Soyabean,Maharashtra,Akola,Akola,2012-07-19,4535.0,5.0
120172,120173,Soyabean,Maharashtra,Akola,Akola,2012-07-20,4595.0,16.1
120173,120174,Soyabean,Maharashtra,Akola,Akola,2012-07-23,4900.0,5.5
120174,120175,Soyabean,Maharashtra,Akola,Akola,2012-07-24,4890.0,5.3
120175,120176,Soyabean,Maharashtra,Akola,Akola,2012-07-25,4640.0,5.3
120176,120177,Soyabean,Maharashtra,Akola,Akola,2012-07-26,4600.0,17.0
120177,120178,Soyabean,Maharashtra,Akola,Akola,2012-07-28,4580.0,13.1
120178,120179,Soyabean,Maharashtra,Akola,Akola,2012-07-31,4315.0,11.7
120179,120180,Soyabean,Maharashtra,Akola,Akola,2012-01-08,4280.0,10.5
120180,120181,Soyabean,Maharashtra,Akola,Akola,2012-03-08,4215.0,10.0
