,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
47454,47455,Mustard,Maharashtra,Bhandara,Bhandara,2012-03-20,2250.0,0.1
47455,47456,Mustard,Maharashtra,Bhandara,Bhandara,2012-03-22,2300.0,0.1
47456,47457,Mustard,Maharashtra,Bhandara,Bhandara,2012-03-26,2300.0,0.1
47457,47458,Mustard,Maharashtra,Bhandara,Bhandara,2012-05-17,2500.0,0.4
47458,47459,Mustard,Maharashtra,Bhandara,Lakhandur,2012-05-03,3400.0,0.3
47459,47460,Mustard,Maharashtra,Bhandara,Lakhandur,2012-03-27,2931.0,1.8
47460,47461,Mustard,Maharashtra,Bhandara,Lakhandur,2012-04-17,3075.0,1.6
47461,47462,Mustard,Maharashtra,Bhandara,Lakhandur,2012-04-18,3050.0,0.4
47462,47463,Mustard,Maharashtra,Bhandara,Lakhandur,2012-04-20,3066.0,0.2
47463,47464,Mustard,Maharashtra,Bhandara,Lakhandur,2012-03-05,3051.0,0.9
47464,47465,Mustard,Maharashtra,Bhandara,Lakhandur,2012-05-05,3051.0,0.9
122704,122705,Soyabean,Maharashtra,Bhandara,Bhandara,2012-03-01,2370.0,1.1
122705,122706,Soyabean,Maharashtra,Bhandara,Bhandara,2012-05-01,2380.0,13.5
122706,122707,Soyabean,Maharashtra,Bhandara,Bhandara,2012-06-01,2270.0,0.9
122707,122708,Soyabean,Maharashtra,Bhandara,Bhandara,2012-07-01,2250.0,1.7
122708,122709,Soyabean,Maharashtra,Bhandara,Bhandara,2012-09-01,2200.0,0.3
122709,122710,Soyabean,Maharashtra,Bhandara,Bhandara,2012-10-01,2250.0,0.3
122710,122711,Soyabean,Maharashtra,Bhandara,Bhandara,2012-12-01,2250.0,1.5
122711,122712,Soyabean,Maharashtra,Bhandara,Bhandara,2012-01-13,2275.0,1.8
122712,122713,Soyabean,Maharashtra,Bhandara,Bhandara,2012-01-14,2250.0,1.1
122713,122714,Soyabean,Maharashtra,Bhandara,Bhandara,2012-01-16,2360.0,10.7
122714,122715,Soyabean,Maharashtra,Bhandara,Bhandara,2012-01-19,2280.0,1.3
122715,122716,Soyabean,Maharashtra,Bhandara,Bhandara,2012-01-20,2250.0,2.4
122716,122717,Soyabean,Maharashtra,Bhandara,Bhandara,2012-01-21,2300.0,1.0
