,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
128224,128225,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-02-01,2410.0,0.2
128225,128226,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-03-01,2450.0,0.8
128226,128227,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-10-25,3150.0,1.7
128227,128228,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-10-26,3200.0,1.6
128228,128229,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-10-27,3100.0,1.3
128229,128230,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-10-29,3050.0,1.8
128230,128231,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-10-30,3000.0,1.0
128231,128232,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-10-31,3000.0,3.4
128232,128233,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-01-11,3000.0,2.9
128233,128234,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-02-11,3000.0,2.1
128234,128235,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-03-11,2950.0,1.3
128235,128236,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-05-11,3000.0,1.9
128236,128237,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-06-11,3050.0,1.6
128237,128238,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-07-11,3100.0,1.6
128238,128239,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-08-11,3100.0,0.6
128239,128240,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-09-11,3050.0,0.9
128240,128241,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-11-19,3125.0,0.5
128241,128242,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-11-20,3150.0,0.3
128242,128243,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-11-21,3050.0,1.3
128243,128244,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-11-22,3050.0,0.5
128244,128245,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-11-24,3050.0,0.5
128245,128246,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-11-26,3100.0,1.2
128246,128247,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-11-27,3100.0,1.4
128247,128248,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-11-28,3050.0,0.5
128248,128249,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-11-29,3150.0,0.5
128249,128250,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-11-30,3100.0,3.1
128250,128251,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-01-12,3100.0,1.7
128251,128252,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-03-12,2950.0,2.9
128252,128253,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-04-12,2950.0,6.3
128253,128254,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-05-12,2950.0,1.5
128254,128255,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-06-12,3000.0,0.4
128255,128256,Soyabean,Maharashtra,Nandurbar,Dhadgaon,2012-07-12,2950.0,0.6
128256,128257,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-01-01,2446.0,5.7
128257,128258,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-01-19,2325.0,0.9
128258,128259,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-01-20,2368.0,2.1
128259,128260,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-01-23,2365.0,2.6
128260,128261,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-01-24,2383.0,1.7
128261,128262,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-02-17,2325.0,0.7
128262,128263,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-02-21,2311.0,0.1
128263,128264,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-02-22,2311.0,0.9
128264,128265,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-04-13,2891.0,0.4
128265,128266,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-04-16,2890.0,0.6
128266,128267,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-04-18,3125.0,0.7
128267,128268,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-05-14,3200.0,0.2
128268,128269,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-05-23,3104.0,0.2
128269,128270,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-05-24,3014.0,0.4
128270,128271,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-06-06,2992.0,0.3
128271,128272,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-07-16,3166.0,0.1
128272,128273,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-08-10,3011.0,1.1
128273,128274,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-09-10,3011.0,1.0
128274,128275,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-10-10,2690.0,2.3
128275,128276,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-11-10,2990.0,7.9
128276,128277,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-12-10,2911.0,18.8
128277,128278,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-10-16,2966.0,3.0
128278,128279,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-10-17,2951.0,12.4
128279,128280,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-10-18,2744.0,39.8
128280,128281,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-10-19,2790.0,43.0
128281,128282,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-10-22,2821.0,19.3
128282,128283,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-10-23,3116.0,44.0
128283,128284,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-10-25,3018.0,18.6
128284,128285,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-10-26,3033.0,11.6
128285,128286,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-10-30,2858.0,14.3
128286,128287,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-01-11,2856.0,9.6
128287,128288,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-02-11,2886.0,7.4
128288,128289,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-07-11,3120.0,9.0
128289,128290,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-11-19,2962.0,2.9
128290,128291,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-11-20,3114.0,2.6
128291,128292,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-11-21,3055.0,8.7
128292,128293,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-11-22,3034.0,3.7
128293,128294,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-11-23,3078.0,8.8
128294,128295,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-11-27,2990.0,3.1
128295,128296,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-11-29,3066.0,4.2
128296,128297,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-11-30,3033.0,4.9
128297,128298,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-03-12,3073.0,6.5
128298,128299,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-05-12,2982.0,5.0
128299,128300,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-06-12,3091.0,3.2
128300,128301,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-07-12,3100.0,3.1
128301,128302,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-08-12,3091.0,3.2
128302,128303,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-10-12,3100.0,7.7
128303,128304,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-11-12,3050.0,2.2
128304,128305,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-12-12,3092.0,2.9
128305,128306,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-12-14,3117.0,2.0
128306,128307,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-12-17,3170.0,2.2
128307,128308,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-12-18,3181.0,5.2
128308,128309,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-12-19,3150.0,4.8
128309,128310,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-12-20,3141.0,3.1
128310,128311,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-12-21,3158.0,3.8
128311,128312,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-12-24,3150.0,3.2
128312,128313,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-12-25,3120.0,0.7
128313,128314,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-12-28,3121.0,3.4
128314,128315,Soyabean,Maharashtra,Nandurbar,Nandurbar,2012-12-31,3121.0,3.4
128315,128316,Soyabean,Maharashtra,Nandurbar,Navapur,2012-01-13,2400.0,0.5
128316,128317,Soyabean,Maharashtra,Nandurbar,Navapur,2012-01-17,2400.0,0.5
128317,128318,Soyabean,Maharashtra,Nandurbar,Navapur,2012-01-18,2400.0,0.5
128318,128319,Soyabean,Maharashtra,Nandurbar,Navapur,2012-01-21,2400.0,0.5
128319,128320,Soyabean,Maharashtra,Nandurbar,Navapur,2012-01-23,2400.0,0.5
128320,128321,Soyabean,Maharashtra,Nandurbar,Navapur,2012-04-02,2400.0,0.5
128321,128322,Soyabean,Maharashtra,Nandurbar,Navapur,2012-02-22,2500.0,0.4
128322,128323,Soyabean,Maharashtra,Nandurbar,Navapur,2012-03-31,2291.0,33.0
128323,128324,Soyabean,Maharashtra,Nandurbar,Navapur,2012-10-13,2938.0,3.4
128324,128325,Soyabean,Maharashtra,Nandurbar,Navapur,2012-10-16,2950.0,4.7
128325,128326,Soyabean,Maharashtra,Nandurbar,Navapur,2012-10-17,2935.0,7.8
128326,128327,Soyabean,Maharashtra,Nandurbar,Navapur,2012-10-18,2947.0,8.7
128327,128328,Soyabean,Maharashtra,Nandurbar,Navapur,2012-10-19,3001.0,8.8
128328,128329,Soyabean,Maharashtra,Nandurbar,Navapur,2012-10-20,3029.0,10.2
128329,128330,Soyabean,Maharashtra,Nandurbar,Navapur,2012-10-29,3035.0,6.5
128330,128331,Soyabean,Maharashtra,Nandurbar,Navapur,2012-10-30,3088.0,4.0
128331,128332,Soyabean,Maharashtra,Nandurbar,Navapur,2012-10-31,3000.0,0.5
128332,128333,Soyabean,Maharashtra,Nandurbar,Navapur,2012-01-11,3075.0,2.0
128333,128334,Soyabean,Maharashtra,Nandurbar,Navapur,2012-02-11,3117.0,1.5
128334,128335,Soyabean,Maharashtra,Nandurbar,Navapur,2012-03-11,3100.0,0.5
128335,128336,Soyabean,Maharashtra,Nandurbar,Navapur,2012-05-11,3000.0,1.4
128336,128337,Soyabean,Maharashtra,Nandurbar,Navapur,2012-11-16,3150.0,0.5
128337,128338,Soyabean,Maharashtra,Nandurbar,Navapur,2012-11-27,3200.0,8.0
128338,128339,Soyabean,Maharashtra,Nandurbar,Shahada,2012-09-01,2400.0,0.5
143741,143742,Sunflower,Maharashtra,Nandurbar,Nandurbar,2012-01-24,5200.0,3.9
143742,143743,Sunflower,Maharashtra,Nandurbar,Nandurbar,2012-10-04,3331.0,0.1
143743,143744,Sunflower,Maharashtra,Nandurbar,Nandurbar,2012-12-04,4694.0,2.1
