,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
20280,20281,Groundnut,Maharashtra,Sangli,Aatpadi,2012-02-25,7200.0,1.8
130231,130232,Soyabean,Maharashtra,Sangli,Sangli,2012-02-01,3050.0,22.5
130232,130233,Soyabean,Maharashtra,Sangli,Sangli,2012-04-01,2325.0,13.3
130233,130234,Soyabean,Maharashtra,Sangli,Sangli,2012-05-01,2325.0,1.6
130234,130235,Soyabean,Maharashtra,Sangli,Sangli,2012-07-01,2375.0,2.5
130235,130236,Soyabean,Maharashtra,Sangli,Sangli,2012-09-01,2375.0,0.9
130236,130237,Soyabean,Maharashtra,Sangli,Sangli,2012-01-13,2375.0,5.4
130237,130238,Soyabean,Maharashtra,Sangli,Sangli,2012-01-14,2350.0,6.3
130238,130239,Soyabean,Maharashtra,Sangli,Sangli,2012-01-17,2350.0,0.1
130239,130240,Soyabean,Maharashtra,Sangli,Sangli,2012-01-23,2350.0,1.6
130240,130241,Soyabean,Maharashtra,Sangli,Sangli,2012-03-02,2275.0,59.3
130241,130242,Soyabean,Maharashtra,Sangli,Sangli,2012-04-02,2262.0,16.5
130242,130243,Soyabean,Maharashtra,Sangli,Sangli,2012-09-02,2275.0,0.6
130243,130244,Soyabean,Maharashtra,Sangli,Sangli,2012-10-02,2325.0,0.7
130244,130245,Soyabean,Maharashtra,Sangli,Sangli,2012-02-13,2300.0,3.8
130245,130246,Soyabean,Maharashtra,Sangli,Sangli,2012-02-15,2275.0,3.0
130246,130247,Soyabean,Maharashtra,Sangli,Sangli,2012-02-16,2300.0,1.1
130247,130248,Soyabean,Maharashtra,Sangli,Sangli,2012-02-17,2275.0,1.5
130248,130249,Soyabean,Maharashtra,Sangli,Sangli,2012-02-21,2325.0,17.5
130249,130250,Soyabean,Maharashtra,Sangli,Sangli,2012-02-23,2363.0,15.0
130250,130251,Soyabean,Maharashtra,Sangli,Sangli,2012-02-24,2363.0,9.5
130251,130252,Soyabean,Maharashtra,Sangli,Sangli,2012-02-25,2350.0,16.0
130252,130253,Soyabean,Maharashtra,Sangli,Sangli,2012-02-27,2363.0,3.1
130253,130254,Soyabean,Maharashtra,Sangli,Sangli,2012-02-28,2350.0,0.5
130254,130255,Soyabean,Maharashtra,Sangli,Sangli,2012-02-29,2362.0,12.0
130255,130256,Soyabean,Maharashtra,Sangli,Sangli,2012-01-03,2363.0,14.5
130256,130257,Soyabean,Maharashtra,Sangli,Sangli,2012-03-03,2375.0,10.8
130257,130258,Soyabean,Maharashtra,Sangli,Sangli,2012-06-03,2250.0,25.0
130258,130259,Soyabean,Maharashtra,Sangli,Sangli,2012-03-13,2200.0,22.5
130259,130260,Soyabean,Maharashtra,Sangli,Sangli,2012-03-20,2425.0,4.5
130260,130261,Soyabean,Maharashtra,Sangli,Sangli,2012-03-22,2525.0,1.9
130261,130262,Soyabean,Maharashtra,Sangli,Sangli,2012-03-24,2500.0,2.4
130262,130263,Soyabean,Maharashtra,Sangli,Sangli,2012-03-26,2600.0,5.1
130263,130264,Soyabean,Maharashtra,Sangli,Sangli,2012-03-29,2600.0,2.4
130264,130265,Soyabean,Maharashtra,Sangli,Sangli,2012-03-30,2575.0,5.7
130265,130266,Soyabean,Maharashtra,Sangli,Sangli,2012-02-04,2600.0,1.8
130266,130267,Soyabean,Maharashtra,Sangli,Sangli,2012-09-04,2725.0,21.0
130267,130268,Soyabean,Maharashtra,Sangli,Sangli,2012-10-04,2738.0,7.9
130268,130269,Soyabean,Maharashtra,Sangli,Sangli,2012-04-17,3000.0,77.4
130269,130270,Soyabean,Maharashtra,Sangli,Sangli,2012-04-21,3150.0,10.9
130270,130271,Soyabean,Maharashtra,Sangli,Sangli,2012-04-24,3200.0,8.5
130271,130272,Soyabean,Maharashtra,Sangli,Sangli,2012-04-25,3090.0,2.4
130272,130273,Soyabean,Maharashtra,Sangli,Sangli,2012-04-26,3175.0,1.0
130273,130274,Soyabean,Maharashtra,Sangli,Sangli,2012-04-27,3175.0,21.8
130274,130275,Soyabean,Maharashtra,Sangli,Sangli,2012-04-05,3400.0,12.5
130275,130276,Soyabean,Maharashtra,Sangli,Sangli,2012-05-05,3550.0,10.6
130276,130277,Soyabean,Maharashtra,Sangli,Sangli,2012-08-05,3300.0,6.0
130277,130278,Soyabean,Maharashtra,Sangli,Sangli,2012-09-05,3250.0,3.5
130278,130279,Soyabean,Maharashtra,Sangli,Sangli,2012-10-05,3450.0,1.5
