,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
92863,92864,Safflower,Maharashtra,Vashim,Washim,2012-04-13,2800.0,0.7
92864,92865,Safflower,Maharashtra,Vashim,Washim,2012-04-10,3028.0,0.1
92865,92866,Safflower,Maharashtra,Vashim,Washim,2012-10-12,3150.0,0.1
130428,130429,Soyabean,Maharashtra,Vashim,Karanja,2012-02-27,2395.0,207.0
130429,130430,Soyabean,Maharashtra,Vashim,Karanja,2012-02-28,2400.0,177.0
130430,130431,Soyabean,Maharashtra,Vashim,Karanja,2012-02-29,2410.0,137.0
130431,130432,Soyabean,Maharashtra,Vashim,Karanja,2012-06-18,3355.0,31.0
130432,130433,Soyabean,Maharashtra,Vashim,Karanja,2012-06-19,3430.0,8.5
130433,130434,Soyabean,Maharashtra,Vashim,Karanja,2012-06-20,3490.0,12.0
130434,130435,Soyabean,Maharashtra,Vashim,Karanja,2012-06-21,3540.0,12.0
130435,130436,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-02-01,2375.0,350.0
130436,130437,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-04-01,2400.0,300.0
130437,130438,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-05-01,2380.0,350.0
130438,130439,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-12-01,2380.0,180.0
130439,130440,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-01-13,2350.0,200.0
130440,130441,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-01-14,2375.0,150.0
130441,130442,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-01-16,2360.0,150.0
130442,130443,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-01-18,2350.0,120.0
130443,130444,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-01-19,2340.0,100.0
130444,130445,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-01-27,2375.0,200.0
130445,130446,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-01-28,2395.0,150.0
130446,130447,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-04-02,2375.0,170.0
130447,130448,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-06-02,2350.0,200.0
130448,130449,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-08-02,2350.0,200.0
130449,130450,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-09-02,2350.0,200.0
130450,130451,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-02-15,2350.0,130.0
130451,130452,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-02-16,2375.0,170.0
130452,130453,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-02-17,2355.0,150.0
130453,130454,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-01-03,2400.0,200.0
130454,130455,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-02-03,2450.0,150.0
130455,130456,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-03-03,2475.0,200.0
130456,130457,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-05-03,2500.0,150.0
130457,130458,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-12-03,2600.0,150.0
130458,130459,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-03-14,2640.0,200.0
130459,130460,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-03-15,2600.0,170.0
130460,130461,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-03-16,2650.0,200.0
130461,130462,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-03-17,2650.0,150.0
130462,130463,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-03-22,2725.0,100.0
130463,130464,Soyabean,Maharashtra,Vashim,Malegaon(Vashim),2012-03-24,2725.0,100.0
