,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
132901,132902,Soyabean,Manipur,Imphal West,Imphal,2012-03-14,5500.0,0.6
132902,132903,Soyabean,Manipur,Imphal West,Imphal,2012-03-15,5500.0,0.6
195093,195094,Mustard,Manipur,Imphal West,Imphal,2013-04-29,3500.0,0.3
195094,195095,Mustard,Manipur,Imphal West,Imphal,2013-04-30,3500.0,0.4
195095,195096,Mustard,Manipur,Imphal West,Imphal,2013-02-05,3500.0,0.3
195096,195097,Mustard,Manipur,Imphal West,Imphal,2013-03-05,3500.0,0.4
195097,195098,Mustard,Manipur,Imphal West,Imphal,2013-04-05,3500.0,0.4
195098,195099,Mustard,Manipur,Imphal West,Imphal,2013-06-05,3500.0,0.3
195099,195100,Mustard,Manipur,Imphal West,Imphal,2013-07-05,3500.0,0.2
195100,195101,Mustard,Manipur,Imphal West,Imphal,2013-08-05,3500.0,0.3
195101,195102,Mustard,Manipur,Imphal West,Imphal,2013-10-05,3500.0,0.3
195102,195103,Mustard,Manipur,Imphal West,Imphal,2013-05-15,3600.0,0.5
195103,195104,Mustard,Manipur,Imphal West,Imphal,2013-05-16,3600.0,0.5
195104,195105,Mustard,Manipur,Imphal West,Imphal,2013-05-17,3600.0,0.5
195105,195106,Mustard,Manipur,Imphal West,Imphal,2013-05-18,3600.0,1.0
195106,195107,Mustard,Manipur,Imphal West,Imphal,2013-05-20,3600.0,0.8
195107,195108,Mustard,Manipur,Imphal West,Imphal,2013-05-21,3600.0,0.5
195108,195109,Mustard,Manipur,Imphal West,Imphal,2013-05-22,3600.0,0.7
195109,195110,Mustard,Manipur,Imphal West,Imphal,2013-05-23,3600.0,0.4
195110,195111,Mustard,Manipur,Imphal West,Imphal,2013-05-24,3600.0,0.4
195111,195112,Mustard,Manipur,Imphal West,Imphal,2013-05-25,3800.0,0.3
195112,195113,Mustard,Manipur,Imphal West,Imphal,2013-05-27,3800.0,0.4
195113,195114,Mustard,Manipur,Imphal West,Imphal,2013-05-28,3800.0,0.7
195114,195115,Mustard,Manipur,Imphal West,Imphal,2013-05-29,3800.0,0.5
195115,195116,Mustard,Manipur,Imphal West,Imphal,2013-05-30,3800.0,0.5
195116,195117,Mustard,Manipur,Imphal West,Imphal,2013-05-31,3800.0,0.3
195117,195118,Mustard,Manipur,Imphal West,Imphal,2013-01-06,3800.0,0.2
195118,195119,Mustard,Manipur,Imphal West,Imphal,2013-03-06,3800.0,0.4
195119,195120,Mustard,Manipur,Imphal West,Imphal,2013-04-06,3800.0,0.4
195120,195121,Mustard,Manipur,Imphal West,Imphal,2013-05-06,3800.0,0.5
195121,195122,Mustard,Manipur,Imphal West,Imphal,2013-06-06,3800.0,0.4
195122,195123,Mustard,Manipur,Imphal West,Imphal,2013-07-06,3800.0,0.3
195123,195124,Mustard,Manipur,Imphal West,Imphal,2013-10-06,3800.0,0.2
195124,195125,Mustard,Manipur,Imphal West,Imphal,2013-11-06,3800.0,0.8
195125,195126,Mustard,Manipur,Imphal West,Imphal,2013-12-06,3800.0,0.4
195126,195127,Mustard,Manipur,Imphal West,Imphal,2013-06-13,3800.0,0.6
195127,195128,Mustard,Manipur,Imphal West,Imphal,2013-06-14,3800.0,0.4
195128,195129,Mustard,Manipur,Imphal West,Imphal,2013-06-15,3800.0,0.3
195129,195130,Mustard,Manipur,Imphal West,Imphal,2013-06-17,3800.0,0.2
285529,285530,Soyabean,Manipur,Imphal West,Imphal,2013-07-03,6000.0,0.6
285530,285531,Soyabean,Manipur,Imphal West,Imphal,2013-08-03,6000.0,0.6
285531,285532,Soyabean,Manipur,Imphal West,Imphal,2013-11-03,6000.0,0.6
285532,285533,Soyabean,Manipur,Imphal West,Imphal,2013-12-03,6000.0,0.6
285533,285534,Soyabean,Manipur,Imphal West,Imphal,2013-03-14,6000.0,0.6
285534,285535,Soyabean,Manipur,Imphal West,Imphal,2013-03-15,0.0,0.6
285535,285536,Soyabean,Manipur,Imphal West,Imphal,2013-03-16,6000.0,0.5
285536,285537,Soyabean,Manipur,Imphal West,Imphal,2013-03-18,6000.0,0.6
285537,285538,Soyabean,Manipur,Imphal West,Imphal,2013-03-19,6000.0,0.5
285538,285539,Soyabean,Manipur,Imphal West,Imphal,2013-03-20,6500.0,0.6
285539,285540,Soyabean,Manipur,Imphal West,Imphal,2013-03-21,6000.0,0.5
285540,285541,Soyabean,Manipur,Imphal West,Imphal,2013-03-22,6000.0,0.6
285541,285542,Soyabean,Manipur,Imphal West,Imphal,2013-03-23,6000.0,0.5
285542,285543,Soyabean,Manipur,Imphal West,Imphal,2013-03-25,6000.0,0.6
285543,285544,Soyabean,Manipur,Imphal West,Imphal,2013-03-26,6000.0,0.5
285544,285545,Soyabean,Manipur,Imphal West,Imphal,2013-07-31,6000.0,1.6
285545,285546,Soyabean,Manipur,Imphal West,Imphal,2013-01-08,6000.0,2.4
285546,285547,Soyabean,Manipur,Imphal West,Imphal,2013-02-08,6000.0,2.6
285547,285548,Soyabean,Manipur,Imphal West,Imphal,2013-03-08,6000.0,3.1
285548,285549,Soyabean,Manipur,Imphal West,Imphal,2013-05-08,6000.0,2.2
285549,285550,Soyabean,Manipur,Imphal West,Imphal,2013-06-08,6000.0,2.0
285550,285551,Soyabean,Manipur,Imphal West,Imphal,2013-07-08,6000.0,2.6
285551,285552,Soyabean,Manipur,Imphal West,Imphal,2013-08-08,6000.0,3.6
285552,285553,Soyabean,Manipur,Imphal West,Imphal,2013-12-08,6000.0,3.4
285553,285554,Soyabean,Manipur,Imphal West,Imphal,2013-08-14,6000.0,2.8
285554,285555,Soyabean,Manipur,Imphal West,Imphal,2013-08-16,6000.0,2.4
285555,285556,Soyabean,Manipur,Imphal West,Imphal,2013-08-17,6000.0,3.3
285556,285557,Soyabean,Manipur,Imphal West,Imphal,2013-08-19,6000.0,3.6
285557,285558,Soyabean,Manipur,Imphal West,Imphal,2013-08-20,6000.0,4.0
285558,285559,Soyabean,Manipur,Imphal West,Imphal,2013-08-21,6000.0,4.0
285559,285560,Soyabean,Manipur,Imphal West,Imphal,2013-08-22,6000.0,3.4
285560,285561,Soyabean,Manipur,Imphal West,Imphal,2013-08-23,6000.0,2.9
285561,285562,Soyabean,Manipur,Imphal West,Imphal,2013-08-26,6000.0,3.9
285562,285563,Soyabean,Manipur,Imphal West,Imphal,2013-08-27,6000.0,3.0
285563,285564,Soyabean,Manipur,Imphal West,Imphal,2013-08-29,6000.0,4.2
285564,285565,Soyabean,Manipur,Imphal West,Imphal,2013-08-30,6200.0,3.8
285565,285566,Soyabean,Manipur,Imphal West,Imphal,2013-08-31,6200.0,3.9
285566,285567,Soyabean,Manipur,Imphal West,Imphal,2013-02-09,6200.0,3.9
285567,285568,Soyabean,Manipur,Imphal West,Imphal,2013-03-09,6200.0,3.8
285568,285569,Soyabean,Manipur,Imphal West,Imphal,2013-04-09,6200.0,4.3
285569,285570,Soyabean,Manipur,Imphal West,Imphal,2013-05-09,6200.0,4.3
285570,285571,Soyabean,Manipur,Imphal West,Imphal,2013-06-09,6200.0,4.4
285571,285572,Soyabean,Manipur,Imphal West,Imphal,2013-07-09,6200.0,4.8
285572,285573,Soyabean,Manipur,Imphal West,Imphal,2013-09-09,6200.0,3.2
285573,285574,Soyabean,Manipur,Imphal West,Imphal,2013-10-09,6200.0,5.0
285574,285575,Soyabean,Manipur,Imphal West,Imphal,2013-11-09,6200.0,4.8
285575,285576,Soyabean,Manipur,Imphal West,Imphal,2013-12-09,6200.0,5.3
285576,285577,Soyabean,Manipur,Imphal West,Imphal,2013-09-13,6200.0,5.0
285577,285578,Soyabean,Manipur,Imphal West,Imphal,2013-09-16,6200.0,5.1
285578,285579,Soyabean,Manipur,Imphal West,Imphal,2013-09-17,6200.0,4.9
285579,285580,Soyabean,Manipur,Imphal West,Imphal,2013-09-18,6200.0,5.1
285580,285581,Soyabean,Manipur,Imphal West,Imphal,2013-09-19,6200.0,4.7
285581,285582,Soyabean,Manipur,Imphal West,Imphal,2013-09-20,6200.0,4.9
285582,285583,Soyabean,Manipur,Imphal West,Imphal,2013-09-21,6200.0,4.6
285583,285584,Soyabean,Manipur,Imphal West,Imphal,2013-09-23,6200.0,4.7
285584,285585,Soyabean,Manipur,Imphal West,Imphal,2013-09-24,6200.0,5.0
285585,285586,Soyabean,Manipur,Imphal West,Imphal,2013-09-25,6200.0,4.5
285586,285587,Soyabean,Manipur,Imphal West,Imphal,2013-09-26,6200.0,4.7
285587,285588,Soyabean,Manipur,Imphal West,Imphal,2013-09-27,6200.0,4.5
285588,285589,Soyabean,Manipur,Imphal West,Imphal,2013-09-28,6200.0,4.3
285589,285590,Soyabean,Manipur,Imphal West,Imphal,2013-09-10,6200.0,4.1
285590,285591,Soyabean,Manipur,Imphal West,Imphal,2013-10-10,6200.0,3.6
285591,285592,Soyabean,Manipur,Imphal West,Imphal,2013-11-10,6200.0,3.7
285592,285593,Soyabean,Manipur,Imphal West,Imphal,2013-10-17,6200.0,1.6
285593,285594,Soyabean,Manipur,Imphal West,Imphal,2013-10-18,6200.0,1.1
285594,285595,Soyabean,Manipur,Imphal West,Imphal,2013-10-21,6200.0,1.0
285595,285596,Soyabean,Manipur,Imphal West,Imphal,2013-10-22,6200.0,1.1
285596,285597,Soyabean,Manipur,Imphal West,Imphal,2013-10-23,6200.0,1.0
285597,285598,Soyabean,Manipur,Imphal West,Imphal,2013-10-24,6200.0,1.1
285598,285599,Soyabean,Manipur,Imphal West,Imphal,2013-10-25,6500.0,1.3
285599,285600,Soyabean,Manipur,Imphal West,Imphal,2013-10-26,6500.0,1.0
285600,285601,Soyabean,Manipur,Imphal West,Imphal,2013-10-28,6500.0,0.9
285601,285602,Soyabean,Manipur,Imphal West,Imphal,2013-10-29,6500.0,1.3
285602,285603,Soyabean,Manipur,Imphal West,Imphal,2013-10-30,6500.0,1.1
285603,285604,Soyabean,Manipur,Imphal West,Imphal,2013-10-31,6500.0,0.9
285604,285605,Soyabean,Manipur,Imphal West,Imphal,2013-02-11,6500.0,1.0
285605,285606,Soyabean,Manipur,Imphal West,Imphal,2013-04-11,6500.0,1.4
285606,285607,Soyabean,Manipur,Imphal West,Imphal,2013-06-11,6500.0,1.0
285607,285608,Soyabean,Manipur,Imphal West,Imphal,2013-07-11,6500.0,0.9
285608,285609,Soyabean,Manipur,Imphal West,Imphal,2013-08-11,6500.0,1.0
285609,285610,Soyabean,Manipur,Imphal West,Imphal,2013-11-11,6500.0,1.2
285610,285611,Soyabean,Manipur,Imphal West,Imphal,2013-12-11,6500.0,1.2
285611,285612,Soyabean,Manipur,Imphal West,Imphal,2013-11-13,6500.0,1.2
285612,285613,Soyabean,Manipur,Imphal West,Imphal,2013-11-14,6500.0,1.0
285613,285614,Soyabean,Manipur,Imphal West,Imphal,2013-11-15,6500.0,1.2
285614,285615,Soyabean,Manipur,Imphal West,Imphal,2013-11-18,5500.0,1.2
285615,285616,Soyabean,Manipur,Imphal West,Imphal,2013-11-19,5500.0,1.1
285616,285617,Soyabean,Manipur,Imphal West,Imphal,2013-11-20,5500.0,1.0
285617,285618,Soyabean,Manipur,Imphal West,Imphal,2013-11-21,5500.0,1.2
285618,285619,Soyabean,Manipur,Imphal West,Imphal,2013-11-23,5500.0,1.0
285619,285620,Soyabean,Manipur,Imphal West,Imphal,2013-11-25,5500.0,1.1
285620,285621,Soyabean,Manipur,Imphal West,Imphal,2013-11-26,6500.0,1.2
285621,285622,Soyabean,Manipur,Imphal West,Imphal,2013-11-27,5500.0,1.1
285622,285623,Soyabean,Manipur,Imphal West,Imphal,2013-11-28,5500.0,1.2
285623,285624,Soyabean,Manipur,Imphal West,Imphal,2013-11-29,5500.0,1.1
285624,285625,Soyabean,Manipur,Imphal West,Imphal,2013-11-30,6200.0,1.0
285625,285626,Soyabean,Manipur,Imphal West,Imphal,2013-02-12,6200.0,1.0
285626,285627,Soyabean,Manipur,Imphal West,Imphal,2013-03-12,6200.0,1.1
285627,285628,Soyabean,Manipur,Imphal West,Imphal,2013-04-12,6200.0,1.3
285628,285629,Soyabean,Manipur,Imphal West,Imphal,2013-05-12,6200.0,1.5
285629,285630,Soyabean,Manipur,Imphal West,Imphal,2013-06-12,6500.0,1.4
285630,285631,Soyabean,Manipur,Imphal West,Imphal,2013-07-12,6500.0,1.3
285631,285632,Soyabean,Manipur,Imphal West,Imphal,2013-09-12,6500.0,1.3
285632,285633,Soyabean,Manipur,Imphal West,Imphal,2013-10-12,6500.0,1.8
285633,285634,Soyabean,Manipur,Imphal West,Imphal,2013-11-12,6500.0,1.6
285634,285635,Soyabean,Manipur,Imphal West,Imphal,2013-12-13,6500.0,1.5
285635,285636,Soyabean,Manipur,Imphal West,Imphal,2013-12-16,6500.0,1.4
285636,285637,Soyabean,Manipur,Imphal West,Imphal,2013-12-17,6500.0,1.1
285637,285638,Soyabean,Manipur,Imphal West,Imphal,2013-12-18,6500.0,1.3
285638,285639,Soyabean,Manipur,Imphal West,Imphal,2013-12-19,6500.0,1.3
285639,285640,Soyabean,Manipur,Imphal West,Imphal,2013-12-20,6500.0,1.1
285640,285641,Soyabean,Manipur,Imphal West,Imphal,2013-12-21,6500.0,1.2
285641,285642,Soyabean,Manipur,Imphal West,Imphal,2013-12-23,6500.0,1.1
285642,285643,Soyabean,Manipur,Imphal West,Imphal,2013-12-24,6500.0,1.0
285643,285644,Soyabean,Manipur,Imphal West,Imphal,2013-12-26,6500.0,1.0
285644,285645,Soyabean,Manipur,Imphal West,Imphal,2013-12-27,6500.0,1.1
285645,285646,Soyabean,Manipur,Imphal West,Imphal,2013-12-28,6500.0,1.3
285646,285647,Soyabean,Manipur,Imphal West,Imphal,2013-12-30,6500.0,1.4
285647,285648,Soyabean,Manipur,Imphal West,Imphal,2013-12-31,6500.0,1.5
350011,350012,Mustard,Manipur,Imphal West,Imphal,2014-10-03,3400.0,0.05
350012,350013,Mustard,Manipur,Imphal West,Imphal,2014-11-03,3400.0,0.05
350013,350014,Mustard,Manipur,Imphal West,Imphal,2014-12-03,3400.0,0.05
350014,350015,Mustard,Manipur,Imphal West,Imphal,2014-03-13,3400.0,0.06
350015,350016,Mustard,Manipur,Imphal West,Imphal,2014-03-14,3400.0,0.06
350016,350017,Mustard,Manipur,Imphal West,Imphal,2014-03-15,3400.0,0.05
350017,350018,Mustard,Manipur,Imphal West,Imphal,2014-03-21,3400.0,0.06
350018,350019,Mustard,Manipur,Imphal West,Imphal,2014-03-22,3400.0,0.06
