,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
506922,506923,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2015-11-06,5150.0,0.05
506923,506924,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2015-06-26,4650.0,0.04
506924,506925,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2015-07-27,2350.0,0.08
506925,506926,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2015-06-08,2400.0,0.07
506926,506927,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2015-12-08,2650.0,0.08
506927,506928,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2015-07-10,4200.0,0.3
506928,506929,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2015-10-31,4250.0,0.4
506929,506930,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2015-11-24,3650.0,0.8
506930,506931,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2015-03-12,2650.0,0.9
506931,506932,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2015-10-12,2650.0,0.8
671063,671064,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-11-01,2650.0,0.6
671064,671065,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-01-19,2700.0,0.65
671065,671066,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-01-28,2650.0,0.6
671066,671067,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-04-02,2350.0,0.5
671067,671068,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-07-03,2150.0,0.45
671068,671069,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-03-15,2250.0,0.4
671069,671070,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-03-23,2150.0,0.25
671070,671071,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-03-31,2150.0,0.26
671071,671072,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-08-04,2350.0,0.15
671072,671073,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-02-11,4650.0,0.25
671073,671074,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-10-11,4650.0,0.46
671074,671075,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-11-19,4650.0,0.49
671075,671076,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-11-26,4650.0,0.5
671076,671077,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2016-12-21,4650.0,0.5
824349,824350,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2017-01-13,4650.0,0.5
824350,824351,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2017-02-14,4250.0,0.45
824351,824352,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2017-02-22,3250.0,0.48
824352,824353,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2017-02-03,3150.0,0.46
824353,824354,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2017-03-04,3250.0,0.44
824354,824355,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2017-11-04,3250.0,0.4
824355,824356,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2017-05-05,3250.0,0.3
824356,824357,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2017-05-29,4250.0,0.2
824357,824358,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2017-06-06,4150.0,0.15
824358,824359,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2017-06-14,4250.0,0.14
824359,824360,Mustard,Meghalaya,South West Khasi Hills,Mawkyrwat,2017-06-22,4150.0,0.01
