,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
20308,20309,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-06-26,3150.0,92.0
20309,20310,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-02-07,0.0,4.0
20310,20311,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-09-15,0.0,5.0
20311,20312,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-10-14,0.0,3.0
20312,20313,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-10-16,4481.0,12.4
20313,20314,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-10-17,4200.0,1.2
20314,20315,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-10-18,3900.0,1.0
20315,20316,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-10-20,4541.0,0.4
20316,20317,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-10-21,4381.0,1.0
20317,20318,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-10-22,3800.0,2.0
20318,20319,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-10-28,4751.0,28.0
20319,20320,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-10-30,4500.0,25.0
20320,20321,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-10-31,4750.0,12.0
20321,20322,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-01-11,4600.0,15.0
20322,20323,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-03-11,4900.0,7.0
20323,20324,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-04-11,4750.0,27.0
20324,20325,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-05-11,4580.0,33.0
20325,20326,Groundnut,Nagaland,Dimapur,4th Mile Dimapur,2012-06-11,4645.0,5.0
132904,132905,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-09-27,3000.0,7.0
132905,132906,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-09-29,2760.0,20.0
132906,132907,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-09-30,2800.0,4.0
132907,132908,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-01-10,2800.0,64.0
132908,132909,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-03-10,2600.0,140.0
132909,132910,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-04-10,2701.0,217.0
132910,132911,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-06-10,2800.0,560.0
132911,132912,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-07-10,2900.0,270.0
132912,132913,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-08-10,2875.0,450.0
132913,132914,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-09-10,2907.0,190.0
132914,132915,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-10-10,3000.0,399.0
132915,132916,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-11-10,2905.0,387.0
132916,132917,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-10-14,2901.0,513.0
132917,132918,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-10-15,2900.0,98.0
132918,132919,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-10-16,3000.0,171.0
132919,132920,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-10-17,3000.0,216.0
132920,132921,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-10-18,3000.0,153.0
132921,132922,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-10-20,3100.0,164.0
132922,132923,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-10-21,3100.0,181.0
132923,132924,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-10-22,3125.0,242.0
132924,132925,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-10-23,3095.0,19.0
132925,132926,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-10-28,3110.0,126.0
132926,132927,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-10-30,3150.0,311.0
132927,132928,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-10-31,3100.0,438.0
132928,132929,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-01-11,3150.0,545.0
132929,132930,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-03-11,3100.0,177.0
132930,132931,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-04-11,3075.0,96.0
132931,132932,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-05-11,3105.0,69.0
132932,132933,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2012-06-11,3142.0,179.0
285659,285660,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2013-03-20,3357.0,7.3
285660,285661,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2013-03-21,3378.0,14.3
285661,285662,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2013-03-22,3425.0,9.3
285662,285663,Soyabean,Nagaland,Dimapur,4th Mile Dimapur,2013-03-23,3468.0,44.7
