,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
285668,285669,Soyabean,Nagaland,Zunheboto,Zunheboto,2013-08-19,3750.0,5.0
285669,285670,Soyabean,Nagaland,Zunheboto,Zunheboto,2013-08-26,3750.0,5.0
285670,285671,Soyabean,Nagaland,Zunheboto,Zunheboto,2013-03-09,3500.0,4.0
285671,285672,Soyabean,Nagaland,Zunheboto,Zunheboto,2013-09-09,3500.0,4.0
285672,285673,Soyabean,Nagaland,Zunheboto,Zunheboto,2013-09-17,3500.0,4.0
285673,285674,Soyabean,Nagaland,Zunheboto,Zunheboto,2013-09-24,3500.0,4.0
285674,285675,Soyabean,Nagaland,Zunheboto,Zunheboto,2013-01-10,3500.0,3.0
285675,285676,Soyabean,Nagaland,Zunheboto,Zunheboto,2013-10-14,3500.0,5.0
285676,285677,Soyabean,Nagaland,Zunheboto,Zunheboto,2013-10-28,3500.0,5.0
285677,285678,Soyabean,Nagaland,Zunheboto,Zunheboto,2013-06-11,3000.0,5.0
285678,285679,Soyabean,Nagaland,Zunheboto,Zunheboto,2013-11-16,3500.0,5.0
285679,285680,Soyabean,Nagaland,Zunheboto,Zunheboto,2013-11-27,2750.0,4.0
285680,285681,Soyabean,Nagaland,Zunheboto,Zunheboto,2013-12-18,2750.0,4.0
439206,439207,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-01-16,2250.0,2.0
439207,439208,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-01-29,1100.0,4.0
439208,439209,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-02-04,2250.0,2.0
439209,439210,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-04-23,2250.0,2.0
439210,439211,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-04-30,2750.0,3.0
439211,439212,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-07-05,2750.0,4.0
439212,439213,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-05-14,3250.0,6.0
439213,439214,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-05-21,2750.0,4.0
439214,439215,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-05-27,1750.0,1.0
439215,439216,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-07-30,2750.0,2.0
439216,439217,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-08-13,2750.0,2.0
439217,439218,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-10-09,3750.0,2.0
439218,439219,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-01-10,3250.0,4.0
439219,439220,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-10-15,7250.0,4.0
439220,439221,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-10-22,7250.0,4.0
439221,439222,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-11-19,6250.0,6.0
439222,439223,Soyabean,Nagaland,Zunheboto,Zunheboto,2014-11-26,6750.0,7.0
606097,606098,Soyabean,Nagaland,Zunheboto,Zunheboto,2015-05-13,4750.0,3.0
