,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
48391,48392,Mustard,Orissa,Kandhamal,Tikabali,2012-01-01,2300.0,0.6
48392,48393,Mustard,Orissa,Kandhamal,Tikabali,2012-08-01,2800.0,1.0
48393,48394,Mustard,Orissa,Kandhamal,Tikabali,2012-09-01,2800.0,1.9
48394,48395,Mustard,Orissa,Kandhamal,Tikabali,2012-11-01,2600.0,1.5
48395,48396,Mustard,Orissa,Kandhamal,Tikabali,2012-01-13,2900.0,1.3
48396,48397,Mustard,Orissa,Kandhamal,Tikabali,2012-01-20,1600.0,2.4
48397,48398,Mustard,Orissa,Kandhamal,Tikabali,2012-01-23,2900.0,1.8
48398,48399,Mustard,Orissa,Kandhamal,Tikabali,2012-01-30,2900.0,1.2
48399,48400,Mustard,Orissa,Kandhamal,Tikabali,2012-06-02,2900.0,2.1
48400,48401,Mustard,Orissa,Kandhamal,Tikabali,2012-07-02,2900.0,2.0
48401,48402,Mustard,Orissa,Kandhamal,Tikabali,2012-08-02,2900.0,2.7
48402,48403,Mustard,Orissa,Kandhamal,Tikabali,2012-02-13,2900.0,1.2
195651,195652,Mustard,Orissa,Kandhamal,Kandhamal,2013-06-18,3550.0,4.0
195652,195653,Mustard,Orissa,Kandhamal,Kandhamal,2013-06-19,3550.0,2.0
195653,195654,Mustard,Orissa,Kandhamal,Kandhamal,2013-06-20,3450.0,2.5
195654,195655,Mustard,Orissa,Kandhamal,Kandhamal,2013-06-21,3550.0,3.0
195655,195656,Mustard,Orissa,Kandhamal,Kandhamal,2013-06-22,3550.0,2.2
195656,195657,Mustard,Orissa,Kandhamal,Kandhamal,2013-06-23,3550.0,2.0
195657,195658,Mustard,Orissa,Kandhamal,Kandhamal,2013-06-24,3550.0,2.0
195658,195659,Mustard,Orissa,Kandhamal,Kandhamal,2013-06-25,3550.0,2.3
195659,195660,Mustard,Orissa,Kandhamal,Tikabali,2013-05-03,3400.0,12.0
195660,195661,Mustard,Orissa,Kandhamal,Tikabali,2013-06-03,3300.0,1.5
195661,195662,Mustard,Orissa,Kandhamal,Tikabali,2013-08-04,3100.0,3.2
317944,317945,Groundnut,Orissa,Kandhamal,Tikabali,2014-08-03,3200.0,1.0
350613,350614,Mustard,Orissa,Kandhamal,Tikabali,2014-03-25,3600.0,5.0
