,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
20668,20669,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-03-20,1449.0,0.23
20669,20670,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-03-26,1572.0,1.14
20670,20671,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-05-04,1572.0,0.89
20671,20672,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-10-04,3273.0,0.04
20672,20673,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-11-04,3500.0,1.72
20673,20674,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-12-04,3950.0,2.25
20674,20675,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-04-16,3950.0,0.41
20675,20676,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-04-17,3900.0,2.52
20676,20677,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-04-18,4023.0,0.56
20677,20678,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-04-19,3100.0,2.65
20678,20679,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-04-20,3550.0,0.09
20679,20680,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-04-25,3885.0,0.38
20680,20681,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-04-26,3773.0,0.13
20681,20682,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-04-30,3600.0,0.32
20682,20683,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-02-05,3628.0,0.05
20683,20684,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-08-05,3888.0,0.05
20684,20685,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-05-16,3873.0,0.14
20685,20686,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-04-06,3783.0,0.05
20686,20687,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-07-27,3573.0,0.05
20687,20688,Groundnut,Pondicherry,Pondicherry,Madagadipet,2012-01-10,3450.0,0.2
20688,20689,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-03-01,4125.0,0.32
20689,20690,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-05-01,4474.0,0.08
20690,20691,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-09-01,6178.0,0.08
20691,20692,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-12-01,4500.0,0.16
20692,20693,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-01-13,6625.0,0.08
20693,20694,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-01-24,3788.0,0.08
20694,20695,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-01-25,3800.0,0.16
20695,20696,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-01-27,3250.0,0.16
20696,20697,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-01-30,2661.0,0.08
20697,20698,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-01-02,4110.0,0.08
20698,20699,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-06-02,3879.0,0.08
20699,20700,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-07-02,2638.0,0.08
20700,20701,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-08-02,4456.0,0.1
20701,20702,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-02-13,5430.0,0.08
20702,20703,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-02-17,5180.0,0.08
20703,20704,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-02-23,3132.0,0.16
20704,20705,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-02-27,4365.0,0.16
20705,20706,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-01-03,5710.0,0.96
20706,20707,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-02-03,4148.0,1.6
20707,20708,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-05-03,6333.0,0.08
20708,20709,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-03-19,3700.0,34.0
20709,20710,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-03-20,3500.0,12.0
20710,20711,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-03-21,3900.0,40.0
20711,20712,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-03-22,3000.0,60.0
20712,20713,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-03-23,3056.0,0.1
20713,20714,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-02-04,3500.0,80.0
20714,20715,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-03-04,3500.0,48.0
20715,20716,Groundnut,Pondicherry,Pondicherry,Thattanchavady,2012-04-04,4000.0,20.0
