,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
48412,48413,Mustard,Punjab,Fazilka,Abohar,2012-03-30,3410.0,4.5
48413,48414,Mustard,Punjab,Fazilka,Abohar,2012-03-31,3400.0,14.5
48414,48415,Mustard,Punjab,Fazilka,Abohar,2012-02-04,3450.0,14.0
48415,48416,Mustard,Punjab,Fazilka,Abohar,2012-04-04,3450.0,7.0
48416,48417,Mustard,Punjab,Fazilka,Abohar,2012-05-04,3480.0,16.0
48417,48418,Mustard,Punjab,Fazilka,Abohar,2012-06-04,3425.0,22.5
48418,48419,Mustard,Punjab,Fazilka,Abohar,2012-07-04,4020.0,11.0
48419,48420,Mustard,Punjab,Fazilka,Abohar,2012-09-04,3450.0,49.0
48420,48421,Mustard,Punjab,Fazilka,Abohar,2012-10-04,3480.0,43.5
48421,48422,Mustard,Punjab,Fazilka,Abohar,2012-11-04,3500.0,57.0
48422,48423,Mustard,Punjab,Fazilka,Abohar,2012-12-04,3510.0,70.0
48423,48424,Mustard,Punjab,Fazilka,Abohar,2012-04-13,3475.0,51.9
48424,48425,Mustard,Punjab,Fazilka,Abohar,2012-04-14,3550.0,18.5
48425,48426,Mustard,Punjab,Fazilka,Abohar,2012-04-17,3425.0,75.0
48426,48427,Mustard,Punjab,Fazilka,Abohar,2012-04-18,3400.0,70.0
48427,48428,Mustard,Punjab,Fazilka,Abohar,2012-04-23,3450.0,102.0
48428,48429,Mustard,Punjab,Fazilka,Abohar,2012-04-24,3425.0,108.5
48429,48430,Mustard,Punjab,Fazilka,Abohar,2012-04-25,3325.0,32.5
48430,48431,Mustard,Punjab,Fazilka,Abohar,2012-04-26,3240.0,45.0
48431,48432,Mustard,Punjab,Fazilka,Abohar,2012-04-28,3330.0,12.5
48432,48433,Mustard,Punjab,Fazilka,Abohar,2012-07-07,0.0,1.0
48433,48434,Mustard,Punjab,Fazilka,Abohar,2012-09-07,3640.0,9.0
48434,48435,Mustard,Punjab,Fazilka,Abohar,2012-10-07,3755.0,11.5
48435,48436,Mustard,Punjab,Fazilka,Abohar,2012-11-07,3600.0,5.0
48436,48437,Mustard,Punjab,Fazilka,Abohar,2012-12-07,3650.0,7.0
48437,48438,Mustard,Punjab,Fazilka,Abohar,2012-07-13,3680.0,14.5
48438,48439,Mustard,Punjab,Fazilka,Abohar,2012-07-14,0.0,3.0
48439,48440,Mustard,Punjab,Fazilka,Abohar,2012-07-17,3700.0,6.0
48440,48441,Mustard,Punjab,Fazilka,Abohar,2012-07-18,3655.0,3.5
48441,48442,Mustard,Punjab,Fazilka,Abohar,2012-07-19,3675.0,4.0
48442,48443,Mustard,Punjab,Fazilka,Abohar,2012-07-24,3875.0,3.0
48443,48444,Mustard,Punjab,Fazilka,Abohar,2012-07-25,0.0,1.5
48444,48445,Mustard,Punjab,Fazilka,Abohar,2012-07-26,3930.0,2.0
48445,48446,Mustard,Punjab,Fazilka,Abohar,2012-07-27,0.0,1.5
48446,48447,Mustard,Punjab,Fazilka,Abohar,2012-07-28,3600.0,4.5
48447,48448,Mustard,Punjab,Fazilka,Abohar,2012-07-31,0.0,3.0
48448,48449,Mustard,Punjab,Fazilka,Abohar,2012-01-08,0.0,1.3
48449,48450,Mustard,Punjab,Fazilka,Abohar,2012-03-08,0.0,1.0
48450,48451,Mustard,Punjab,Fazilka,Abohar,2012-04-08,4000.0,2.3
48451,48452,Mustard,Punjab,Fazilka,Abohar,2012-06-08,3850.0,3.0
48452,48453,Mustard,Punjab,Fazilka,Abohar,2012-07-08,4000.0,11.5
48453,48454,Mustard,Punjab,Fazilka,Abohar,2012-10-08,3800.0,8.7
48454,48455,Mustard,Punjab,Fazilka,Abohar,2012-11-08,3841.0,10.2
48455,48456,Mustard,Punjab,Fazilka,Abohar,2012-08-13,3885.0,37.4
48456,48457,Mustard,Punjab,Fazilka,Abohar,2012-08-14,3900.0,17.0
48457,48458,Mustard,Punjab,Fazilka,Abohar,2012-08-15,0.0,4.0
48458,48459,Mustard,Punjab,Fazilka,Abohar,2012-08-17,4025.0,11.0
48459,48460,Mustard,Punjab,Fazilka,Abohar,2012-08-18,3890.0,44.0
48460,48461,Mustard,Punjab,Fazilka,Abohar,2012-08-20,4005.0,27.0
48461,48462,Mustard,Punjab,Fazilka,Abohar,2012-08-21,3955.0,12.5
48462,48463,Mustard,Punjab,Fazilka,Abohar,2012-08-22,3855.0,9.5
48463,48464,Mustard,Punjab,Fazilka,Abohar,2012-08-23,3950.0,14.0
48464,48465,Mustard,Punjab,Fazilka,Abohar,2012-08-24,4000.0,12.5
48465,48466,Mustard,Punjab,Fazilka,Abohar,2012-08-25,3900.0,10.5
48466,48467,Mustard,Punjab,Fazilka,Abohar,2012-08-27,3965.0,11.5
48467,48468,Mustard,Punjab,Fazilka,Abohar,2012-01-09,3910.0,10.0
48468,48469,Mustard,Punjab,Fazilka,Abohar,2012-03-09,3800.0,9.0
48469,48470,Mustard,Punjab,Fazilka,Abohar,2012-05-09,3855.0,8.0
48470,48471,Mustard,Punjab,Fazilka,Abohar,2012-06-09,3785.0,12.0
