,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
144335,144336,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-01-06,3100.0,26.8
144336,144337,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-02-06,3000.0,27.6
144337,144338,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-03-06,3100.0,2.76
144338,144339,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-06-06,3100.0,72.5
144339,144340,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-07-06,3100.0,21.1
144340,144341,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-08-06,3000.0,279.4
144341,144342,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-09-06,3000.0,52.39
144342,144343,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-10-06,3100.0,37.66
144343,144344,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-11-06,3000.0,46.12
144344,144345,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-12-06,3100.0,40.37
144345,144346,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-06-13,3000.0,26.51
144346,144347,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-06-14,2900.0,15.58
144347,144348,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-06-15,3000.0,21.29
144348,144349,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-06-16,3000.0,8.12
144349,144350,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-06-17,3000.0,3.32
144350,144351,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-06-18,3100.0,3.8
144351,144352,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-06-19,3000.0,4.9
144352,144353,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2012-06-20,3000.0,2.0
296432,296433,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-03-06,3100.0,130.0
296433,296434,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-04-06,3300.0,57.0
296434,296435,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-05-06,3000.0,52.0
296435,296436,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-07-06,3000.0,40.0
296436,296437,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-08-06,3000.0,42.0
296437,296438,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-09-06,3300.0,69.0
296438,296439,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-11-06,3000.0,69.0
296439,296440,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-06-14,3200.0,23.6
296440,296441,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-06-18,3200.0,20.0
296441,296442,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-06-19,3250.0,16.0
296442,296443,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-06-20,3350.0,21.0
296443,296444,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-06-21,3300.0,35.0
296444,296445,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-06-22,3500.0,28.0
296445,296446,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-06-23,3500.0,37.0
296446,296447,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-06-24,3600.0,40.0
296447,296448,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-06-25,3600.0,24.0
296448,296449,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-06-26,3550.0,30.0
296449,296450,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-06-27,3500.0,66.0
296450,296451,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-06-28,3600.0,5.0
296451,296452,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-02-07,3400.0,38.0
296452,296453,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-04-07,3300.0,80.0
296453,296454,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2013-07-15,3300.0,61.0
449935,449936,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-09-06,2800.0,26.0
449936,449937,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-10-06,3100.0,24.2
449937,449938,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-11-06,2900.0,35.2
449938,449939,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-13,2900.0,27.5
449939,449940,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-14,2900.0,57.8
449940,449941,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-16,2900.0,105.7
449941,449942,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-17,2900.0,53.0
449942,449943,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-18,3100.0,35.0
449943,449944,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-19,2900.0,30.0
449944,449945,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-20,3000.0,33.0
449945,449946,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-21,2800.0,21.0
449946,449947,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-23,2900.0,30.0
449947,449948,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-24,2900.0,28.0
449948,449949,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-25,2850.0,25.6
449949,449950,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-26,2900.0,30.5
449950,449951,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-27,2900.0,15.5
449951,449952,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-28,2900.0,9.5
449952,449953,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-06-30,3050.0,17.8
449953,449954,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-01-07,2950.0,10.8
449954,449955,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-02-07,3000.0,10.0
449955,449956,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-04-07,2900.0,20.0
449956,449957,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-05-07,2700.0,8.4
449957,449958,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-07-07,2500.0,6.1
449958,449959,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-08-07,2800.0,5.0
449959,449960,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-09-07,2800.0,5.5
449960,449961,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-07-14,2800.0,18.9
449961,449962,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2014-07-19,2450.0,2.4
617564,617565,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-11-06,3000.0,61.0
617565,617566,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-12-06,3100.0,290.0
617566,617567,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-06-13,2900.0,46.0
617567,617568,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-06-15,2900.0,60.0
617568,617569,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-06-16,3000.0,61.0
617569,617570,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-06-17,3000.0,40.0
617570,617571,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-06-18,2900.0,25.0
617571,617572,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-06-19,3000.0,27.0
617572,617573,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-06-21,2800.0,54.0
617573,617574,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-06-22,3000.0,43.0
617574,617575,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-06-24,2800.0,51.0
617575,617576,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-06-27,3000.0,18.0
617576,617577,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-06-29,3000.0,42.0
617577,617578,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-06-30,3000.0,37.0
617578,617579,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-01-07,2800.0,23.0
617579,617580,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-02-07,3000.0,15.0
617580,617581,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-03-07,3000.0,45.0
617581,617582,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-04-07,2800.0,24.0
617582,617583,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-06-07,2800.0,29.0
617583,617584,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2015-09-07,3000.0,29.0
778415,778416,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2016-05-31,3100.0,65.0
778416,778417,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2016-01-06,3100.0,50.0
778417,778418,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2016-03-06,3100.0,59.0
778418,778419,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2016-04-06,3200.0,13.0
778419,778420,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2016-05-06,900.0,17.0
778420,778421,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2016-06-06,3000.0,33.0
778421,778422,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2016-07-06,3000.0,27.0
778422,778423,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2016-06-13,3100.0,18.0
778423,778424,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2016-06-14,3100.0,15.0
778424,778425,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2016-06-15,3200.0,4.0
778425,778426,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2016-06-16,3200.0,12.0
794947,794948,Groundnut,Punjab,Hoshiarpur,Hoshiarpur,2017-10-18,3200.0,1.4
794948,794949,Groundnut,Punjab,Hoshiarpur,Hoshiarpur,2017-10-24,3015.0,4.0
924659,924660,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2017-06-27,2675.0,197.0
924660,924661,Sunflower,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),2017-03-07,2500.0,30.0
