,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
144353,144354,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-01-06,2760.0,9.1
144354,144355,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-05-06,3000.0,45.5
144355,144356,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-06,2800.0,27.1
144356,144357,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-10-06,2850.0,156.7
144357,144358,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-11-06,2875.0,33.2
144358,144359,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-12-06,2850.0,35.2
144359,144360,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-13,2950.0,34.6
144360,144361,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-14,2900.0,30.3
144361,144362,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-15,3000.0,21.3
144362,144363,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-17,3050.0,53.7
144363,144364,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-18,2900.0,23.5
144364,144365,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-20,2850.0,18.7
144365,144366,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-21,2850.0,17.2
144366,144367,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-22,2900.0,35.3
144367,144368,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-25,2900.0,23.8
144368,144369,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-26,2700.0,2.0
144369,144370,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-27,2700.0,10.0
144370,144371,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-28,2600.0,8.3
144371,144372,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-01-07,2900.0,14.5
144372,144373,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-02-07,2950.0,13.3
144373,144374,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-03-07,2750.0,2.7
144374,144375,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-04-07,2950.0,12.4
144375,144376,Sunflower,Punjab,Jalandhar,Jalandhar City(Jalandhar),2012-06-07,2950.0,12.4
144376,144377,Sunflower,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),2012-06-06,2500.0,11.0
144377,144378,Sunflower,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),2012-10-06,2700.0,16.0
144378,144379,Sunflower,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),2012-12-06,2700.0,67.1
144379,144380,Sunflower,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),2012-06-14,2700.0,31.3
144380,144381,Sunflower,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),2012-06-18,2950.0,10.2
144381,144382,Sunflower,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),2012-06-19,2800.0,17.0
144382,144383,Sunflower,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),2012-06-20,2850.0,18.7
144383,144384,Sunflower,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),2012-06-22,2800.0,18.8
144384,144385,Sunflower,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),2012-01-07,2900.0,21.6
144385,144386,Sunflower,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),2012-09-07,2500.0,18.2
