,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
48494,48495,Mustard,Punjab,Ludhiana,Khanna,2012-05-22,3725.0,6.0
48495,48496,Mustard,Punjab,Ludhiana,Khanna,2012-05-23,3565.0,2.0
48496,48497,Mustard,Punjab,Ludhiana,Khanna,2012-07-31,3990.0,1.0
48497,48498,Mustard,Punjab,Ludhiana,Samrala,2012-11-04,3430.0,3.1
48498,48499,Mustard,Punjab,Ludhiana,Samrala,2012-04-16,3420.0,0.5
144401,144402,Sunflower,Punjab,Ludhiana,Khanna,2012-05-29,2800.0,48.0
144402,144403,Sunflower,Punjab,Ludhiana,Khanna,2012-05-30,2850.0,64.0
144403,144404,Sunflower,Punjab,Ludhiana,Khanna,2012-05-31,2825.0,109.1
144404,144405,Sunflower,Punjab,Ludhiana,Khanna,2012-02-06,2800.0,526.2
144405,144406,Sunflower,Punjab,Ludhiana,Khanna,2012-04-06,2900.0,785.4
144406,144407,Sunflower,Punjab,Ludhiana,Khanna,2012-06-06,2840.0,178.0
144407,144408,Sunflower,Punjab,Ludhiana,Khanna,2012-07-06,2860.0,370.4
144408,144409,Sunflower,Punjab,Ludhiana,Khanna,2012-08-06,2800.0,442.5
144409,144410,Sunflower,Punjab,Ludhiana,Khanna,2012-09-06,2860.0,352.3
144410,144411,Sunflower,Punjab,Ludhiana,Khanna,2012-11-06,2800.0,570.0
144411,144412,Sunflower,Punjab,Ludhiana,Khanna,2012-12-06,2850.0,350.0
144412,144413,Sunflower,Punjab,Ludhiana,Khanna,2012-06-13,2870.0,338.6
144413,144414,Sunflower,Punjab,Ludhiana,Khanna,2012-06-14,2860.0,250.0
144414,144415,Sunflower,Punjab,Ludhiana,Khanna,2012-06-15,2875.0,170.0
144415,144416,Sunflower,Punjab,Ludhiana,Khanna,2012-06-16,2850.0,107.4
144416,144417,Sunflower,Punjab,Ludhiana,Khanna,2012-06-18,2900.0,100.0
144417,144418,Sunflower,Punjab,Ludhiana,Khanna,2012-06-20,2825.0,72.4
144418,144419,Sunflower,Punjab,Ludhiana,Khanna,2012-06-21,2890.0,93.7
144419,144420,Sunflower,Punjab,Ludhiana,Khanna,2012-06-22,2820.0,44.8
144420,144421,Sunflower,Punjab,Ludhiana,Khanna,2012-06-23,2800.0,41.6
144421,144422,Sunflower,Punjab,Ludhiana,Khanna,2012-06-25,2800.0,56.0
144422,144423,Sunflower,Punjab,Ludhiana,Khanna,2012-06-26,2900.0,114.5
144423,144424,Sunflower,Punjab,Ludhiana,Khanna,2012-06-27,2900.0,65.0
144424,144425,Sunflower,Punjab,Ludhiana,Khanna,2012-06-28,2935.0,64.8
144425,144426,Sunflower,Punjab,Ludhiana,Khanna,2012-06-30,2950.0,6.5
144426,144427,Sunflower,Punjab,Ludhiana,Khanna,2012-02-07,2925.0,24.0
144427,144428,Sunflower,Punjab,Ludhiana,Khanna,2012-03-07,2850.0,22.5
144428,144429,Sunflower,Punjab,Ludhiana,Khanna,2012-04-07,2850.0,7.8
144429,144430,Sunflower,Punjab,Ludhiana,Khanna,2012-06-07,2925.0,1.7
144430,144431,Sunflower,Punjab,Ludhiana,Khanna,2012-10-07,2600.0,2.1
144431,144432,Sunflower,Punjab,Ludhiana,Khanna,2012-11-07,2710.0,4.0
144432,144433,Sunflower,Punjab,Ludhiana,Khanna,2012-12-07,3250.0,10.6
144433,144434,Sunflower,Punjab,Ludhiana,Khanna,2012-07-13,2625.0,3.4
144434,144435,Sunflower,Punjab,Ludhiana,Khanna,2012-07-14,2800.0,0.3
144435,144436,Sunflower,Punjab,Ludhiana,Khanna,2012-07-16,3250.0,13.2
144436,144437,Sunflower,Punjab,Ludhiana,Khanna,2012-07-26,2800.0,0.8
144437,144438,Sunflower,Punjab,Ludhiana,Samrala,2012-01-06,2750.0,3.5
144438,144439,Sunflower,Punjab,Ludhiana,Samrala,2012-02-06,2945.0,15.6
144439,144440,Sunflower,Punjab,Ludhiana,Samrala,2012-03-06,2915.0,15.8
144440,144441,Sunflower,Punjab,Ludhiana,Samrala,2012-04-06,2900.0,15.1
144441,144442,Sunflower,Punjab,Ludhiana,Samrala,2012-05-06,2970.0,15.9
144442,144443,Sunflower,Punjab,Ludhiana,Samrala,2012-06-06,2900.0,6.6
144443,144444,Sunflower,Punjab,Ludhiana,Samrala,2012-07-06,2875.0,12.0
144444,144445,Sunflower,Punjab,Ludhiana,Samrala,2012-08-06,2920.0,20.0
144445,144446,Sunflower,Punjab,Ludhiana,Samrala,2012-12-06,2885.0,81.3
144446,144447,Sunflower,Punjab,Ludhiana,Samrala,2012-06-13,2825.0,10.1
144447,144448,Sunflower,Punjab,Ludhiana,Samrala,2012-06-14,2750.0,3.0
144448,144449,Sunflower,Punjab,Ludhiana,Samrala,2012-06-15,2920.0,6.2
144449,144450,Sunflower,Punjab,Ludhiana,Samrala,2012-06-16,2300.0,0.5
144450,144451,Sunflower,Punjab,Ludhiana,Samrala,2012-06-18,2630.0,2.3
144451,144452,Sunflower,Punjab,Ludhiana,Samrala,2012-06-20,2850.0,3.9
144452,144453,Sunflower,Punjab,Ludhiana,Samrala,2012-06-30,2500.0,0.5
195694,195695,Mustard,Punjab,Ludhiana,Khanna,2013-03-04,3310.0,0.7
195695,195696,Mustard,Punjab,Ludhiana,Khanna,2013-04-04,3320.0,0.4
195696,195697,Mustard,Punjab,Ludhiana,Khanna,2013-05-04,3265.0,2.8
195697,195698,Mustard,Punjab,Ludhiana,Khanna,2013-06-04,3260.0,1.3
195698,195699,Mustard,Punjab,Ludhiana,Khanna,2013-08-04,3280.0,0.8
195699,195700,Mustard,Punjab,Ludhiana,Khanna,2013-09-04,3240.0,2.3
195700,195701,Mustard,Punjab,Ludhiana,Khanna,2013-10-04,3180.0,2.7
195701,195702,Mustard,Punjab,Ludhiana,Khanna,2013-11-04,3100.0,4.2
195702,195703,Mustard,Punjab,Ludhiana,Khanna,2013-12-04,3150.0,1.8
195703,195704,Mustard,Punjab,Ludhiana,Khanna,2013-04-16,3195.0,1.0
195704,195705,Mustard,Punjab,Ludhiana,Khanna,2013-04-17,3185.0,2.4
195705,195706,Mustard,Punjab,Ludhiana,Khanna,2013-04-18,3225.0,0.2
195706,195707,Mustard,Punjab,Ludhiana,Khanna,2013-09-05,3170.0,0.7
195707,195708,Mustard,Punjab,Ludhiana,Khanna,2013-05-14,3190.0,0.3
195708,195709,Mustard,Punjab,Ludhiana,Samrala,2013-04-21,3100.0,1.0
195709,195710,Mustard,Punjab,Ludhiana,Samrala,2013-04-22,3150.0,0.8
195710,195711,Mustard,Punjab,Ludhiana,Samrala,2013-04-23,3100.0,1.0
195711,195712,Mustard,Punjab,Ludhiana,Samrala,2013-04-24,3085.0,1.4
195712,195713,Mustard,Punjab,Ludhiana,Samrala,2013-04-25,3000.0,2.0
195713,195714,Mustard,Punjab,Ludhiana,Samrala,2013-04-26,3000.0,2.4
195714,195715,Mustard,Punjab,Ludhiana,Samrala,2013-04-27,3000.0,1.5
195715,195716,Mustard,Punjab,Ludhiana,Samrala,2013-04-28,2950.0,2.0
195716,195717,Mustard,Punjab,Ludhiana,Samrala,2013-04-29,3000.0,1.6
195717,195718,Mustard,Punjab,Ludhiana,Samrala,2013-04-30,3000.0,0.6
296474,296475,Sunflower,Punjab,Ludhiana,Khanna,2013-05-24,2780.0,15.0
296475,296476,Sunflower,Punjab,Ludhiana,Khanna,2013-05-25,2850.0,3.0
296476,296477,Sunflower,Punjab,Ludhiana,Khanna,2013-05-27,2920.0,20.0
296477,296478,Sunflower,Punjab,Ludhiana,Khanna,2013-05-28,3025.0,74.2
296478,296479,Sunflower,Punjab,Ludhiana,Khanna,2013-05-29,3000.0,93.6
296479,296480,Sunflower,Punjab,Ludhiana,Khanna,2013-05-30,3050.0,96.0
296480,296481,Sunflower,Punjab,Ludhiana,Khanna,2013-01-06,3035.0,247.1
296481,296482,Sunflower,Punjab,Ludhiana,Khanna,2013-03-06,3005.0,208.4
296482,296483,Sunflower,Punjab,Ludhiana,Khanna,2013-04-06,3100.0,300.0
296483,296484,Sunflower,Punjab,Ludhiana,Khanna,2013-05-06,3050.0,260.0
296484,296485,Sunflower,Punjab,Ludhiana,Khanna,2013-06-06,3070.0,280.0
296485,296486,Sunflower,Punjab,Ludhiana,Khanna,2013-07-06,3100.0,97.6
296486,296487,Sunflower,Punjab,Ludhiana,Khanna,2013-08-06,3050.0,327.0
296487,296488,Sunflower,Punjab,Ludhiana,Khanna,2013-10-06,3070.0,255.4
296488,296489,Sunflower,Punjab,Ludhiana,Khanna,2013-11-06,2800.0,313.4
296489,296490,Sunflower,Punjab,Ludhiana,Khanna,2013-12-06,3000.0,297.7
296490,296491,Sunflower,Punjab,Ludhiana,Khanna,2013-06-13,3105.0,120.0
296491,296492,Sunflower,Punjab,Ludhiana,Khanna,2013-06-14,3170.0,10.6
296492,296493,Sunflower,Punjab,Ludhiana,Khanna,2013-06-15,3170.0,10.6
296493,296494,Sunflower,Punjab,Ludhiana,Khanna,2013-06-16,3025.0,65.0
296494,296495,Sunflower,Punjab,Ludhiana,Khanna,2013-06-18,3025.0,172.0
296495,296496,Sunflower,Punjab,Ludhiana,Khanna,2013-06-19,2770.0,150.0
296496,296497,Sunflower,Punjab,Ludhiana,Khanna,2013-06-20,2900.0,202.3
296497,296498,Sunflower,Punjab,Ludhiana,Khanna,2013-06-21,3150.0,129.0
296498,296499,Sunflower,Punjab,Ludhiana,Khanna,2013-06-22,3150.0,108.0
296499,296500,Sunflower,Punjab,Ludhiana,Khanna,2013-06-24,3150.0,108.0
296500,296501,Sunflower,Punjab,Ludhiana,Khanna,2013-06-25,3230.0,125.0
296501,296502,Sunflower,Punjab,Ludhiana,Khanna,2013-06-26,3200.0,220.0
296502,296503,Sunflower,Punjab,Ludhiana,Khanna,2013-06-27,3100.0,96.0
296503,296504,Sunflower,Punjab,Ludhiana,Khanna,2013-06-28,3000.0,92.0
296504,296505,Sunflower,Punjab,Ludhiana,Khanna,2013-06-29,2820.0,120.0
296505,296506,Sunflower,Punjab,Ludhiana,Khanna,2013-01-07,3100.0,18.8
296506,296507,Sunflower,Punjab,Ludhiana,Khanna,2013-02-07,2975.0,158.5
296507,296508,Sunflower,Punjab,Ludhiana,Khanna,2013-04-07,2950.0,53.8
296508,296509,Sunflower,Punjab,Ludhiana,Khanna,2013-06-07,2950.0,50.5
296509,296510,Sunflower,Punjab,Ludhiana,Khanna,2013-08-07,2925.0,52.5
296510,296511,Sunflower,Punjab,Ludhiana,Khanna,2013-09-07,3000.0,43.5
296511,296512,Sunflower,Punjab,Ludhiana,Khanna,2013-10-07,3000.0,47.0
296512,296513,Sunflower,Punjab,Ludhiana,Khanna,2013-11-07,3080.0,61.0
296513,296514,Sunflower,Punjab,Ludhiana,Khanna,2013-12-07,2920.0,30.0
296514,296515,Sunflower,Punjab,Ludhiana,Khanna,2013-07-13,3005.0,20.0
296515,296516,Sunflower,Punjab,Ludhiana,Khanna,2013-07-15,2800.0,33.2
296516,296517,Sunflower,Punjab,Ludhiana,Khanna,2013-07-16,3050.0,15.6
296517,296518,Sunflower,Punjab,Ludhiana,Khanna,2013-07-17,3025.0,20.0
296518,296519,Sunflower,Punjab,Ludhiana,Khanna,2013-07-18,3025.0,22.5
296519,296520,Sunflower,Punjab,Ludhiana,Khanna,2013-07-19,3080.0,6.0
296520,296521,Sunflower,Punjab,Ludhiana,Khanna,2013-07-20,2990.0,5.8
296521,296522,Sunflower,Punjab,Ludhiana,Khanna,2013-01-08,2725.0,4.0
296522,296523,Sunflower,Punjab,Ludhiana,Khanna,2013-02-08,2650.0,5.0
296523,296524,Sunflower,Punjab,Ludhiana,Samrala,2013-05-27,2650.0,3.4
