,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
144507,144508,Sunflower,Punjab,Patiala,Rajpura,2012-05-24,2725.0,50.0
144508,144509,Sunflower,Punjab,Patiala,Rajpura,2012-05-29,2650.0,210.0
144509,144510,Sunflower,Punjab,Patiala,Rajpura,2012-01-06,2690.0,300.0
144510,144511,Sunflower,Punjab,Patiala,Rajpura,2012-03-06,2750.0,250.0
144511,144512,Sunflower,Punjab,Patiala,Rajpura,2012-07-06,2600.0,150.0
144512,144513,Sunflower,Punjab,Patiala,Rajpura,2012-08-06,2700.0,170.0
450113,450114,Sunflower,Punjab,Patiala,Rajpura,2014-05-30,3200.0,15.0
450114,450115,Sunflower,Punjab,Patiala,Rajpura,2014-01-06,3200.0,15.0
450115,450116,Sunflower,Punjab,Patiala,Rajpura,2014-04-06,2700.0,30.0
450116,450117,Sunflower,Punjab,Patiala,Rajpura,2014-05-06,2700.0,35.0
450117,450118,Sunflower,Punjab,Patiala,Rajpura,2014-06-06,2700.0,70.0
450118,450119,Sunflower,Punjab,Patiala,Rajpura,2014-07-06,2700.0,90.0
450119,450120,Sunflower,Punjab,Patiala,Rajpura,2014-08-06,2700.0,95.0
450120,450121,Sunflower,Punjab,Patiala,Rajpura,2014-10-06,2500.0,150.0
450121,450122,Sunflower,Punjab,Patiala,Rajpura,2014-11-06,2600.0,150.0
450122,450123,Sunflower,Punjab,Patiala,Rajpura,2014-12-06,2700.0,170.0
450123,450124,Sunflower,Punjab,Patiala,Rajpura,2014-06-17,2750.0,143.0
450124,450125,Sunflower,Punjab,Patiala,Rajpura,2014-06-18,2750.0,180.0
450125,450126,Sunflower,Punjab,Patiala,Rajpura,2014-06-19,2850.0,120.0
450126,450127,Sunflower,Punjab,Patiala,Rajpura,2014-06-20,2800.0,100.0
450127,450128,Sunflower,Punjab,Patiala,Rajpura,2014-06-21,2800.0,100.0
450128,450129,Sunflower,Punjab,Patiala,Rajpura,2014-06-22,2800.0,100.0
450129,450130,Sunflower,Punjab,Patiala,Rajpura,2014-06-23,2800.0,80.0
450130,450131,Sunflower,Punjab,Patiala,Rajpura,2014-06-24,2800.0,70.0
450131,450132,Sunflower,Punjab,Patiala,Rajpura,2014-06-25,2750.0,80.0
450132,450133,Sunflower,Punjab,Patiala,Rajpura,2014-06-26,2700.0,35.0
450133,450134,Sunflower,Punjab,Patiala,Rajpura,2014-06-27,2700.0,20.0
450134,450135,Sunflower,Punjab,Patiala,Rajpura,2014-06-28,2700.0,10.0
450135,450136,Sunflower,Punjab,Patiala,Rajpura,2014-06-29,2700.0,10.0
450136,450137,Sunflower,Punjab,Patiala,Rajpura,2014-01-07,2400.0,5.0
450137,450138,Sunflower,Punjab,Patiala,Rajpura,2014-02-07,2450.0,2.0
450138,450139,Sunflower,Punjab,Patiala,Rajpura,2014-03-07,2250.0,17.0
450139,450140,Sunflower,Punjab,Patiala,Rajpura,2014-04-07,2450.0,20.0
450140,450141,Sunflower,Punjab,Patiala,Rajpura,2014-05-07,2400.0,18.0
450141,450142,Sunflower,Punjab,Patiala,Rajpura,2014-06-07,2400.0,16.0
450142,450143,Sunflower,Punjab,Patiala,Rajpura,2014-07-07,2400.0,2.0
450143,450144,Sunflower,Punjab,Patiala,Rajpura,2014-09-07,2700.0,25.0
450144,450145,Sunflower,Punjab,Patiala,Rajpura,2014-10-07,2400.0,18.0
617730,617731,Sunflower,Punjab,Patiala,Rajpura,2015-05-27,2850.0,10.0
617731,617732,Sunflower,Punjab,Patiala,Rajpura,2015-05-31,2900.0,5.0
617732,617733,Sunflower,Punjab,Patiala,Rajpura,2015-09-06,2800.0,96.0
617733,617734,Sunflower,Punjab,Patiala,Rajpura,2015-10-06,2800.0,130.0
617734,617735,Sunflower,Punjab,Patiala,Rajpura,2015-06-16,2650.0,83.0
617735,617736,Sunflower,Punjab,Patiala,Rajpura,2015-06-19,2600.0,35.0
778547,778548,Sunflower,Punjab,Patiala,Rajpura,2016-06-27,2900.0,3.8
924779,924780,Sunflower,Punjab,Patiala,Rajpura,2017-05-24,2700.0,9.0
924780,924781,Sunflower,Punjab,Patiala,Rajpura,2017-05-27,2600.0,19.0
