,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
21746,21747,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-05-01,3611.0,1.5
21747,21748,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-09-01,3400.0,1.9
21748,21749,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-01,4000.0,11.7
21749,21750,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-01-19,3100.0,0.4
21750,21751,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-01-20,3400.0,0.8
21751,21752,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-01-21,3825.0,1.1
21752,21753,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-01-24,3200.0,0.3
21753,21754,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-01-31,3500.0,1.8
21754,21755,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-03-02,2500.0,1.3
21755,21756,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-02-22,4500.0,10.5
21756,21757,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-02-28,4350.0,2.7
21757,21758,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-03-14,4980.0,9.6
21758,21759,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-03-19,4925.0,10.7
21759,21760,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-04-04,4275.0,2.1
21760,21761,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-04,4301.0,10.5
21761,21762,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-04-16,4800.0,1.3
21762,21763,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-04-23,4600.0,6.8
21763,21764,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-03-05,4100.0,0.4
21764,21765,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-05-14,3000.0,3.0
21765,21766,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-05-16,4000.0,1.0
21766,21767,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-05-17,4000.0,9.0
21767,21768,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-05-30,4050.0,30.0
21768,21769,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-09-06,4000.0,7.5
21769,21770,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-04-08,4350.0,0.2
21770,21771,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-05-09,4225.0,0.2
21771,21772,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-01-10,3451.0,1.3
21772,21773,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-02-10,3035.0,1.0
21773,21774,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-04-10,3450.0,1.3
21774,21775,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-10,3000.0,0.6
21775,21776,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-10,4000.0,0.9
21776,21777,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-13,4011.0,1.9
21777,21778,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-16,3525.0,0.8
21778,21779,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-17,3721.0,1.1
21779,21780,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-18,4200.0,4.6
21780,21781,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-19,3815.0,1.1
21781,21782,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-20,4100.0,2.7
21782,21783,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-22,3763.0,2.4
21783,21784,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-23,3850.0,1.8
21784,21785,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-24,4000.0,1.6
21785,21786,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-26,3825.0,1.4
21786,21787,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-30,4465.0,7.4
21787,21788,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-31,4375.0,7.2
21788,21789,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-01-11,4426.0,3.9
21789,21790,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-03-11,4525.0,3.7
21790,21791,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-05-11,4750.0,7.0
21791,21792,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-06-11,4675.0,21.0
21792,21793,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-07-11,4750.0,10.5
21793,21794,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-08-11,4663.0,20.2
21794,21795,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-09-11,4575.0,6.7
21795,21796,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-11,4463.0,11.1
21796,21797,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-11,4598.0,6.8
21797,21798,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-13,4595.0,4.0
21798,21799,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-17,4375.0,6.7
21799,21800,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-19,4838.0,6.1
21800,21801,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-20,4938.0,7.3
21801,21802,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-21,4650.0,3.4
21802,21803,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-22,5065.0,2.2
21803,21804,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-24,4975.0,5.6
21804,21805,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-26,5000.0,7.5
21805,21806,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-27,5050.0,8.4
21806,21807,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-28,4975.0,10.1
21807,21808,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-29,5050.0,13.0
21808,21809,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-30,5058.0,4.3
21809,21810,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-01-12,5058.0,9.0
21810,21811,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-02-12,4800.0,2.3
21811,21812,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-03-12,4800.0,2.3
21812,21813,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-04-12,5013.0,3.4
21813,21814,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-05-12,5025.0,9.1
21814,21815,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-06-12,4775.0,5.4
21815,21816,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-07-12,4950.0,2.3
21816,21817,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-08-12,4880.0,2.4
21817,21818,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-10-12,4800.0,3.8
21818,21819,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-11-12,4711.0,1.9
21819,21820,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-12,4606.0,4.0
21820,21821,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-13,4525.0,2.0
21821,21822,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-14,4731.0,3.4
21822,21823,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-15,4820.0,4.4
21823,21824,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-17,4790.0,2.2
21824,21825,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-18,4900.0,0.9
21825,21826,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-20,4700.0,2.1
21826,21827,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-21,4975.0,3.3
21827,21828,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-24,4925.0,7.1
21828,21829,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-26,4725.0,2.3
21829,21830,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-28,4938.0,17.2
21830,21831,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-29,4750.0,2.3
21831,21832,Groundnut,Rajasthan,Churu,Sujangarh(Churu),2012-12-31,4750.0,2.6
53494,53495,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-01-27,3000.0,2.2
53495,53496,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-03-29,3350.0,0.7
53496,53497,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-03-30,3000.0,0.2
53497,53498,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-02-04,3000.0,0.2
53498,53499,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-03-04,3400.0,2.2
53499,53500,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-12-04,3026.0,4.8
53500,53501,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-04-13,3450.0,2.8
53501,53502,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-04-16,3618.0,2.6
53502,53503,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-04-17,3550.0,9.0
53503,53504,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-04-18,3600.0,5.2
53504,53505,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-04-19,3550.0,7.6
53505,53506,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-04-20,3600.0,6.8
53506,53507,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-04-21,3550.0,8.3
53507,53508,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-04-24,3463.0,12.9
53508,53509,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-04-25,3530.0,14.7
53509,53510,Mustard,Rajasthan,Churu,Sujangarh(Churu),2012-04-26,3513.0,19.4
