,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
21832,21833,Groundnut,Rajasthan,Dausa,Dausa,2012-02-01,0.0,1.0
21833,21834,Groundnut,Rajasthan,Dausa,Dausa,2012-05-01,3550.0,14.0
21834,21835,Groundnut,Rajasthan,Dausa,Dausa,2012-06-01,3500.0,2.0
21835,21836,Groundnut,Rajasthan,Dausa,Dausa,2012-07-01,3370.0,1.0
21836,21837,Groundnut,Rajasthan,Dausa,Dausa,2012-09-01,3252.0,25.0
21837,21838,Groundnut,Rajasthan,Dausa,Dausa,2012-10-01,3200.0,1.0
21838,21839,Groundnut,Rajasthan,Dausa,Dausa,2012-01-19,3359.0,18.0
21839,21840,Groundnut,Rajasthan,Dausa,Dausa,2012-01-21,3200.0,2.0
21840,21841,Groundnut,Rajasthan,Dausa,Dausa,2012-01-30,3350.0,9.0
21841,21842,Groundnut,Rajasthan,Dausa,Dausa,2012-01-03,3790.0,5.0
21842,21843,Groundnut,Rajasthan,Dausa,Dausa,2012-05-03,4130.0,3.0
21843,21844,Groundnut,Rajasthan,Dausa,Dausa,2012-04-04,3800.0,1.0
21844,21845,Groundnut,Rajasthan,Dausa,Dausa,2012-07-04,3900.0,4.0
21845,21846,Groundnut,Rajasthan,Dausa,Dausa,2012-04-18,3360.0,1227.0
21846,21847,Groundnut,Rajasthan,Dausa,Dausa,2012-07-18,3840.0,2.0
21847,21848,Groundnut,Rajasthan,Dausa,Dausa,2012-09-28,3025.0,2.0
21848,21849,Groundnut,Rajasthan,Dausa,Dausa,2012-01-10,3875.0,222.0
21849,21850,Groundnut,Rajasthan,Dausa,Dausa,2012-02-10,3250.0,10.0
21850,21851,Groundnut,Rajasthan,Dausa,Dausa,2012-03-10,3400.0,3.0
21851,21852,Groundnut,Rajasthan,Dausa,Dausa,2012-04-10,3851.0,2.0
21852,21853,Groundnut,Rajasthan,Dausa,Dausa,2012-05-10,3500.0,12.0
21853,21854,Groundnut,Rajasthan,Dausa,Dausa,2012-06-10,3935.0,71.0
21854,21855,Groundnut,Rajasthan,Dausa,Dausa,2012-09-10,4250.0,125.0
21855,21856,Groundnut,Rajasthan,Dausa,Dausa,2012-10-10,4121.0,167.0
21856,21857,Groundnut,Rajasthan,Dausa,Dausa,2012-11-10,4075.0,338.0
21857,21858,Groundnut,Rajasthan,Dausa,Dausa,2012-12-10,3962.0,374.0
21858,21859,Groundnut,Rajasthan,Dausa,Dausa,2012-10-13,4016.0,395.0
21859,21860,Groundnut,Rajasthan,Dausa,Dausa,2012-10-16,4232.0,358.0
21860,21861,Groundnut,Rajasthan,Dausa,Dausa,2012-10-17,4043.0,492.0
21861,21862,Groundnut,Rajasthan,Dausa,Dausa,2012-10-18,4102.0,480.0
21862,21863,Groundnut,Rajasthan,Dausa,Dausa,2012-10-19,4115.0,432.0
21863,21864,Groundnut,Rajasthan,Dausa,Dausa,2012-10-22,4245.0,456.0
21864,21865,Groundnut,Rajasthan,Dausa,Dausa,2012-10-25,4340.0,446.0
21865,21866,Groundnut,Rajasthan,Dausa,Dausa,2012-10-27,4250.0,520.0
21866,21867,Groundnut,Rajasthan,Dausa,Dausa,2012-10-29,4200.0,285.0
21867,21868,Groundnut,Rajasthan,Dausa,Dausa,2012-10-30,4600.0,347.0
21868,21869,Groundnut,Rajasthan,Dausa,Dausa,2012-10-31,4535.0,413.0
21869,21870,Groundnut,Rajasthan,Dausa,Dausa,2012-04-11,4500.0,0.0
21870,21871,Groundnut,Rajasthan,Dausa,Dausa,2012-05-11,4570.0,257.0
21871,21872,Groundnut,Rajasthan,Dausa,Dausa,2012-06-11,4570.0,257.0
21872,21873,Groundnut,Rajasthan,Dausa,Dausa,2012-07-11,4425.0,0.0
21873,21874,Groundnut,Rajasthan,Dausa,Dausa,2012-08-11,4300.0,131.0
21874,21875,Groundnut,Rajasthan,Dausa,Dausa,2012-09-11,4211.0,114.0
21875,21876,Groundnut,Rajasthan,Dausa,Dausa,2012-11-16,4263.0,17.0
21876,21877,Groundnut,Rajasthan,Dausa,Dausa,2012-11-19,4340.0,111.0
21877,21878,Groundnut,Rajasthan,Dausa,Dausa,2012-11-20,4300.0,69.0
21878,21879,Groundnut,Rajasthan,Dausa,Dausa,2012-11-21,4650.0,59.0
21879,21880,Groundnut,Rajasthan,Dausa,Dausa,2012-11-22,4150.0,17.0
21880,21881,Groundnut,Rajasthan,Dausa,Dausa,2012-11-23,4650.0,36.0
21881,21882,Groundnut,Rajasthan,Dausa,Dausa,2012-11-24,4550.0,18.0
21882,21883,Groundnut,Rajasthan,Dausa,Dausa,2012-11-26,4000.0,22.0
21883,21884,Groundnut,Rajasthan,Dausa,Dausa,2012-11-27,4325.0,48.0
21884,21885,Groundnut,Rajasthan,Dausa,Dausa,2012-11-28,4110.0,4.0
21885,21886,Groundnut,Rajasthan,Dausa,Dausa,2012-11-30,4850.0,27.0
21886,21887,Groundnut,Rajasthan,Dausa,Dausa,2012-12-17,4315.0,17.0
21887,21888,Groundnut,Rajasthan,Dausa,Dausa,2012-12-20,4100.0,4.0
21888,21889,Groundnut,Rajasthan,Dausa,Dausa,2012-12-26,3300.0,4.0
21889,21890,Groundnut,Rajasthan,Dausa,Lalsot,2012-02-01,3200.0,11.8
21890,21891,Groundnut,Rajasthan,Dausa,Lalsot,2012-03-01,3300.0,4.7
21891,21892,Groundnut,Rajasthan,Dausa,Lalsot,2012-09-01,3580.0,5.2
21892,21893,Groundnut,Rajasthan,Dausa,Lalsot,2012-10-01,3580.0,11.9
21893,21894,Groundnut,Rajasthan,Dausa,Lalsot,2012-11-01,3500.0,4.0
21894,21895,Groundnut,Rajasthan,Dausa,Lalsot,2012-12-01,3400.0,0.2
21895,21896,Groundnut,Rajasthan,Dausa,Lalsot,2012-01-17,3550.0,2.8
21896,21897,Groundnut,Rajasthan,Dausa,Lalsot,2012-01-18,3580.0,5.2
21897,21898,Groundnut,Rajasthan,Dausa,Lalsot,2012-01-19,3400.0,1.6
21898,21899,Groundnut,Rajasthan,Dausa,Lalsot,2012-01-20,3550.0,3.3
21899,21900,Groundnut,Rajasthan,Dausa,Lalsot,2012-02-16,4200.0,114.8
21900,21901,Groundnut,Rajasthan,Dausa,Lalsot,2012-02-17,4500.0,183.8
21901,21902,Groundnut,Rajasthan,Dausa,Lalsot,2012-02-21,4200.0,419.2
21902,21903,Groundnut,Rajasthan,Dausa,Lalsot,2012-02-23,4000.0,1.8
21903,21904,Groundnut,Rajasthan,Dausa,Lalsot,2012-02-24,3600.0,1.8
21904,21905,Groundnut,Rajasthan,Dausa,Lalsot,2012-02-25,4200.0,48.0
21905,21906,Groundnut,Rajasthan,Dausa,Lalsot,2012-02-27,4350.0,107.2
21906,21907,Groundnut,Rajasthan,Dausa,Lalsot,2012-02-29,4400.0,226.3
21907,21908,Groundnut,Rajasthan,Dausa,Lalsot,2012-01-03,4250.0,118.0
21908,21909,Groundnut,Rajasthan,Dausa,Lalsot,2012-02-03,4500.0,97.2
21909,21910,Groundnut,Rajasthan,Dausa,Lalsot,2012-03-03,4000.0,80.9
21910,21911,Groundnut,Rajasthan,Dausa,Lalsot,2012-07-03,5000.0,243.6
21911,21912,Groundnut,Rajasthan,Dausa,Lalsot,2012-08-03,5000.0,92.2
21912,21913,Groundnut,Rajasthan,Dausa,Lalsot,2012-09-03,4800.0,72.8
21913,21914,Groundnut,Rajasthan,Dausa,Lalsot,2012-11-03,4500.0,54.7
21914,21915,Groundnut,Rajasthan,Dausa,Lalsot,2012-03-18,4400.0,17.3
21915,21916,Groundnut,Rajasthan,Dausa,Lalsot,2012-03-21,4600.0,54.8
21916,21917,Groundnut,Rajasthan,Dausa,Lalsot,2012-03-22,4800.0,33.1
21917,21918,Groundnut,Rajasthan,Dausa,Lalsot,2012-03-23,4750.0,46.0
21918,21919,Groundnut,Rajasthan,Dausa,Lalsot,2012-03-24,4410.0,164.2
21919,21920,Groundnut,Rajasthan,Dausa,Lalsot,2012-03-25,4800.0,30.3
21920,21921,Groundnut,Rajasthan,Dausa,Lalsot,2012-03-28,4840.0,52.0
21921,21922,Groundnut,Rajasthan,Dausa,Lalsot,2012-03-29,4850.0,22.9
21922,21923,Groundnut,Rajasthan,Dausa,Lalsot,2012-03-31,4550.0,66.4
21923,21924,Groundnut,Rajasthan,Dausa,Lalsot,2012-01-04,4880.0,14.9
21924,21925,Groundnut,Rajasthan,Dausa,Lalsot,2012-03-04,4600.0,38.6
21925,21926,Groundnut,Rajasthan,Dausa,Lalsot,2012-05-04,4810.0,12.4
21926,21927,Groundnut,Rajasthan,Dausa,Lalsot,2012-06-04,4850.0,16.0
21927,21928,Groundnut,Rajasthan,Dausa,Lalsot,2012-07-04,4830.0,22.4
21928,21929,Groundnut,Rajasthan,Dausa,Lalsot,2012-11-04,4750.0,14.4
21929,21930,Groundnut,Rajasthan,Dausa,Lalsot,2012-12-04,4650.0,4.8
21930,21931,Groundnut,Rajasthan,Dausa,Lalsot,2012-04-13,4450.0,12.3
21931,21932,Groundnut,Rajasthan,Dausa,Lalsot,2012-04-14,4300.0,11.6
21932,21933,Groundnut,Rajasthan,Dausa,Lalsot,2012-04-15,4450.0,3.1
21933,21934,Groundnut,Rajasthan,Dausa,Lalsot,2012-04-18,4700.0,12.4
21934,21935,Groundnut,Rajasthan,Dausa,Lalsot,2012-04-19,4800.0,6.7
21935,21936,Groundnut,Rajasthan,Dausa,Lalsot,2012-04-20,4600.0,8.5
21936,21937,Groundnut,Rajasthan,Dausa,Lalsot,2012-04-21,4650.0,14.8
21937,21938,Groundnut,Rajasthan,Dausa,Lalsot,2012-04-26,4700.0,28.2
21938,21939,Groundnut,Rajasthan,Dausa,Lalsot,2012-04-27,4400.0,7.7
21939,21940,Groundnut,Rajasthan,Dausa,Lalsot,2012-04-28,4380.0,5.8
21940,21941,Groundnut,Rajasthan,Dausa,Lalsot,2012-01-05,4500.0,18.8
21941,21942,Groundnut,Rajasthan,Dausa,Lalsot,2012-02-05,4611.0,3.8
21942,21943,Groundnut,Rajasthan,Dausa,Lalsot,2012-03-05,4625.0,6.0
21943,21944,Groundnut,Rajasthan,Dausa,Lalsot,2012-04-05,4550.0,2.6
21944,21945,Groundnut,Rajasthan,Dausa,Lalsot,2012-05-05,4650.0,8.5
21945,21946,Groundnut,Rajasthan,Dausa,Lalsot,2012-07-05,4700.0,2.2
21946,21947,Groundnut,Rajasthan,Dausa,Lalsot,2012-08-05,4250.0,10.5
21947,21948,Groundnut,Rajasthan,Dausa,Lalsot,2012-09-27,3400.0,1.1
21948,21949,Groundnut,Rajasthan,Dausa,Lalsot,2012-09-28,3300.0,1.5
21949,21950,Groundnut,Rajasthan,Dausa,Lalsot,2012-01-10,4000.0,17.4
