,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
59498,59499,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-05-03,3270.0,21.0
59499,59500,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-07-03,3300.0,10.1
59500,59501,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-11-03,3300.0,8.4
59501,59502,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-03-15,3300.0,15.0
59502,59503,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-03-16,3310.0,10.5
59503,59504,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-03-17,3305.0,8.0
59504,59505,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-03-18,3325.0,7.5
59505,59506,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-03-29,3315.0,17.0
59506,59507,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-03-30,3325.0,25.1
59507,59508,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-03-31,3325.0,8.0
59508,59509,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-01-04,3350.0,19.5
59509,59510,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-04-04,3400.0,21.8
59510,59511,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-09-04,3450.0,10.8
59511,59512,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-12-04,3475.0,16.0
59512,59513,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-04-14,3400.0,7.3
59513,59514,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-04-16,3400.0,5.4
59514,59515,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-04-18,3400.0,7.7
59515,59516,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2012-04-20,3400.0,6.5
320567,320568,Groundnut,Rajasthan,Jaisalmer,Jaisalmer,2014-11-25,4380.0,4.3
320568,320569,Groundnut,Rajasthan,Jaisalmer,Jaisalmer,2014-11-27,4276.0,3.9
320569,320570,Groundnut,Rajasthan,Jaisalmer,Jaisalmer,2014-11-28,4698.0,5.5
320570,320571,Groundnut,Rajasthan,Jaisalmer,Jaisalmer,2014-11-30,4294.0,3.4
320571,320572,Groundnut,Rajasthan,Jaisalmer,Jaisalmer,2014-01-12,4405.0,5.0
320572,320573,Groundnut,Rajasthan,Jaisalmer,Jaisalmer,2014-02-12,3400.0,5.6
320573,320574,Groundnut,Rajasthan,Jaisalmer,Jaisalmer,2014-03-12,3400.0,2.9
320574,320575,Groundnut,Rajasthan,Jaisalmer,Jaisalmer,2014-05-12,3130.0,2.9
320575,320576,Groundnut,Rajasthan,Jaisalmer,Jaisalmer,2014-06-12,3200.0,3.4
364125,364126,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2014-08-14,3000.0,80.0
364126,364127,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2014-08-17,3050.0,92.0
364127,364128,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2014-08-19,3160.0,90.0
364128,364129,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2014-08-21,2830.0,93.0
364129,364130,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2014-09-17,2390.0,190.0
364130,364131,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2014-09-18,2300.0,185.0
364131,364132,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2014-09-19,2260.0,210.0
364132,364133,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2014-09-21,2490.0,220.0
364133,364134,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2014-09-22,2250.0,170.0
364134,364135,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2014-09-23,2350.0,185.0
364135,364136,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2014-09-24,2300.0,13.0
364136,364137,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2014-11-29,3965.0,4.2
520941,520942,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-02-20,3730.0,4.5
520942,520943,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-19,3125.0,3.9
520943,520944,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-20,3125.0,4.9
520944,520945,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-21,3180.0,3.6
520945,520946,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-22,3150.0,7.1
520946,520947,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-23,3250.0,5.0
520947,520948,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-24,3150.0,5.0
520948,520949,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-25,3410.0,4.6
520949,520950,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-26,3370.0,
520950,520951,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-27,3395.0,6.5
520951,520952,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-28,3395.0,7.0
520952,520953,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-29,3400.0,5.0
520953,520954,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-30,2980.0,6.0
520954,520955,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-31,2920.0,5.6
520955,520956,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-01-04,2900.0,5.9
520956,520957,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-02-04,2800.0,2.5
520957,520958,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-03-04,3000.0,3.0
520958,520959,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-04-04,3000.0,5.5
520959,520960,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-05-04,3000.0,5.9
520960,520961,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-06-04,3100.0,6.9
520961,520962,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-07-04,3100.0,2.6
520962,520963,Mustard,Rajasthan,Jaisalmer,Jaisalmer,2015-08-04,3000.0,1.2
