,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
22601,22602,Groundnut,Rajasthan,Jhunjunu,Nawalgarh,2012-03-10,3400.0,7.0
22602,22603,Groundnut,Rajasthan,Jhunjunu,Nawalgarh,2012-06-10,4200.0,20.0
22603,22604,Groundnut,Rajasthan,Jhunjunu,Nawalgarh,2012-09-10,4200.0,42.0
22604,22605,Groundnut,Rajasthan,Jhunjunu,Nawalgarh,2012-10-10,4300.0,41.0
22605,22606,Groundnut,Rajasthan,Jhunjunu,Nawalgarh,2012-11-10,4200.0,48.0
22606,22607,Groundnut,Rajasthan,Jhunjunu,Nawalgarh,2012-10-13,4200.0,311.0
22607,22608,Groundnut,Rajasthan,Jhunjunu,Nawalgarh,2012-10-16,3900.0,116.0
22608,22609,Groundnut,Rajasthan,Jhunjunu,Nawalgarh,2012-10-17,4200.0,264.0
22609,22610,Groundnut,Rajasthan,Jhunjunu,Nawalgarh,2012-10-18,4350.0,207.0
22610,22611,Groundnut,Rajasthan,Jhunjunu,Nawalgarh,2012-10-22,4300.0,771.0
22611,22612,Groundnut,Rajasthan,Jhunjunu,Nawalgarh,2012-10-24,4200.0,90.0
22612,22613,Groundnut,Rajasthan,Jhunjunu,Nawalgarh,2012-10-28,4400.0,640.0
22613,22614,Groundnut,Rajasthan,Jhunjunu,Nawalgarh,2012-10-30,4400.0,270.0
59997,59998,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-06-22,3250.0,2.9
59998,59999,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-06-25,3270.0,1.0
59999,60000,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-02-07,3350.0,1.6
60000,60001,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-09-07,3350.0,12.0
60001,60002,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-07-16,3500.0,0.51
60002,60003,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-07-25,3800.0,4.2
60003,60004,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-07-08,3800.0,0.4
60004,60005,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-10-29,3900.0,2.98
60005,60006,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-03-11,3700.0,2.55
60006,60007,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-04-11,3700.0,2.46
60007,60008,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-07-11,3700.0,3.57
60008,60009,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-09-11,3700.0,4.93
60009,60010,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-10-11,3700.0,3.74
60010,60011,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-12-11,3700.0,3.4
60011,60012,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-11-16,3700.0,3.31
60012,60013,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-11-17,3900.0,3.31
60013,60014,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-11-18,3750.0,2.98
60014,60015,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-11-20,3800.0,3.23
60015,60016,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-11-23,3600.0,3.4
60016,60017,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-11-24,3650.0,3.31
60017,60018,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-11-25,3700.0,3.57
60018,60019,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-11-29,3600.0,4.08
60019,60020,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-11-30,3600.0,3.23
60020,60021,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-01-12,3650.0,3.31
60021,60022,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-02-12,3600.0,3.83
60022,60023,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-11-12,3550.0,6.28
60023,60024,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-12-12,3550.0,5.95
60024,60025,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-12-13,3650.0,5.44
60025,60026,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-12-14,3550.0,4.67
60026,60027,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-12-15,3600.0,3.83
60027,60028,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-12-16,3550.0,4.76
60028,60029,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-12-21,3550.0,4.08
60029,60030,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-12-28,3550.0,5.18
60030,60031,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-12-29,3500.0,4.93
60031,60032,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-12-30,3550.0,3.83
60032,60033,Mustard,Rajasthan,Jhunjunu,Chirwa,2012-12-31,3605.5,9.78
60033,60034,Mustard,Rajasthan,Jhunjunu,Jhunjhunu,2012-07-04,3200.0,0.9
60034,60035,Mustard,Rajasthan,Jhunjunu,Jhunjhunu,2012-09-04,3000.0,2.6
