,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
526194,526195,Mustard,Rajasthan,Sirohi,Abu Road,2015-04-16,3100.0,1.5
526195,526196,Mustard,Rajasthan,Sirohi,Abu Road,2015-04-21,3100.0,1.0
526196,526197,Mustard,Rajasthan,Sirohi,Abu Road,2015-04-23,3110.0,1.0
526197,526198,Mustard,Rajasthan,Sirohi,Abu Road,2015-07-16,3150.0,0.8
526198,526199,Mustard,Rajasthan,Sirohi,Abu Road,2015-07-30,3150.0,0.0
526199,526200,Mustard,Rajasthan,Sirohi,Abu Road,2015-07-31,3150.0,0.0
526200,526201,Mustard,Rajasthan,Sirohi,Abu Road,2015-03-08,3150.0,0.0
526201,526202,Mustard,Rajasthan,Sirohi,Abu Road,2015-10-12,4610.0,0.5
526202,526203,Mustard,Rajasthan,Sirohi,Abu Road,2015-11-12,4610.0,0.0
526203,526204,Mustard,Rajasthan,Sirohi,Abu Road,2015-12-12,4610.0,0.0
526204,526205,Mustard,Rajasthan,Sirohi,Abu Road,2015-12-13,4610.0,0.0
526205,526206,Mustard,Rajasthan,Sirohi,Abu Road,2015-12-14,4610.0,0.0
526206,526207,Mustard,Rajasthan,Sirohi,Abu Road,2015-12-15,4610.0,0.0
526207,526208,Mustard,Rajasthan,Sirohi,Abu Road,2015-12-16,4610.0,0.0
526208,526209,Mustard,Rajasthan,Sirohi,Abu Road,2015-12-17,4610.0,0.0
689371,689372,Mustard,Rajasthan,Sirohi,Abu Road,2016-12-04,3350.0,23.5
689372,689373,Mustard,Rajasthan,Sirohi,Abu Road,2016-05-20,4210.0,1.0
689373,689374,Mustard,Rajasthan,Sirohi,Abu Road,2016-03-06,4180.0,0.5
842061,842062,Mustard,Rajasthan,Sirohi,Abu Road,2017-03-20,3300.0,0.0
842062,842063,Mustard,Rajasthan,Sirohi,Abu Road,2017-03-21,3300.0,0.0
842063,842064,Mustard,Rajasthan,Sirohi,Abu Road,2017-03-22,3300.0,0.0
842064,842065,Mustard,Rajasthan,Sirohi,Abu Road,2017-03-23,3300.0,0.0
842065,842066,Mustard,Rajasthan,Sirohi,Abu Road,2017-03-24,3300.0,0.0
842066,842067,Mustard,Rajasthan,Sirohi,Abu Road,2017-03-27,3300.0,0.0
842067,842068,Mustard,Rajasthan,Sirohi,Abu Road,2017-03-28,3300.0,0.0
842068,842069,Mustard,Rajasthan,Sirohi,Abu Road,2017-08-09,3625.0,0.0
842069,842070,Mustard,Rajasthan,Sirohi,Abu Road,2017-06-10,3525.0,0.0
