,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
65307,65308,Mustard,Rajasthan,Udaipur,Udaipur,2012-02-01,2800.0,1.5
65308,65309,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-01,2850.0,0.3
65309,65310,Mustard,Rajasthan,Udaipur,Udaipur,2012-04-01,2850.0,4.4
65310,65311,Mustard,Rajasthan,Udaipur,Udaipur,2012-05-01,2900.0,0.4
65311,65312,Mustard,Rajasthan,Udaipur,Udaipur,2012-09-01,3000.0,1.1
65312,65313,Mustard,Rajasthan,Udaipur,Udaipur,2012-10-01,3000.0,0.2
65313,65314,Mustard,Rajasthan,Udaipur,Udaipur,2012-11-01,3025.0,1.1
65314,65315,Mustard,Rajasthan,Udaipur,Udaipur,2012-01-16,3000.0,0.2
65315,65316,Mustard,Rajasthan,Udaipur,Udaipur,2012-01-17,2925.0,0.4
65316,65317,Mustard,Rajasthan,Udaipur,Udaipur,2012-01-19,2800.0,0.4
65317,65318,Mustard,Rajasthan,Udaipur,Udaipur,2012-01-20,2800.0,0.7
65318,65319,Mustard,Rajasthan,Udaipur,Udaipur,2012-01-21,2775.0,0.6
65319,65320,Mustard,Rajasthan,Udaipur,Udaipur,2012-01-23,2775.0,2.0
65320,65321,Mustard,Rajasthan,Udaipur,Udaipur,2012-01-24,2770.0,0.8
65321,65322,Mustard,Rajasthan,Udaipur,Udaipur,2012-01-25,2800.0,0.2
65322,65323,Mustard,Rajasthan,Udaipur,Udaipur,2012-01-27,2800.0,0.4
65323,65324,Mustard,Rajasthan,Udaipur,Udaipur,2012-01-31,2800.0,0.4
65324,65325,Mustard,Rajasthan,Udaipur,Udaipur,2012-02-02,2800.0,0.1
65325,65326,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-02,2800.0,0.2
65326,65327,Mustard,Rajasthan,Udaipur,Udaipur,2012-06-02,2800.0,0.2
65327,65328,Mustard,Rajasthan,Udaipur,Udaipur,2012-11-02,2700.0,0.3
65328,65329,Mustard,Rajasthan,Udaipur,Udaipur,2012-02-14,2750.0,0.1
65329,65330,Mustard,Rajasthan,Udaipur,Udaipur,2012-02-15,2750.0,0.3
65330,65331,Mustard,Rajasthan,Udaipur,Udaipur,2012-02-16,2750.0,2.2
65331,65332,Mustard,Rajasthan,Udaipur,Udaipur,2012-02-21,2800.0,0.3
65332,65333,Mustard,Rajasthan,Udaipur,Udaipur,2012-02-23,2900.0,0.1
65333,65334,Mustard,Rajasthan,Udaipur,Udaipur,2012-02-24,2900.0,1.7
65334,65335,Mustard,Rajasthan,Udaipur,Udaipur,2012-02-28,2900.0,1.3
65335,65336,Mustard,Rajasthan,Udaipur,Udaipur,2012-02-29,2990.0,0.9
65336,65337,Mustard,Rajasthan,Udaipur,Udaipur,2012-02-03,3000.0,1.5
65337,65338,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-03,2900.0,0.2
65338,65339,Mustard,Rajasthan,Udaipur,Udaipur,2012-05-03,2900.0,2.7
65339,65340,Mustard,Rajasthan,Udaipur,Udaipur,2012-06-03,2950.0,1.8
65340,65341,Mustard,Rajasthan,Udaipur,Udaipur,2012-07-03,3000.0,0.3
65341,65342,Mustard,Rajasthan,Udaipur,Udaipur,2012-09-03,3000.0,0.3
65342,65343,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-13,3100.0,0.3
65343,65344,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-14,3100.0,1.6
65344,65345,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-15,3150.0,3.0
65345,65346,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-16,3250.0,2.4
65346,65347,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-17,3250.0,1.5
65347,65348,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-20,3400.0,2.5
65348,65349,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-21,3350.0,1.3
65349,65350,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-22,3500.0,0.6
65350,65351,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-23,3500.0,1.9
65351,65352,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-24,3450.0,0.9
65352,65353,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-26,3450.0,3.2
65353,65354,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-27,3500.0,10.0
65354,65355,Mustard,Rajasthan,Udaipur,Udaipur,2012-03-28,3490.0,2.0
