,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
23132,23133,Groundnut,Tamil Nadu,Coimbatore,Anaimalai,2012-03-15,4600.0,1.0
23133,23134,Groundnut,Tamil Nadu,Coimbatore,Anaimalai,2012-03-16,4600.0,1.0
23134,23135,Groundnut,Tamil Nadu,Coimbatore,Anaimalai,2012-06-09,6300.0,0.76
23135,23136,Groundnut,Tamil Nadu,Coimbatore,Anaimalai,2012-09-26,5500.0,0.2
23136,23137,Groundnut,Tamil Nadu,Coimbatore,Anaimalai,2012-12-24,3700.0,7.0
23137,23138,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-02-01,4300.0,28.5
23138,23139,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-10-01,4500.0,25.0
23139,23140,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-01-24,4700.0,48.5
23140,23141,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-01-31,4700.0,11.7
23141,23142,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-07-02,4200.0,21.0
23142,23143,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-02-14,4500.0,21.05
23143,23144,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-02-21,4500.0,5.84
23144,23145,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-06-03,4400.0,2.75
23145,23146,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-03-13,4400.0,4.45
23146,23147,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-03-27,4300.0,16.3
23147,23148,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-04-24,4150.0,12.14
23148,23149,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-08-05,4300.0,23.23
23149,23150,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-05-16,4300.0,24.25
23150,23151,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-05-22,4900.0,10.0
23151,23152,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-05-23,4800.0,9.65
23152,23153,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-05-29,4800.0,5.0
23153,23154,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-05-30,4300.0,1.66
23154,23155,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-05-06,4300.0,5.0
23155,23156,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-11-06,4300.0,5.0
23156,23157,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-06-19,4300.0,5.0
23157,23158,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-06-26,4300.0,0.56
23158,23159,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-05-07,4300.0,1.5
23159,23160,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-10-07,4600.0,2.5
23160,23161,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-07-08,4800.0,8.31
23161,23162,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-08-14,5015.0,11.6
23162,23163,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-08-21,5900.0,18.3
23163,23164,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-08-27,5500.0,36.74
23164,23165,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-08-28,5500.0,36.74
23165,23166,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-04-09,5500.0,20.0
23166,23167,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-05-09,5500.0,26.57
23167,23168,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-11-09,5000.0,20.0
23168,23169,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-09-13,5300.0,20.02
23169,23170,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-09-18,5000.0,22.92
23170,23171,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-09-24,5200.0,20.0
23171,23172,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-09-26,5000.0,92.7
23172,23173,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-02-10,5000.0,51.3
23173,23174,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-03-10,5000.0,52.0
23174,23175,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-09-10,5500.0,30.0
23175,23176,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-10-10,5000.0,80.15
23176,23177,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-10-16,5500.0,30.0
23177,23178,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-10-17,5500.0,30.0
23178,23179,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-10-25,5300.0,30.0
23179,23180,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-10-30,5700.0,45.0
23180,23181,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-06-11,5500.0,45.0
23181,23182,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-08-11,5000.0,56.0
23182,23183,Groundnut,Tamil Nadu,Coimbatore,Sevur,2012-11-21,5000.0,44.0
